N	2gram	Bakhtin_Pr	Komedia
1	и в	38	77
2	и не	42	47
3	в том	8	44
4	том что	3	42
5	о том	4	33
6	едва ли	3	32
7	но и	9	32
8	может быть	26	30
9	из них	1	29
10	таким образом	10	29
11	в то	4	28
12	и его	16	28
13	в этом	15	27
14	что он	2	26
15	к тому	1	26
16	не только	9	25
17	вместе с	1	25
18	как и	7	23
19	ни в	11	23
20	что в	7	23
21	в самом	7	22
22	что и	2	22
23	если бы	3	22
24	то же	5	21
25	ясно что	3	21
26	так и	5	21
27	а в	6	21
28	в его	43	20
29	к этому	2	19
30	в этой	1	18
31	тем что	2	17
32	же время	3	17
33	в нем	15	17
34	и здесь	2	17
35	и т	14	17
36	еще не	7	17
37	при этом	5	16
38	все же	6	16
39	не менее	4	16
40	сих пор	1	16
41	он не	3	16
42	до сих	1	16
43	не в	7	15
44	в своем	5	15
45	точки зрения	8	15
46	его в	9	15
47	в которой	1	15
48	на себя	1	15
49	между тем	7	15
50	и на	3	15
51	было бы	8	15
52	прежде всего	13	15
53	и с	17	14
54	на протяжении	1	14
55	столь же	2	14
56	к нему	10	14
57	в свою	2	14
58	все это	3	14
59	только что	1	13
60	самом деле	6	13
61	о чем	1	13
62	в них	5	13
63	в одном	1	13
64	мы можем	6	13
65	в двух	2	13
66	то что	8	13
67	того чтобы	2	13
68	но в	4	13
69	в котором	2	12
70	для того	2	12
71	так же	1	12
72	с другой	7	12
73	несмотря на	3	12
74	хотя и	3	12
75	как это	2	12
76	комедии и	1	12
77	т п	13	12
78	из которых	2	12
79	как в	4	12
80	в истории	2	12
81	в начале	2	12
82	не может	27	12
83	но не	12	12
84	и даже	3	11
85	с тем	1	11
86	по отношению	21	11
87	с ним	5	11
88	то время	1	11
89	как мы	7	11
90	на этот	1	11
91	и для	11	11
92	в их	10	11
93	в частности	2	11
94	свою очередь	1	10
95	на него	3	10
96	с одной	3	10
97	к себе	2	10
98	в чем	2	10
99	как бы	22	10
100	и что	2	10
101	и все	3	10
102	одной из	3	10
103	в глазах	1	10
104	с его	2	10
105	ничего не	6	10
106	отношение к	10	10
107	в целом	3	10
108	все что	3	9
109	в своей	7	9
110	одной стороны	3	9
111	говорить о	3	9
112	тому что	1	9
113	время как	1	9
114	только в	13	9
115	друг друга	1	9
116	в тех	3	9
117	независимо от	13	9
118	из его	1	9
119	однако в	1	9
120	а также	1	9
121	вовсе не	2	9
122	отличие от	5	9
123	в ней	4	9
124	и особенно	1	9
125	отношению к	19	9
126	другой стороны	4	8
127	по поводу	2	8
128	что у	1	8
129	не было	2	8
130	не знает	3	8
131	бы в	1	8
132	во всех	11	8
133	то ни	3	8
134	можно было	4	8
135	в которых	1	8
136	да и	3	8
137	связи с	2	8
138	по своему	1	8
139	и других	2	8
140	как он	1	8
141	идет о	1	8
142	в в	1	8
143	и ее	2	8
144	место в	8	8
145	и к	3	7
146	дело с	6	7
147	в результате	1	7
