N	3gram	Vygotskiy_	KulturaY
1	и т д	1	42
2	для того чтобы	19	38
3	с точки зрения	34	36
4	в том что	30	33
5	в самом деле	5	29
6	можно было бы	6	25
7	тем не менее	1	19
8	во всяком случае	5	19
9	то обстоятельство что	2	19
10	с другой стороны	10	17
11	в зависимости от	8	16
12	до сих пор	4	14
13	в том чтобы	6	14
14	по отношению к	11	13
15	по крайней мере	1	13
16	в связи с	3	12
17	и в самом	2	11
18	не может быть	8	11
19	в этом отношении	6	11
20	в этом смысле	3	10
21	о том что	10	10
22	вместе с тем	5	9
23	не в том	1	8
24	само по себе	3	8
25	на самом деле	3	8
26	не только в	1	8
27	а с другой	6	7
28	в свою очередь	3	7
29	с одной стороны	14	7
30	после того как	1	7
31	хотя бы и	1	6
32	в отличие от	3	6
33	к тому же	1	6
34	то же время	2	6
35	только тогда когда	4	6
36	той или иной	2	6
37	этой точки зрения	2	6
38	в то же	2	6
39	в первую очередь	3	6
40	в свое время	1	6
41	дело не в	1	5
42	с этой точки	1	5
43	и пр и	1	5
44	потому что он	3	5
45	речь идет о	4	5
46	в соответствии с	1	5
47	в данном случае	5	5
48	и в этом	1	5
49	но все же	1	5
50	не потому что	2	5
51	тем более что	1	5
52	на этот вопрос	5	5
53	как мы видели	1	5
54	хотя бы в	1	5
55	в конечном счете	4	4
56	потому что как	1	4
57	сам по себе	3	4
58	том что он	2	4
59	смысле этого слова	6	4
60	к тому что	3	4
61	к вопросу о	1	4
62	состоит в том	4	4
63	пр и пр	1	4
64	в том и	1	4
65	и потому что	2	4
66	на то что	9	4
67	бы сказать что	3	4
68	заключается в том	10	4
69	только то что	2	4
70	и вовсе не	1	4
71	точно так же	2	4
72	зависимости от того	1	4
73	так же как	6	4
74	в этой области	1	4
75	тот или иной	1	4
76	о том как	1	3
77	и тогда когда	1	3
78	но для того	1	3
79	силу того что	1	3
80	в конце концов	1	3
81	вместо того чтобы	3	3
82	и вместе с	1	3
83	тех случаях когда	1	3
84	того что в	3	3
85	как раз и	1	3
86	с тем что	1	3
87	в известном смысле	3	3
88	в тех случаях	1	3
89	сама по себе	3	3
90	большей или меньшей	1	3
91	в силу того	1	3
92	мере того как	1	3
93	от того что	2	3
94	ни в какой	2	3
95	мы увидим что	2	3
96	по мере того	1	3
97	все это не	1	3
98	к тому чтобы	2	3
99	на точку зрения	2	3
100	в то время	5	3
101	с помощью которого	1	3
102	только для того	2	3
103	не только как	1	3
104	именно в силу	1	3
105	с тем чтобы	1	3
106	не могут быть	1	3
107	в таких случаях	1	3
108	тогда когда он	2	3
109	в какой мере	2	3
110	что он не	2	2
111	стать на точку	1	2
112	в той или	1	2
113	как увидим ниже	2	2
114	рано или поздно	1	2
115	речи так как	1	2
116	мы наблюдаем в	1	2
117	еще один пример	1	2
118	свое выражение в	1	2
119	в применении к	1	2
