N	3gram	Losev_Dial	Problemy
1	то же время	8	26
2	в то же	7	26
3	с точки зрения	18	25
4	и т п	3	18
5	в этом смысле	4	16
6	на самом деле	3	15
7	не может быть	4	14
8	но в то	1	11
9	в конце концов	4	11
10	до сих пор	4	10
11	в отношении к	1	10
12	в самом деле	3	9
13	с другой стороны	7	9
14	с самого начала	2	9
15	во всяком случае	3	9
16	в том что	12	8
17	и не может	1	8
18	друг с другом	2	8
19	сама по себе	12	7
20	и в то	3	7
21	как раз и	1	7
22	и т д	28	7
23	мы уже говорили	1	7
24	и в этом	4	7
25	как и все	1	6
26	том что он	1	6
27	в той или	3	5
28	сам по себе	8	5
29	в зависимости от	2	5
30	к тому же	2	5
31	той или иной	4	5
32	по крайней мере	11	5
33	но все же	2	5
34	и в нем	3	5
35	подобно тому как	1	5
36	можно было бы	4	5
37	и не в	1	4
38	тем не менее	3	4
39	сами по себе	4	4
40	а между тем	1	4
41	более или менее	5	4
42	само по себе	7	4
43	о том что	6	4
44	в этом отношении	2	4
45	хотя и не	1	4
46	что в нем	4	4
47	с ним и	1	4
48	может быть и	6	4
49	друг к другу	2	4
50	это не значит	3	3
51	что она не	1	3
52	в братьях карамазовых	1	3
53	можно сказать что	6	3
54	потому что она	3	3
55	и то же	8	3
56	точек зрения и	1	3
57	в данном случае	1	3
58	это вовсе не	2	3
59	что он есть	2	3
60	в том и	1	3
61	на то что	4	3
62	большей или меньшей	1	3
63	никогда не бывает	1	3
64	того и другого	2	3
65	что у меня	1	3
66	все же не	1	3
67	то все же	1	3
68	одно и то	8	3
69	в то время	2	3
70	как мы увидим	1	3
71	т е в	3	3
72	то что я	2	3
73	то время как	2	3
74	что он не	2	2
75	но все эти	1	2
76	в него как	1	2
77	как будто бы	3	2
78	точка зрения на	1	2
79	что же это	1	2
80	можем сказать что	3	2
81	то что он	1	2
82	как бы ни	2	2
83	вы как бы	1	2
84	внутреннего и внешнего	8	2
85	и в другом	1	2
86	того или другого	1	2
87	которые были бы	1	2
88	для того чтобы	1	2
89	что все это	1	2
90	никогда не может	2	2
91	дело в том	1	2
92	друг от друга	1	2
93	на всю жизнь	1	2
94	т е не	1	2
95	все это я	1	2
96	мы можем сказать	3	2
97	вместе с тем	1	2
98	но так что	1	2
99	в чем не	1	2
100	по себе и	3	2
101	самим по себе	1	2
102	по себе но	2	2
103	то же самое	3	2
104	к тому что	3	2
105	только то что	6	2
106	но это не	2	2
107	он как раз	1	2
108	в этих случаях	1	2
109	том и в	1	2
110	я этого не	1	2
111	но она не	1	2
112	уже сама по	1	2
113	том или другом	1	2
114	что же касается	1	2
115	как один из	2	2
116	в нем и	2	2
117	но все это	2	2
118	я не могу	2	2
119	и та же	5	2
120	таким образом и	1	2
121	по себе как	1	2
122	не только в	2	2
123	и в том	1	2
124	и не то	1	2
125	же как и	1	2
126	друг другу как	2	2
127	одна и та	5	2
128	но потому что	2	2
129	в себе и	1	2
130	что и в	1	2
131	ни в чем	2	2
132	должно быть раскрыто	1	2
133	а не о	1	2
