N	2gram	Nazirov_Tv	BTomashe
1	у нас	2	3
2	все это	14	2
3	в ней	2	2
4	можно было	1	2
5	не то	2	2
6	больше чем	2	2
7	и не	12	2
8	следовало бы	2	1
9	говорить о	1	1
10	и о	2	1
11	было и	1	1
12	не только	16	1
13	а о	1	1
14	в композиции	1	1
15	таким образом	14	1
16	не было	3	1
17	в эпоху	1	1
18	прежде всего	10	1
19	и в	40	1
20	на самом	3	1
21	так и	5	1
22	можно в	1	1
23	из своей	1	1
24	в своей	8	1
25	во всяком	2	1
26	и потому	4	1
27	по нашему	9	1
28	же не	2	1
29	по крайней	4	1
30	в речи	1	1
31	с другой	4	1
32	об этом	4	1
33	художественного произведения	1	1
34	своей книге	1	1
35	как будто	5	1
36	этой книги	4	1
37	не о	1	1
38	другой стороны	2	1
39	крайней мере	4	1
40	всяком случае	2	1
41	кроме того	1	1
42	было бы	2	1
43	но автор	1	1
44	и ее	1	1
45	одной из	7	1
46	из ее	1	1
47	почти совершенно	1	1
48	в пределах	1	1
49	в данном	2	1
50	выпадает из	1	1
51	в области	1	1
52	является только	1	1
53	и исторической	1	1
54	далеко не	3	1
55	тем более	1	1
56	не вполне	1	1
57	и более	2	1
58	что все	4	1
59	он заслуживает	1	1
60	не все	2	1
61	нельзя не	1	1
62	нашему мнению	9	1
63	никак не	1	1
64	в книге	3	1
65	его не	1	1
66	а не	9	1
67	отнюдь не	9	1
68	о свободе	3	1
69	до конца	2	1
70	представляется нам	1	1
71	не укладывается	1	1
72	и на	12	1
73	между ними	1	1
74	еще не	5	1
75	к ней	3	1
76	все же	9	1
77	что в	17	1
