N	3gram	Tiupa_Anal	Psycholo
1	в том что	12	78
2	для того чтобы	1	70
3	в самом деле	1	51
4	заключается в том	1	36
5	о том что	7	34
6	с точки зрения	2	29
7	с одной стороны	3	28
8	в сущности говоря	1	24
9	не может быть	2	23
10	до сих пор	1	23
11	с другой стороны	7	20
12	в том чтобы	2	20
13	на самом деле	1	17
14	мы видим что	1	16
15	не только не	3	16
16	в зависимости от	1	15
17	во всяком случае	6	14
18	само по себе	1	14
19	в то время	1	14
20	в этом отношении	3	14
21	можно было бы	1	13
22	сам по себе	2	12
23	что в этом	1	12
24	в конце концов	1	12
25	и той же	2	12
26	одной и той	2	12
27	тот факт что	1	11
28	в конечном счете	5	11
29	подобно тому как	3	11
30	и то что	2	10
31	не в том	1	10
32	том что он	2	10
33	в отличие от	5	9
34	точно так же	1	9
35	в данном случае	11	9
36	что он не	2	9
37	не в состоянии	1	9
38	и как бы	2	8
39	смысле этого слова	1	8
40	речь идет о	2	8
41	состоит в том	2	7
42	на этот вопрос	1	7
43	в этом смысле	1	7
44	совершенно очевидно что	2	7
45	а с другой	1	7
46	только то что	1	7
47	в свою очередь	7	7
48	можно сказать что	2	7
49	что и в	1	7
50	как и в	6	7
51	сама по себе	3	6
52	и может быть	1	6
53	было бы сказать	1	6
54	не что иное	1	6
55	до тех пор	1	6
56	и тот же	1	6
57	тем не менее	3	6
58	что у него	1	6
59	именно потому что	1	6
60	и в том	1	6
61	того или иного	5	6
62	в противоречие с	2	6
63	не только в	5	6
64	что иное как	1	6
65	в таком случае	2	5
66	иметь дело с	2	5
67	как если бы	1	5
68	больше и больше	1	5
69	один и тот	1	5
70	в целом ряде	1	5
71	как бы в	1	5
72	как раз в	1	5
73	же как и	1	5
74	в применении к	1	4
75	а между тем	1	4
76	и того же	4	4
77	а в том	2	4
78	к тому же	7	4
79	из того что	1	4
80	и в этой	1	4
81	таким образом в	1	4
82	мы уже говорили	1	4
83	вопрос о том	1	4
84	это имеет место	1	4
85	как нельзя лучше	2	4
86	есть как бы	1	4
87	одного и того	4	4
88	не для того	1	4
89	том что мы	1	4
90	в произведении искусства	1	4
91	то есть в	1	4
92	одна из них	1	4
93	и в сущности	1	4
94	в основе своей	2	4
95	прибавим к этому	1	3
96	по себе а	1	3
97	в себя и	1	3
98	одни и те	1	3
99	в русской поэзии	2	3
100	друг от друга	1	3
101	приходит к выводу	1	3
102	совпадают с теми	1	3
103	по отношению к	9	3
104	со всеми остальными	1	3
105	к этому что	1	3
106	ни одна из	1	3
107	дело в том	3	3
108	не могут быть	1	3
109	нет никакой возможности	1	3
110	между тем в	2	3
111	все это было	1	3
112	может быть это	1	3
113	том что по	2	3
114	в том или	1	3
115	достигает своего апогея	1	3
116	мысль о том	1	3
117	при этом как	2	3
118	то же время	7	3
119	но он не	1	3
120	и те же	1	3
121	мы обратимся к	1	3
122	том или ином	1	3
123	той же самой	1	3
124	едва ли не	3	3
125	к выводу что	1	3
126	в то же	7	3
127	и здесь мы	1	3
128	мы будем иметь	1	3
129	в этом случае	1	3
130	обратить внимание на	1	3
131	после того как	1	3
132	одного из них	1	2
133	на всем протяжении	1	2
134	такой же мере	1	2
135	дело не в	1	2
136	а не как	1	2
137	они не могут	1	2
138	с целым рядом	1	2
139	искусства как и	1	2
140	что в них	1	2
141	не понимаю что	1	2
142	так или иначе	5	2
143	так и в	1	2
144	что при таком	1	2
145	что она не	1	2
146	между тем как	1	2
147	в полной мере	3	2
148	и тем самым	2	2
149	при этом он	2	2
150	имеет место в	1	2
151	есть одна из	1	2
152	в одном из	1	2
153	в борьбе за	2	2
154	в тех случаях	1	2
155	мы имеем дело	4	2
156	в связи с	1	2
157	в ответ на	2	2
158	и вступает в	1	2
159	той или иной	6	2
160	что в конце	1	2
161	но и в	2	2
162	по крайней мере	5	2
163	и в особенности	1	2
164	которые могли бы	1	2
165	здесь мы имеем	1	2
166	несмотря на свою	1	2
167	мы узнаем о	1	2
168	и все его	1	2
169	жизни и смерти	1	2
170	не в самом	2	2
171	тем или иным	2	2
172	и все же	1	2
173	должны были бы	1	2
174	принадлежат к числу	1	2
175	обстоит дело и	1	2
176	может и не	1	2
177	а на деле	1	2
178	то что с	1	2
179	что могло бы	1	2
180	то есть не	1	2
181	но они не	1	2
182	конечном счете к	1	2
183	в первом случае	1	2
184	в такой же	1	2
185	как и всякий	1	2
186	другой стороны и	1	2
187	тех или иных	1	2
188	они как бы	1	2
189	есть не что	1	2
190	мы не станем	1	2
191	в нас и	1	2
192	не мог бы	1	2
193	не могут иметь	1	2
194	что одна из	1	2
