N	2gram	Ircho_Kome	Myshleni
1	в том	19	195
2	в этом	9	167
3	то что	8	166
4	и в	40	162
5	том что	19	161
6	в развитии	2	151
7	таким образом	13	147
8	точки зрения	7	143
9	с помощью	1	131
10	что в	12	119
11	не только	12	116
12	того что	1	109
13	так же	4	100
14	потому что	8	95
15	того чтобы	4	91
16	может быть	16	89
17	что он	11	86
18	не может	3	81
19	как и	12	79
20	для того	3	78
21	так как	6	78
22	и не	19	78
23	только в	6	75
24	в целом	6	74
25	как мы	5	72
26	но и	14	70
27	в его	8	67
28	сказать что	1	65
29	как бы	3	64
30	вместе с	8	62
31	представляет собой	1	60
32	и что	2	60
33	было бы	8	60
34	в качестве	8	60
35	то же	7	58
36	в основе	1	58
37	в отношении	6	55
38	в силу	4	53
39	в самом	5	52
40	по сравнению	1	51
41	в сущности	3	51
42	к тому	15	49
43	что они	4	48
44	тем что	5	48
45	мы можем	6	48
46	понятий и	1	47
47	на основе	1	47
48	мы не	4	47
49	сравнению с	1	46
50	если бы	4	46
51	по отношению	5	45
52	но не	3	45
53	с другой	7	45
54	с тем	5	43
55	же как	3	43
56	тем самым	1	43
57	тому что	4	42
58	как это	7	42
59	отношению к	5	42
60	в ходе	1	41
61	не является	2	41
62	о том	12	40
63	по своей	2	40
64	одной стороны	5	40
65	говорит он	1	39
66	с одной	5	39
67	так и	17	39
68	мы видели	2	38
69	в области	3	38
70	и к	2	37
71	вопрос о	5	37
72	если мы	1	37
73	не в	8	37
74	в этой	9	37
75	значение слова	1	37
76	с самого	3	36
77	в своем	6	36
78	все эти	1	36
79	самого начала	2	36
80	как в	8	36
81	а не	1	36
82	и его	17	36
83	того же	4	35
84	можно было	5	35
85	в себе	3	35
86	в которой	9	35
87	он не	5	35
88	для себя	2	35
89	связи с	3	34
90	и как	3	34
91	приводит к	1	34
92	прежде всего	8	33
93	при этом	5	33
94	по себе	2	33
95	именно в	5	32
96	и на	9	32
97	той же	3	32
98	по своему	5	32
99	же самое	2	32
100	что и	10	32
101	и тем	2	32
102	но в	6	32
103	слова и	1	32
104	развития и	1	31
105	все же	7	31
106	из того	2	31
107	на то	3	30
108	этом отношении	3	30
109	этого слова	1	29
110	между тем	9	29
111	как известно	4	29
112	могут быть	3	29
113	от того	3	29
114	с этим	5	28
115	только что	2	27
116	с этой	3	27
117	в результате	5	27
118	другой стороны	6	27
119	в то	14	27
120	и с	8	27
121	в своей	3	27
122	что все	1	27
123	перед нами	1	27
124	в их	6	26
125	в собственном	1	26
126	что это	5	26
127	для него	1	26
128	в частности	7	26
129	в чем	3	25
130	что она	3	25
131	еще не	7	25
132	уже в	9	25
133	все это	7	25
134	мы уже	1	25
135	это не	2	25
136	мы знаем	5	24
137	тот же	5	24
138	зависимости от	1	24
139	целый ряд	2	24
140	на этот	5	24
141	того как	3	24
142	в какой	2	24
143	так что	6	24
144	что эта	1	24
145	в нем	8	24
146	как уже	1	24
147	в высшей	1	24
148	друг друга	2	23
149	состоит в	1	23
150	бы в	3	23
151	ни в	9	23
152	как он	2	23
153	во всяком	4	22
154	не могут	1	22
155	то время	8	22
156	смысле этого	1	22
157	столь же	9	22
158	в известном	2	22
159	в зависимости	1	22
160	высшей степени	1	22
161	к этому	8	21
162	и следовательно	2	21
163	и ее	5	21
164	на основании	7	21
165	представление о	3	21
166	в нашем	2	21
167	его в	6	21
168	все время	2	21
169	там где	1	21
170	и все	4	21
171	не имеет	1	21
172	в истории	10	21
173	в сознании	4	21
