N	2gram	Tiupa_Anal	VelikijI
1	и не	33	20
2	и в	30	16
3	так как	3	9
4	то что	11	9
5	еще не	5	8
6	и потому	2	7
7	а не	25	7
8	человека и	1	6
9	не есть	8	6
10	о счастье	1	5
11	хотя и	4	5
12	того что	5	5
13	все это	2	5
14	ты не	2	5
15	по пути	1	5
16	как бы	15	5
17	на себя	5	5
18	в мире	14	5
19	но и	29	5
20	все что	3	4
21	в котором	5	4
22	в этом	31	4
23	что мы	3	4
24	потому что	3	4
25	в его	15	4
26	в ней	1	4
27	так и	16	4
28	это еще	2	4
29	говорить о	3	4
30	и есть	3	4
31	смысла жизни	3	4
32	и все	5	4
33	что не	3	4
34	в образе	1	4
35	мировой жизни	1	4
36	что все	2	4
37	как и	23	4
38	что он	3	4
39	к личности	1	4
40	в нем	3	4
41	во всех	5	3
42	что в	7	3
43	нет ничего	2	3
44	бы и	1	3
45	за ним	2	3
46	в конце	4	3
47	должно быть	2	3
48	этого мира	2	3
49	если не	2	3
50	хотя бы	4	3
51	в том	36	3
52	тому что	2	3
53	личности и	3	3
54	от которого	4	3
55	этих трех	1	3
56	не в	17	3
57	и что	2	3
58	что и	5	3
59	ни в	5	3
60	превращается в	3	3
61	в этих	3	3
62	в них	1	3
63	оно не	1	3
64	не было	1	3
65	лишь в	12	3
66	личность человеческая	1	3
67	что ты	1	3
68	и будет	1	3
69	в жизни	1	3
70	что я	1	3
71	по этому	1	3
72	как не	1	3
73	их в	1	3
74	в своей	7	3
75	должна быть	1	3
76	с его	3	3
77	не имеет	1	3
78	но это	1	3
79	и для	3	3
80	жизни и	1	3
81	в чем	2	3
82	все эти	3	3
83	тот же	2	3
84	но в	11	3
85	к тому	12	3
86	никогда не	4	3
87	людей в	1	3
88	зачем же	2	2
89	всего в	3	2
90	во всяком	1	2
91	от него	2	2
92	его и	3	2
93	ее и	1	2
94	один из	4	2
95	мы и	1	2
96	личности а	2	2
97	этому пути	1	2
98	более чем	4	2
99	на том	1	2
100	его не	1	2
101	не так	3	2
102	того чтобы	3	2
103	это не	7	2
104	между тем	7	2
105	не только	30	2
106	для него	5	2
107	человека как	1	2
108	и тогда	3	2
109	с ним	6	2
110	на этих	1	2
111	является в	1	2
112	не будет	3	2
113	ее в	2	2
114	о свободе	2	2
115	для нас	1	2
116	и то	4	2
117	своей истории	1	2
118	и за	3	2
119	не с	8	2
120	прежде всего	8	2
121	в личности	2	2
122	для них	1	2
123	можно было	1	2
124	а между	1	2
125	вслед за	3	2
126	личного и	1	2
127	мы не	1	2
128	только в	8	2
129	все равно	2	2
130	а с	3	2
131	под этим	1	2
132	личность как	1	2
133	а в	11	2
134	и сам	4	2
135	нет и	2	2
136	но не	13	2
137	тем что	2	2
138	вера в	2	2
139	и свободы	1	2
140	и во	3	2
141	быть личностью	1	2
142	могут быть	12	2
143	мы это	1	2
144	значения и	1	2
145	с тем	1	2
146	и т	3	2
147	превыше всего	1	2
148	одна из	1	2
149	так для	1	2
150	его к	3	2
151	не могут	3	2
152	да и	2	2
153	есть уже	1	2
154	том что	21	2
155	для человека	2	2
156	но мы	2	2
157	в себя	8	2
158	уже не	6	2
159	мира в	2	2
160	не к	3	2
161	от своей	1	2
162	людей не	1	2
163	я был	1	1
164	о личности	3	1
165	жизни но	3	1
166	в новом	2	1
167	в самом	12	1
168	во всем	1	1
169	бы то	3	1
170	мире и	2	1
171	могли бы	2	1
172	связь с	1	1
173	то есть	19	1
174	так ли	1	1
175	личности есть	1	1
176	было не	1	1
177	человека в	1	1
178	но как	1	1
179	возможно в	1	1
180	мы видим	1	1
181	и быть	1	1
182	если оно	1	1
183	что оно	1	1
184	на котором	3	1
185	человеческой жизни	1	1
186	речь идет	2	1
187	будто бы	4	1
188	и на	10	1
189	она и	1	1
190	тому кто	1	1
191	на части	1	1
192	вопрос о	2	1
193	без такого	1	1
194	жизни без	1	1
195	на этом	4	1
196	же и	1	1
197	может быть	33	1
198	хоть и	1	1
199	они не	1	1
200	между собою	1	1
201	к человеку	1	1
202	не имеют	1	1
203	раз и	2	1
204	если в	3	1
205	многих или	1	1
206	людей к	1	1
207	с вечностью	1	1
208	указать на	1	1
209	это как	2	1
210	которая в	3	1
211	и уж	1	1
