N	2gram	Losev_Vlad	TeoriaLi
1	в качестве	7	33
2	не только	35	24
3	и в	56	24
4	в частности	4	23
5	то есть	5	22
6	может быть	12	22
7	при этом	5	20
8	в том	26	20
9	тогда как	1	18
10	я в	4	18
11	и не	33	17
12	а в	20	15
13	но и	26	14
14	а не	5	14
15	так и	11	14
16	в себе	5	14
17	представляет собой	1	13
18	такого рода	4	13
19	но не	5	13
20	в этом	30	12
21	сводится к	1	12
22	но в	19	12
23	в его	18	12
24	то же	10	12
25	своего рода	1	11
26	том что	22	11
27	точки зрения	4	11
28	и его	12	11
29	что в	24	10
30	по отношению	1	10
31	как это	11	10
32	лишь в	3	10
33	в душе	1	9
34	только в	11	9
35	в данном	1	9
36	с другой	3	9
37	не в	12	9
38	в то	15	9
39	в своей	7	8
40	же время	7	8
41	как бы	5	8
42	по своей	4	8
43	не может	12	8
44	в самом	3	7
45	не столько	4	7
46	особого рода	2	7
47	в своем	10	7
48	себя в	6	7
49	мы имеем	2	7
50	а также	12	7
51	во второй	3	7
52	отношение к	7	7
53	место в	2	7
54	в области	3	7
55	в нем	7	7
56	другой стороны	3	6
57	более или	5	6
58	как и	7	6
59	не менее	9	6
60	еще не	2	6
61	то что	30	6
62	со стороны	5	6
63	уже не	6	6
64	с его	15	6
65	с другими	1	6
66	или иначе	3	6
67	между ними	2	6
68	или менее	5	6
69	в русской	1	6
70	тем самым	2	6
71	ни в	4	5
72	так или	3	5
73	и одновременно	1	5
74	как в	6	5
75	а а	7	5
76	можно сказать	10	5
77	того чтобы	4	5
78	для того	4	5
79	я с	1	5
80	на почве	1	5
81	как к	4	5
82	для него	16	5
83	а и	1	5
84	того что	6	5
85	в себя	1	5
86	он не	13	5
87	и тем	2	5
88	и о	6	5
89	в отношении	5	4
90	не на	1	4
91	по пути	1	4
92	не следует	1	4
93	и сам	7	4
94	в этих	5	4
95	отношения к	4	4
96	что он	22	4
97	говорить о	1	4
98	отношении к	2	4
99	и а	2	4
100	сказать что	14	4
101	в нашем	5	4
102	к тому	5	4
103	этого слова	1	4
104	никогда не	15	4
105	и того	1	4
106	это не	3	4
107	хотя и	9	4
108	в литературе	1	4
109	в их	2	4
110	его в	3	4
111	но он	7	4
112	или даже	1	4
113	так в	1	4
114	мира и	1	4
115	по своему	5	4
116	со своей	5	4
117	личности в	1	4
118	личности и	2	4
119	в свою	3	4
120	и что	11	4
121	далеко не	1	4
122	того же	11	4
123	в силу	1	4
124	в стихотворении	3	4
125	с ее	1	4
126	в целом	3	4
127	и к	10	3
128	в таком	2	3
129	на меня	3	3
130	в момент	2	3
131	для себя	6	3
132	с этой	4	3
133	даже в	4	3
134	была бы	1	3
135	о чем	6	3
136	только не	2	3
137	однако при	1	3
138	если бы	2	3
139	оказывается в	1	3
140	все эти	6	3
141	а именно	4	3
142	именно в	4	3
143	например в	1	3
144	в жизни	4	3
145	в порядке	2	3
146	к его	5	3
147	их в	3	3
148	никто не	1	3
149	роль в	1	3
150	в итоге	1	3
151	тем не	8	3
152	перед нами	1	3
153	свою очередь	2	3
154	в противоположность	1	3
155	потому что	16	3
156	одной стороны	1	3
157	искусства и	1	3
158	между двумя	1	3
159	в одном	2	3
160	всех без	1	3
161	известной степени	2	3
162	на две	1	3
163	во всей	1	3
164	понятие о	1	3
165	из этих	5	3
166	и для	4	3
167	о ней	1	3
168	таким образом	6	3
169	и то	13	3
170	на языке	1	3
171	с одной	1	3
172	и вот	5	3
173	том числе	1	3
174	в произведении	2	3
175	и потому	8	3
176	ни к	2	3
177	как раз	7	3
178	прежде всего	5	3
179	а на	1	3
180	и притом	5	3
181	связи с	7	3
182	или в	1	3
183	одним из	3	3
184	в связи	9	3
185	и как	7	3
186	в сторону	1	3
187	вовсе не	8	3
188	во всех	4	3
189	а с	5	3
190	в которой	8	3
191	не будет	1	3
192	не с	1	3
193	к области	1	3
194	говоря о	2	3
195	этом смысле	4	3
196	человека с	2	3
197	в этой	4	3
198	что можно	4	3
199	и др	1	3
200	человеческой жизни	1	3
201	столь же	1	3
202	и по	10	3
203	отнюдь не	3	3
204	в той	2	2
205	и другие	2	2
206	для всех	2	2
207	один из	4	2
208	и здесь	3	2
209	таковы например	1	2
210	– то	1	2
211	и на	7	2
212	если в	1	2
213	жизни а	1	2
214	которая в	1	2
215	и который	2	2
216	к числу	2	2
217	строго говоря	1	2
218	жить и	1	2
219	на этом	3	2
220	из которых	1	2
221	в году	54	2
222	о в	1	2
223	по себе	3	2
224	не могут	2	2
225	в них	5	2
226	и даже	23	2
227	а напротив	1	2
228	здесь мы	4	2
229	самом деле	1	2
230	заключается в	1	2
231	на свою	3	2
232	имеет дело	1	2
233	из тех	1	2
234	либо в	1	2
235	с ними	2	2
236	к нам	1	2
237	вместе с	9	2
238	жизни в	3	2
239	не вполне	3	2
240	никем не	1	2
241	себя и	1	2
242	всех подобных	1	2
243	у одного	2	2
244	всей своей	2	2
245	в каком	3	2
246	своей жизни	5	2
247	к своему	4	2
248	о том	13	2
249	казалось бы	1	2
250	при всем	1	2
251	сам же	1	2
252	это и	2	2
253	еще и	10	2
254	ними и	2	2
255	духовной жизни	1	2
256	к нему	6	2
257	в значительной	1	2
258	но во	2	2
259	времени в	2	2
260	и больше	3	2
261	для меня	8	2
262	не могло	2	2
263	только на	3	2
264	о своем	3	2
265	говорит что	4	2
266	и это	4	2
267	времени и	1	2
268	перед ним	1	2
269	самом начале	1	2
270	имеем дело	1	2
271	что она	2	2
272	который в	1	2
273	до известной	1	2
274	здесь не	6	2
275	на котором	2	2
276	в произведениях	1	2
277	он и	8	2
278	не просто	1	2
279	в самой	1	2
280	для такого	1	2
281	жизни но	1	2
282	бы то	2	2
283	то в	6	2
284	что они	4	2
285	но на	3	2
286	на вопрос	2	2
287	одной из	2	2
288	несмотря на	7	2
289	ни было	1	2
290	в формах	1	2
291	что такое	3	2
292	ее в	1	2
293	все это	7	2
294	что и	6	2
295	у нас	11	2
296	к жизни	2	2
297	слова не	1	2
298	у него	28	2
299	от всех	1	2
300	говорит в	2	2
301	к чему	1	2
302	дело в	7	2
303	он оказывается	1	2
304	этих двух	2	2
305	согласно характеристике	1	2
306	на себя	3	2
307	не могли	2	2
308	в конце	22	2
309	я и	2	2
310	тому что	1	2
311	случае не	1	2
312	в какой	1	2
313	я не	8	2
314	роль принадлежит	1	2
315	субъект и	1	2
316	это было	9	2
317	в чем	4	2
318	об этом	13	2
319	это тоже	1	2
320	тем более	4	2
321	а для	1	2
322	к одному	1	2
323	но как	6	2
324	второй и	1	2
325	как уже	2	2
326	то ни	2	2
327	дело не	3	2
328	и весьма	2	2
329	быть и	1	2
330	к такой	1	2
331	однако эта	2	2
332	но она	4	2
333	свою жизнь	1	2
334	одно и	1	2
335	за пределы	3	2
336	таких случаях	1	2
337	от своего	2	2
338	во мне	2	2
339	всей его	2	2
340	собственно говоря	4	2
341	так же	4	2
342	что может	1	2
343	и особенно	6	2
344	тот кто	1	2
345	это делает	3	2
346	о его	7	2
347	и прежде	1	2
348	как будто	2	2
349	автора как	1	2
350	однако все	1	2
351	случае это	1	2
352	в особенности	4	1
353	то субъективное	1	1
354	с которыми	2	1
355	наконец наиболее	1	1
356	к такому	1	1
357	от него	3	1
358	однако и	1	1
359	все что	2	1
360	фразы в	1	1
361	ночь и	1	1
362	и против	1	1
363	можно говорить	2	1
364	за ним	1	1
365	же и	1	1
366	и свою	1	1
367	сойти с	1	1
368	также что	2	1
369	как содержание	1	1
370	тех кто	2	1
371	на первом	4	1
372	теперь в	1	1
373	дело с	2	1
374	в которую	2	1
375	можно назвать	1	1
376	есть для	2	1
377	вопросу о	1	1
378	я никогда	3	1
379	думаю что	1	1
380	что это	2	1
381	содержит в	1	1
382	с ним	10	1
383	это уже	1	1
384	в сущности	2	1
385	никак не	6	1
386	в другой	1	1
387	говорит о	1	1
388	те же	2	1
389	не как	1	1
390	менее не	1	1
391	первых двух	1	1
392	разного рода	8	1
393	одному из	1	1
394	представлений о	1	1
395	по образцу	1	1
396	в результате	6	1
397	имеем не	1	1
398	быть может	1	1
399	и вполне	4	1
400	отдельно от	1	1
401	том и	1	1
402	живые существа	1	1
403	со всеми	1	1
404	сравнении с	2	1
405	как было	2	1
406	должен был	3	1
407	чтобы в	1	1
408	он уже	7	1
409	все то	1	1
410	с некоторыми	1	1
411	до этого	1	1
412	имеет значение	1	1
413	с ней	3	1
414	жизнь в	2	1
415	любовь и	2	1
416	мысль о	1	1
417	одновременно с	2	1
418	слова с	1	1
419	на руках	1	1
420	тем что	2	1
421	говорят о	1	1
422	из всего	1	1
423	и действительно	3	1
424	то время	6	1
425	если он	1	1
426	видно из	2	1
427	и другим	1	1
428	меня в	2	1
429	с тем	4	1
430	я от	1	1
431	он стоит	1	1
432	с такими	1	1
433	я из	1	1
434	что по	1	1
435	который впрочем	1	1
436	о судьбе	1	1
437	а иной	4	1
438	с собою	1	1
439	все же	11	1
440	по душе	1	1
441	майора ковалева	1	1
442	участвовать в	1	1
443	вследствие своей	1	1
444	не имеет	2	1
445	а этот	1	1
446	в сравнении	2	1
447	но у	1	1
448	насколько это	1	1
449	да и	6	1
450	в историческом	1	1
451	о котором	2	1
452	его личной	1	1
453	эта внутренняя	1	1
454	жизни если	1	1
455	в это	6	1
456	на их	1	1
457	свою собственную	1	1
458	которой не	1	1
459	еще а	1	1
460	действительность в	1	1
461	на первый	4	1
462	по крайней	1	1
463	он мог	1	1
464	всем его	1	1
465	к какой	1	1
466	свое время	7	1
467	с этим	3	1
468	только одно	4	1
469	и я	7	1
470	года на	3	1
471	владимир соловьев	4	1
472	совершенно не	2	1
473	глубокий и	1	1
474	он же	2	1
475	не существует	1	1
476	жизнь для	1	1
477	ему принадлежит	1	1
478	в котором	10	1
479	из других	1	1
480	не прямо	2	1
481	в действительности	1	1
482	и такие	2	1
483	и пр	1	1
484	вопрос о	1	1
485	жизни когда	1	1
486	по своим	3	1
487	по тем	1	1
488	тех же	3	1
489	более чем	1	1
490	возвращаясь из	1	1
491	заключать в	1	1
492	некоторого рода	2	1
493	то и	3	1
494	всех его	1	1
495	с моей	1	1
496	наконец в	3	1
497	ей было	2	1
498	и поэтому	1	1
499	из жизни	1	1
500	платона и	3	1
501	первом слоге	1	1
502	во многих	2	1
503	ним и	1	1
504	а после	1	1
505	а через	2	1
506	время в	4	1
507	свое одиночество	1	1
508	с которой	2	1
509	с помощью	1	1
510	и теперь	4	1
511	жизни и	8	1
512	чего не	1	1
513	из своего	3	1
514	у е	1	1
515	и вся	1	1
516	значение для	2	1
517	время ее	1	1
518	встречи с	1	1
519	точно так	2	1
520	и внешнее	1	1
521	в различных	1	1
522	столь существенного	1	1
523	на основании	3	1
524	чем с	1	1
525	одно из	1	1
526	в мир	1	1
527	целый ряд	1	1
528	и до	4	1
529	для своей	1	1
530	для которого	1	1
531	в отсутствие	1	1
532	и те	1	1
533	русского поэта	1	1
534	не что	2	1
535	в истории	4	1
536	руках и	1	1
537	не так	1	1
538	является как	2	1
539	еще один	2	1
540	каждый из	1	1
541	было и	1	1
542	жизни он	1	1
543	отчет в	1	1
544	жизни по	2	1
545	в прошлом	1	1
546	на которые	1	1
547	к ним	1	1
548	с самим	2	1
549	настоящее время	2	1
550	в композиции	1	1
551	нас на	1	1
552	него не	4	1
553	затем в	1	1
554	духа и	1	1
555	той же	6	1
556	его труда	1	1
557	именно так	2	1
558	становится для	1	1
559	до конца	8	1
560	с нею	1	1
561	у себя	1	1
562	за его	1	1
563	с этими	4	1
564	только во	1	1
565	только при	1	1
566	как я	2	1
567	у а	1	1
568	в одной	1	1
569	раз и	4	1
570	что все	2	1
571	еще одна	1	1
572	является весьма	1	1
573	том же	4	1
574	и достоевского	1	1
575	одна из	1	1
576	поэтому не	1	1
577	впечатлений в	1	1
578	но если	1	1
579	не участвовать	1	1
580	ним на	1	1
581	по поводу	15	1
