N	4gram	Voloshinov	Dialekti
1	не что иное как	1	18
2	в то же время	6	14
3	одно и то же	1	12
4	есть не что иное	1	11
5	или по крайней мере	1	8
6	ни в каком случае	2	7
7	в коем случае не	1	6
8	и в то же	1	6
9	ни в коем случае	1	6
10	одной и той же	3	5
11	и тем не менее	2	5
12	на самом же деле	2	3
13	мы можем сказать что	5	3
14	в каком случае не	1	3
15	но в то же	3	3
16	во что бы то	1	2
17	что с точки зрения	1	2
18	мы уже знаем что	1	2
19	что бы то ни	1	2
20	в самом деле что	1	2
21	дело в том что	1	2
22	ни в чем не	4	2
23	с научной точки зрения	1	2
24	в каком случае нельзя	1	2
25	бы то ни стало	1	2
26	все это – только	1	1
27	но тем не менее	1	1
28	нет ничего удивительного в	1	1
29	уже не может быть	1	1
30	и в голову не	1	1
31	как мы уже сказали	1	1
32	коем случае не может	1	1
33	– только одно из	1	1
34	в жизни и в	1	1
35	т д таким образом	1	1
36	в данном случае в	1	1
37	в том что в	1	1
38	удивительного в том что	1	1
39	и пр – все	1	1
40	– это и есть	2	1
41	и только он один	1	1
42	конечно с точки зрения	1	1
43	все больше и больше	1	1
44	заключается в том что	2	1
45	и в вопросе о	1	1
46	бы то ни было	2	1
47	мы имеем в виду	1	1
48	что это вовсе не	1	1
49	и во многих отношениях	1	1
50	и ни в какой	1	1
51	и сама она есть	1	1
52	ничего общего не имеет	1	1
53	все это учение о	1	1
54	принципиально не отличается от	1	1
55	до сих пор не	1	1
56	оно не есть только	1	1
57	что в данном случае	1	1
58	в этом отношении совершенно	1	1
59	в том что она	2	1
60	не приходится принимать во	1	1
61	ничем принципиально не отличается	1	1
62	ничего удивительного в том	1	1
63	и не может быть	3	1
64	приходится принимать во внимание	1	1
65	еще одно очень важное	1	1
66	и т д таким	1	1
67	не чем иным как	2	1
68	это как мы уже	1	1
69	в том что он	2	1
70	– одна из основных	1	1
71	ничего что давало бы	1	1
72	не нуждается ни в	1	1
73	то что мы называем	2	1
74	и пр и пр	2	1
75	говорить о том что	2	1
76	что же это за	1	1
77	в самом деле если	1	1
