N	3gram	Trubetskoy	Tragedij
1	то же время	10	5
2	в то же	10	5
3	в том что	7	2
4	и как бы	1	2
5	и в частности	1	2
6	но в то	1	2
7	точно так же	2	2
8	в данном случае	3	2
9	о том что	2	2
10	но все же	1	2
11	народ может быть	1	1
12	что он не	2	1
13	а между тем	5	1
14	за то что	1	1
15	смысле этого слова	1	1
16	в конце концов	3	1
17	никогда не был	1	1
18	в этом состоит	1	1
19	и должно быть	1	1
20	одна из тех	1	1
21	в применении к	1	1
22	самое большее что	1	1
23	и вместе с	2	1
24	не может быть	4	1
25	но при этом	1	1
26	в этом случае	3	1
27	с самого начала	1	1
28	и то что	3	1
29	в связи с	1	1
30	и все же	1	1
31	в самом деле	1	1
32	не только к	2	1
33	во всяком случае	6	1
34	к тому что	2	1
35	не только сам	1	1
36	что все это	1	1
37	тем не менее	1	1
38	несмотря на все	1	1
39	в такое время	1	1
40	в борьбе за	1	1
41	прежде всего необходимо	1	1
42	это и есть	1	1
43	и не может	3	1
44	и в этом	1	1
45	отнюдь не является	1	1
