N	2gram	Bakhtin_fo	Stilisti
1	и в	84	42
2	как бы	11	30
3	не только	16	28
4	и т.п	6	25
5	прежде всего	28	22
6	и т.д	2	21
7	хотя бы	2	18
8	то же	18	16
9	но и	14	16
10	и не	19	14
11	может быть	18	13
12	не может	8	13
13	как и	15	12
14	что мы	2	11
15	мы уже	17	11
16	точки зрения	14	11
17	в этом	41	10
18	в себе	7	10
19	и как	12	10
20	общественной жизни	1	10
21	мы должны	2	10
22	как мы	19	10
23	отнюдь не	7	10
24	мы не	4	9
25	при этом	8	9
26	все же	12	9
27	то что	13	9
28	для того	12	9
29	в то	13	9
30	таким образом	14	8
31	так как	12	8
32	с тем	5	8
33	и это	5	8
34	в ней	4	8
35	с его	10	8
36	ничего не	9	8
37	и на	13	7
38	так и	17	7
39	мы можем	2	7
40	только в	12	7
41	в которой	3	7
42	зависимости от	1	7
43	и его	26	7
44	потому что	11	7
45	того чтобы	11	7
46	и тем	1	7
47	же время	13	7
48	было бы	2	7
49	той же	2	7
50	и от	3	7
51	в зависимости	1	7
52	а не	7	7
53	никогда не	8	7
54	во всех	13	6
55	в его	19	6
56	не в	10	6
57	в нем	28	6
58	в конце	11	6
59	в процессе	4	6
60	и так	2	6
61	на его	1	6
62	бы в	1	6
63	точкой зрения	1	6
64	в свою	2	6
65	с помощью	5	6
66	одно и	4	6
67	в форме	5	6
68	или как	5	6
69	когда мы	2	6
70	в этой	3	6
71	точку зрения	3	6
72	мы будем	5	6
73	или иной	4	6
74	в области	1	6
75	в той	5	5
76	в самом	9	5
77	так далее	1	5
78	связанных с	3	5
79	то есть	42	5
80	уже в	5	5
81	и их	11	5
82	с точки	9	5
83	те же	5	5
84	не является	4	5
85	самом деле	2	5
86	но все	6	5
87	и с	10	5
88	но в	16	5
89	тому что	1	5
90	вместе с	9	5
91	точек зрения	1	5
92	своей жизни	6	5
93	мы увидим	2	5
94	и следовательно	5	5
95	слова и	4	5
96	как это	2	5
97	и является	2	5
98	а в	6	5
99	у которого	1	5
100	же самое	2	5
101	в нашем	3	5
102	и то	5	5
103	же мы	1	5
104	независимо от	1	5
105	и наконец	6	5
106	мы видели	2	5
107	всего в	4	4
108	были бы	1	4
109	и к	4	4
110	мы видим	4	4
111	один из	5	4
112	что это	1	4
113	на него	1	4
114	все это	10	4
115	в качестве	6	4
116	в одном	10	4
117	влияние на	6	4
118	его в	8	4
119	слова как	1	4
120	если бы	6	4
121	и все	10	4
122	с самого	3	4
123	так сказать	14	4
124	к своему	2	4
125	у нас	2	4
126	в словах	1	4
127	да и	4	4
128	как только	1	4
129	уже не	5	4
130	к тому	6	4
131	о том	4	4
132	связаны с	3	4
133	человека не	1	4
134	той или	3	4
135	самого начала	3	4
