N	3gram	Bakhtin_KF	Komedia
1	в том что	2	29
2	в то же	2	16
3	то же время	2	16
4	до сих пор	1	16
5	для того чтобы	1	11
6	в свою очередь	1	10
7	по отношению к	22	9
8	вместе с тем	1	9
9	бы то ни	2	7
10	то ни было	2	7
11	во всяком случае	1	7
12	с точки зрения	10	6
13	то же самое	1	5
14	тем не менее	2	5
15	и тот же	3	4
16	к тому что	1	4
17	независимо от того	1	4
18	во второй половине	1	4
19	что и в	1	4
20	в том же	1	3
21	в соответствии с	2	3
22	в чем не	4	3
23	сих пор не	1	3
24	равно как и	1	3
25	на то что	1	3
26	один и тот	3	3
27	ни в чем	4	3
28	в конечном счете	1	2
29	в большинстве случаев	1	2
30	в этом смысле	3	2
31	мы не найдем	1	2
32	по отношению ко	4	2
33	потому что в	1	2
34	всю свою жизнь	1	2
35	в первом случае	1	2
36	в зависимости от	1	2
37	и в то	1	2
38	не было и	1	2
39	в нем не	1	2
40	в основе своей	1	2
41	но и здесь	3	2
42	как это было	1	2
43	только в том	1	2
44	имеем в виду	2	2
45	и все же	1	2
46	время от времени	1	1
47	но все эти	3	1
48	независимо от его	1	1
49	что и для	1	1
50	не может быть	11	1
51	включая сюда и	2	1
52	до конца в	1	1
53	несмотря на то	1	1
54	во всех его	1	1
55	она могла бы	2	1
56	за собой и	1	1
57	в каком-то безвоздушном	1	1
58	и во всех	1	1
59	здесь мы видим	1	1
60	ни было и	1	1
61	а с точки	1	1
62	если он не	1	1
63	к которой мы	1	1
64	от себя а	2	1
65	того или иного	3	1
66	до конца и	1	1
67	но ни в	1	1
68	одного и того	1	1
69	может быть только	7	1
70	любви к человеку	1	1
71	в том случае	1	1
72	а тот в	1	1
73	все это может	1	1
74	чтобы дать в	1	1
75	в котором и	3	1
76	может быть таким	1	1
77	не отличаются от	1	1
78	смысле этого слова	1	1
79	вместо того чтобы	1	1
80	само по себе	1	1
81	и тем самым	1	1
82	и всякий другой	1	1
83	ничем не отличаются	1	1
84	к отказу от	1	1
85	и того же	1	1
86	но в этом	1	1
87	в этот момент	1	1
88	в нем в	1	1
89	в котором он	3	1
90	и в его	1	1
91	для нас важно	2	1
92	в одном случае	1	1
93	сказать в какой	1	1
94	и совершенно не	1	1
95	в значительной степени	1	1
96	что это противопоставление	1	1
97	а не в	2	1
98	и в этом	3	1
99	каком-то безвоздушном пространстве	1	1
100	на задний план	1	1
101	той или иной	2	1
102	но прежде всего	1	1
103	признать что в	1	1
104	переходя теперь к	1	1
105	могла бы быть	3	1
106	что и она	1	1
107	то что и	1	1
108	к нему в	4	1
109	он должен быть	1	1
110	как единственного и	1	1
111	именно в этой	1	1
112	на которого и	1	1
113	ясно что это	1	1
114	же самое что	1	1
115	может быть в	3	1
116	друг против друга	1	1
117	ни в один	1	1
118	он не может	1	1
119	все же будет	1	1
120	в настоящее время	1	1
121	едва ли кто-нибудь	1	1
122	и не должен	1	1
123	поэтому он не	1	1
124	со всех сторон	1	1
125	он может быть	2	1
126	отступает на задний	1	1
127	не было бы	3	1
128	в противном случае	1	1
129	я оказался в	1	1
130	и та же	2	1
131	него самого и	1	1
132	в лучшем случае	1	1
133	и в своей	3	1
134	и все остальные	1	1
135	не менее в	1	1
136	содержания и его	1	1
137	мы ничего не	1	1
138	одна и та	2	1
139	но только не	1	1
140	со стороны его	1	1
141	в нем и	3	1
142	вопрос о том	2	1
143	во всех отношениях	2	1
144	мы не можем	1	1
145	и не знает	1	1
146	в другом случае	1	1
147	как этот человек	1	1
148	если бы не	1	1
