N	3gram	Medvedev_V	Mirosoze
1	не может быть	8	28
2	в том что	5	9
3	это и есть	3	9
4	для того чтобы	3	7
5	вместе с тем	4	6
6	о том что	3	6
7	в братьях карамазовых	1	6
8	до сих пор	2	5
9	и вместе с	1	5
10	но и в	1	5
11	не было бы	4	5
12	после того как	2	5
13	может быть и	1	5
14	что он не	1	4
15	по отношению к	7	4
16	заключает в себе	1	4
17	в конце концов	2	4
18	от того что	2	4
19	на то что	1	4
20	в то время	1	4
21	можно было бы	2	4
22	то время как	1	4
23	толстой и достоевский	1	4
24	как будто бы	1	3
25	и он же	1	3
26	и никогда не	2	3
27	не может не	2	3
28	к тому что	4	3
29	а не только	1	3
30	в своем творчестве	3	3
31	по сравнению с	1	3
32	как и все	1	3
33	так же как	1	3
34	же как и	1	3
35	во всяком случае	2	3
36	также и в	2	3
37	и достоевский в	1	3
38	бы и не	3	2
39	не только в	2	2
40	хотя бы и	5	2
41	лежит в основе	1	2
42	может быть принята	1	2
43	человека а не	1	2
44	не было еще	1	2
45	бросается в глаза	1	2
46	одну и ту	1	2
47	ни к какому	1	2
48	и не может	2	2
49	л толстой и	1	2
50	и ту же	1	2
51	в том смысле	1	2
52	подобно тому как	3	2
53	не могут быть	4	2
54	никогда не может	1	2
55	т е в	2	2
56	в этом отношении	14	2
57	но ведь это	1	1
58	все это не	1	1
59	не было в	2	1
60	быть и речи	1	1
61	том смысле что	1	1
62	и т п	9	1
63	но и у	1	1
64	во всех его	2	1
65	что они не	1	1
66	в самом деле	1	1
67	т е от	1	1
68	не значит что	1	1
69	значит ли это	1	1
70	органической связи с	1	1
71	у него в	1	1
72	их что оно	1	1
73	и есть то	1	1
74	но и он	2	1
75	тому что на	1	1
76	с анной карениной	1	1
77	может быть выражена	1	1
78	в этом нет	1	1
79	не в том	2	1
80	в письме к	11	1
81	в том случае	1	1
82	а между тем	1	1
83	отношению к этим	1	1
84	что он в	1	1
85	в зависимости от	5	1
86	между этими двумя	1	1
87	все же и	1	1
88	ставил и разрешал	1	1
89	даже и в	1	1
90	но даже и	1	1
91	и по отношению	1	1
92	в существе своем	1	1
93	и есть в	1	1
94	что не могут	1	1
95	они должны быть	2	1
96	том что оно	1	1
97	не только у	1	1
98	с другой стороны	8	1
99	точном смысле слова	2	1
100	может быть свободен	1	1
101	действия не только	1	1
102	неизбежно приходит к	1	1
103	только тогда когда	1	1
104	и речи о	1	1
105	он сам по	1	1
106	у вл соловьева	1	1
107	и не быть	1	1
108	сих пор не	1	1
109	он пишет в	1	1
110	той или иной	1	1
111	не только для	2	1
112	придает огромное значение	1	1
113	по существу своему	1	1
114	но она не	1	1
115	в чем же	2	1
116	он придает огромное	1	1
117	ни в какой	1	1
118	его не интересует	1	1
119	имеем в виду	1	1
120	в ту же	1	1
121	лицом к лицу	1	1
122	идет дальше и	1	1
123	только в этом	1	1
124	в то же	5	1
125	и может иметь	1	1
126	своей личности в	1	1
127	не в этом	1	1
128	романы достоевского и	1	1
129	то же время	5	1
130	ли это что	1	1
131	и в творчестве	1	1
132	может быть никакого	1	1
133	того как он	1	1
134	выйти за пределы	1	1
135	есть то что	1	1
136	во всех этих	2	1
137	всего может быть	1	1
138	выражения в слове	1	1
139	свои творческие силы	1	1
140	если он не	1	1
141	своем творчестве он	1	1
142	хотя бы в	3	1
143	в свои произведения	1	1
144	том случае если	1	1
145	та или иная	3	1
146	с одной стороны	2	1
147	нет и не	1	1
148	сама по себе	1	1
149	из моментов в	1	1
