N	2gram	Voloshinov	Stilisti
1	и в	12	42
2	как бы	13	30
3	не только	4	28
4	и т.п	1	25
5	прежде всего	8	22
6	хотя бы	5	18
7	внутренней речи	3	18
8	то же	5	16
9	но и	3	16
10	социального общения	4	14
11	и не	10	14
12	может быть	14	13
13	не может	16	13
14	как и	5	12
15	что мы	5	11
16	мы уже	1	11
17	точки зрения	14	11
18	ситуации и	1	10
19	в этом	4	10
20	в себе	3	10
21	мы должны	1	10
22	как мы	1	10
23	отнюдь не	5	10
24	мы не	3	9
25	при этом	6	9
26	все же	4	9
27	то что	5	9
28	в то	2	9
29	таким образом	12	8
30	так как	9	8
31	и это	1	8
32	в ней	6	8
33	с его	2	8
34	ничего не	2	8
35	и на	4	7
36	так и	4	7
37	слов и	1	7
38	мы можем	2	7
39	только в	6	7
40	зависимости от	4	7
41	и его	13	7
42	того чтобы	1	7
43	и тем	1	7
44	же время	1	7
45	было бы	1	7
46	в зависимости	2	7
47	а не	5	7
48	никогда не	5	7
49	во всех	1	6
50	в его	2	6
51	не в	4	6
52	в нем	6	6
53	в процессе	6	6
54	и так	2	6
55	в свою	1	6
56	с помощью	6	6
57	одно и	2	6
58	в форме	2	6
59	когда мы	1	6
60	точку зрения	2	6
61	в области	1	6
62	в самом	4	5
63	связанных с	1	5
64	то есть	1	5
65	уже в	2	5
66	и их	1	5
67	с точки	2	5
68	те же	2	5
69	не является	1	5
70	все время	6	5
71	самом деле	3	5
72	но все	2	5
73	и с	3	5
74	но в	5	5
75	мы никогда	2	5
76	вместе с	2	5
77	точек зрения	3	5
78	а с	1	5
79	мы увидим	1	5
80	и следовательно	5	5
81	слова и	6	5
82	как это	2	5
83	и является	4	5
84	же самое	2	5
85	в нашем	11	5
86	художественного творчества	3	5
87	и то	2	5
88	же мы	1	5
89	или иного	1	5
90	независимо от	2	5
91	и наконец	3	5
92	мы видели	1	5
93	и к	4	4
94	общения в	1	4
95	слов в	1	4
96	что это	1	4
97	на него	2	4
98	все это	3	4
99	в качестве	1	4
100	в одном	1	4
101	влияние на	2	4
102	его в	4	4
103	жизненного высказывания	3	4
104	слова как	1	4
105	если бы	9	4
106	и все	2	4
107	с самого	1	4
108	во внутренней	1	4
109	и выбор	1	4
110	социальной группы	3	4
111	в слове	1	4
112	у нас	1	4
113	в словах	1	4
114	да и	3	4
115	как только	2	4
116	уже не	4	4
117	к тому	1	4
118	о том	3	4
119	и без	1	4
120	самого начала	1	4
121	можно сказать	5	4
122	если мы	1	4
123	на слушателя	1	4
124	и пр	3	4
125	внешней речи	1	4
126	было в	1	4
127	не существует	1	4
128	так называемой	3	4
129	и слушающего	1	4
130	так называемые	1	4
131	его внутренней	1	4
132	части высказывания	1	4
133	общения и	2	4
134	можно было	1	4
135	свою очередь	1	4
136	в обществе	1	4
137	на это	2	4
138	так же	3	4
139	в целом	1	4
140	себя в	1	4
141	тем же	1	4
142	речь и	1	4
143	слово не	1	4
144	что именно	1	4
145	тех или	1	4
146	само собой	1	4
147	точка зрения	3	4
148	того что	3	4
149	не к	3	4
150	не так	2	3
151	социальной жизни	2	3
152	что оно	1	3
153	без внутренней	1	3
154	и здесь	2	3
155	та же	1	3
156	зрения на	1	3
157	приближается к	1	3
158	ситуацию и	1	3
159	для нас	7	3
160	художественное творчество	1	3
161	и вот	1	3
162	в том	6	3
163	или иных	1	3
164	несмотря на	1	3
165	для него	3	3
166	хотя и	1	3
167	ни на	2	3
168	внутренней и	1	3
169	в ее	1	3
170	и внешней	1	3
171	высказывания с	2	3
172	мы в	2	3
173	то мы	1	3
174	на самом	4	3
175	и уже	3	3
176	что и	2	3
177	в виду	5	3
178	между ними	2	3
179	мы убедились	1	3
180	но что	2	3
181	связи с	1	3
182	здесь мы	1	3
183	в основе	1	3
184	форму высказывания	1	3
185	слова но	2	3
186	сознания не	1	3
187	допустим что	2	3
188	но для	3	3
189	высказывания как	4	3
190	и тому	1	3
191	словом и	2	3
192	может стать	2	3
193	все эти	3	3
194	как в	5	3
195	том что	5	3
196	бы мы	3	3
197	перед нами	1	3
198	еще не	3	3
199	но при	1	3
200	его и	1	3
201	высказывание как	2	3
202	то он	1	3
203	нуждается в	3	3
204	выражение в	2	3
205	убедились что	1	3
206	а к	2	3
207	в котором	3	3
208	свое выражение	4	3
209	зрения как	1	3
210	форма высказывания	2	3
211	между тем	3	3
212	высказывания и	2	3
213	не знает	1	3
214	в частности	1	3
215	только на	3	3
216	часть высказывания	1	3
217	и слово	2	3
218	конечно не	3	3
219	от того	4	3
220	мы ни	5	3
221	сказать что	7	3
222	высказывания в	1	3
223	жизни и	4	3
224	и эта	1	3
225	и для	3	3
226	это не	2	3
227	он должен	3	3
228	только одна	1	2
229	и всего	1	2
230	события и	1	2
231	в душе	2	2
232	и он	1	2
233	жизненной речи	3	2
234	на эти	1	2
235	художественного высказывания	1	2
236	должно быть	1	2
237	нас не	1	2
238	увидим что	1	2
239	зависит от	2	2
240	жизненное высказывание	4	2
241	и потому	2	2
242	предмет или	1	2
243	мы имеем	2	2
244	еще более	1	2
245	своего героя	1	2
246	может получить	1	2
247	этом отношении	1	2
248	с ним	3	2
249	кроме того	2	2
250	о чем	1	2
251	свое высказывание	1	2
252	общения не	2	2
253	для них	1	2
254	в отношении	2	2
255	с другими	2	2
256	фразы в	1	2
257	как нечто	1	2
