N	4gram	Medvedev_F	Myshleni
1	с этой точки зрения	1	16
2	в собственном смысле этого	1	14
3	собственном смысле этого слова	1	14
4	в том числе и	1	10
5	с одной стороны и	4	10
6	но вместе с тем	1	9
7	все более и более	3	8
8	заключается в том чтобы	1	7
9	в зависимости от этого	1	7
10	вместе с тем и	2	7
11	не что иное как	1	6
12	в той мере в	1	5
13	в том смысле что	2	5
14	той мере в какой	1	4
15	с самого начала что	1	4
16	есть не что иное	1	4
17	в свою очередь является	2	3
18	независимо друг от друга	1	3
19	в связи с этим	4	3
20	мы имеем в виду	1	3
21	с помощью этого метода	1	3
22	мы не можем не	1	3
23	и во всяком случае	1	3
24	не чем иным как	1	3
25	бы то ни было	1	3
26	но тем не менее	1	2
27	сводится к тому чтобы	1	2
28	в гораздо большей степени	1	2
29	в зависимости от того	1	2
30	в то же время	13	2
31	смысле этого слова а	1	2
32	нет и не может	2	2
33	в том и заключается	1	2
34	именно в этом пункте	1	2
35	на самом же деле	1	2
36	смысле этого слова мы	1	2
37	и с точки зрения	1	2
38	к тому что он	1	2
39	что в данном случае	1	2
40	какого бы то ни	1	2
41	независимых друг от друга	1	2
42	в том случае если	1	2
43	с точки зрения самого	1	2
44	с точки зрения этой	1	2
45	и не может быть	4	2
46	в значительной степени и	1	1
47	том и заключается что	1	1
48	с точки зрения этих	1	1
49	к тому что и	1	1
50	и в том что	1	1
51	в этом смысле мы	1	1
52	последовательно и до конца	1	1
53	в том отношении что	1	1
54	это значит что каждый	1	1
55	не выходит за пределы	1	1
56	в этом смысле можно	1	1
57	не с точки зрения	1	1
58	до сих пор почти	1	1
59	что он в своем	1	1
60	как и все остальные	1	1
61	по себе а лишь	1	1
62	столько же сколько и	1	1
63	мере в какой они	1	1
64	то что он не	1	1
65	в области гуманитарных наук	1	1
66	область так называемого практического	1	1
67	по самому своему существу	1	1
68	во внутренней речи слово	1	1
69	эта связь может быть	1	1
70	мы увидим дальше что	1	1
71	является вместе с тем	1	1
72	понятия в этом отношении	1	1
73	должно быть отнесено к	1	1
74	как и во всех	1	1
75	возвращаясь к нашему примеру	1	1
76	речи и т д	1	1
77	пр и пр в	1	1
78	и в конце концов	1	1
79	слово а не как	1	1
80	ни на один шаг	2	1
81	не можем согласиться с	1	1
82	в центр внимания и	1	1
83	является в высшей степени	1	1
84	то же время не	2	1
85	это не могло не	1	1
86	что как бы ни	1	1
87	то же время в	1	1
88	и состоит в том	1	1
89	можем говорить только о	1	1
90	для этого она должна	1	1
91	и ко всем вообще	1	1
92	и в то же	4	1
93	и то и другое	1	1
94	а в связи с	1	1
95	которой только и может	1	1
96	свое естественное место в	1	1
97	с точки зрения своей	1	1
98	и заключается в том	1	1
99	не говоря уже о	1	1
100	с социологической точки зрения	1	1
101	функции и в какой	1	1
102	в целом все это	1	1
103	но что же это	1	1
104	раз и навсегда не	1	1
105	вместе с тем это	1	1
106	состоит в том чтобы	1	1
107	в этом смысле и	1	1
108	мы не можем согласиться	1	1
109	только в связи с	1	1
110	в том чтобы раскрыть	1	1
111	от одного к другому	1	1
112	было бы сказать что	1	1
113	язык и его элементы	1	1
114	в своем дальнейшем развитии	1	1
115	культуры в то же	1	1
116	и пр и пр	4	1
117	и в этом отношении	1	1
118	одного понятия к другому	1	1
119	совершенно в той же	1	1
120	с точки зрения ее	1	1
