N	3gram	Nazirov_Tv	slovoVRo
1	и т п	4	72
2	не может быть	2	19
3	то же время	18	18
4	в то же	19	18
5	той или иной	1	15
6	в отличие от	2	14
7	в отношении к	1	12
8	человек и его	1	12
9	с одной стороны	1	11
10	и т д	10	10
11	во всяком случае	2	8
12	но в то	5	7
13	так и в	2	6
14	и в то	3	6
15	не может не	1	6
16	с другой стороны	2	6
17	в романе в	1	6
18	в том что	8	5
19	по отношению к	3	5
20	хотя бы и	1	5
21	не только в	2	5
22	до сих пор	1	4
23	и не может	2	4
24	в его романах	3	4
25	в свою очередь	2	4
26	о нем и	1	4
27	можно сказать что	2	4
28	с установкой на	1	4
29	не могут быть	2	4
30	того или иного	1	3
31	человека и его	2	3
32	в данном случае	2	3
33	в связи с	2	3
34	к тому что	1	3
35	в стороне от	1	3
36	и в истории	1	3
37	как и в	2	3
38	со всех сторон	1	3
39	в роман и	1	3
40	героя и его	1	3
41	в романе не	1	3
42	это не значит	2	2
43	и наконец в	1	2
44	и в другом	1	2
45	то или иное	1	2
46	так и от	1	2
47	тем не менее	2	2
48	то есть не	2	2
49	в чем не	1	2
50	все же и	1	2
51	нужно сказать что	1	2
52	в известном смысле	2	2
53	и в том	1	2
54	и в этом	1	2
55	хотя и не	1	2
56	и в романе	1	2
57	между человеком и	1	2
58	же время он	2	2
59	о том что	6	2
60	в мировой литературе	1	2
61	исключительно важную роль	1	2
62	или во всяком	1	2
63	можно было бы	1	2
64	с самого начала	3	2
65	же как и	1	2
66	друг для друга	1	2
67	по преимуществу в	1	2
68	мы уже говорили	2	2
69	на протяжении всего	2	2
70	ни в чем	1	2
71	который в своей	1	1
72	на этой почве	1	1
73	человек может не	1	1
74	так сказать в	1	1
75	при этом с	1	1
76	ивана карамазова и	2	1
77	но тем самым	1	1
78	у него есть	1	1
79	что он не	1	1
80	в создании образа	1	1
81	из них он	1	1
82	собой в его	1	1
83	это как бы	3	1
84	он еще не	2	1
85	в конечном счете	4	1
86	по себе а	1	1
87	здесь лишь на	1	1
88	во всей ее	1	1
89	в применении к	1	1
90	дело не только	1	1
91	между настоящим и	1	1
92	в ту же	1	1
93	в в виноградов	1	1
94	лишь одна из	1	1
95	при этом что	1	1
96	в xix веке	3	1
97	мы говорим о	1	1
98	в первый раз	1	1
99	влечет за собой	2	1
100	дело не в	1	1
101	он не может	1	1
102	этом романе и	1	1
103	в том числе	1	1
104	всего произведения в	1	1
105	и вследствие этого	1	1
106	так что они	1	1
107	в частности в	1	1
108	друг на друга	1	1
109	отношений между людьми	1	1
110	в романах достоевского	24	1
111	настоящим и прошлым	1	1
112	сами по себе	2	1
113	автора и не	1	1
114	идет уже не	1	1
115	начале xx века	1	1
116	именно потому что	1	1
117	из вильгельма мейстера	1	1
118	в один ряд	1	1
119	другой стороны и	1	1
120	том числе и	1	1
121	человеку как к	2	1
122	а во второй	1	1
123	и прежде всего	1	1
124	мы все время	1	1
125	целом ряде случаев	1	1
126	том что в	3	1
127	не лежит в	1	1
128	этой проблемы в	1	1
129	и в прямом	1	1
130	то ни было	1	1
131	одну и ту	1	1
132	самом же деле	1	1
133	при этом на	1	1
134	ибо у него	1	1
135	в своей книге	1	1
136	на самом же	1	1
137	бы то ни	1	1
138	еще более резко	1	1
139	говорили что в	1	1
140	но это не	2	1
141	он живет и	1	1
142	у ивана карамазова	1	1
143	в одном из	2	1
144	а как бы	1	1
145	в основе этой	1	1
146	человека но это	1	1
147	отношение автора к	1	1
148	значение в романах	1	1
149	признать что в	1	1
150	равно как и	1	1
151	и особенно в	1	1
152	и вот в	1	1
153	и ту же	1	1
154	по крайней мере	4	1
155	заключается в том	1	1
156	в чем же	1	1
157	в романе мы	1	1
158	в чем он	1	1
159	и в дальнейшем	1	1
160	со всеми его	1	1
161	имеем в виду	1	1
162	не может и	1	1
163	гоголя и достоевского	1	1
164	в целом ряде	1	1
165	все более и	1	1
166	не менее чем	1	1
167	которые играют в	1	1
168	как один из	1	1
169	не был бы	1	1
170	да и в	1	1
171	и способы его	1	1
172	более и более	1	1
173	человеческой личности не	1	1
174	но все это	1	1
175	имеет исключительное значение	1	1
176	роман xix века	2	1
177	в его понимании	1	1
178	в этом романе	2	1
179	как и на	1	1
180	добра и зла	2	1
181	между прочим в	1	1
182	дело в том	4	1
183	поступков и событий	1	1
184	так же как	1	1
185	уже говорили что	1	1
186	мы имеем в	1	1
187	в начале xx	1	1
188	то есть его	1	1
189	еще далеко не	1	1
190	со своим собственным	1	1
191	и его образность	1	1
192	что в романе	1	1
193	есть по преимуществу	1	1
194	и даже как	1	1
195	в нем и	1	1
196	в идеологической сфере	1	1
197	нет и не	1	1
