N	2gram	Tiupa_Teor	slovoVRo
1	и в	24	92
2	в романе	3	89
3	то есть	22	64
4	может быть	22	59
5	и его	11	59
6	в нем	7	59
7	и не	17	51
8	не только	24	44
9	не может	8	41
10	но и	14	39
11	до конца	1	37
12	в этом	12	36
13	а не	14	34
14	во всех	3	32
15	точки зрения	11	30
16	так и	14	30
17	языка и	1	29
18	могут быть	5	29
19	и др	3	29
20	в пределах	5	29
21	в его	12	27
22	слова в	4	26
23	языка в	4	25
24	все это	2	25
25	как бы	8	24
26	слова и	1	24
27	слово в	1	24
28	то же	12	23
29	чужой речи	1	23
30	и на	2	22
31	в сущности	1	21
32	как в	5	21
33	не в	9	21
34	вовсе не	3	21
35	в то	9	20
36	прежде всего	3	19
37	с чужим	1	19
38	как мы	1	19
39	с ним	1	18
40	как и	6	18
41	же время	8	18
42	себя в	7	18
43	или иной	7	18
44	таким образом	3	17
45	оно не	2	17
46	и даже	2	17
47	все же	1	17
48	в основе	6	17
49	в истории	1	17
50	все эти	3	17
51	в большинстве	2	17
52	при этом	20	16
53	в них	2	16
54	к своему	2	16
55	отличие от	7	16
56	но в	12	16
57	в той	2	15
58	языков в	1	15
59	с точки	3	15
60	той или	3	15
61	только в	9	14
62	в отличие	7	14
63	в узком	3	14
64	в особенности	1	13
65	отношении к	4	13
66	в слове	4	13
67	на фоне	2	13
68	европейского романа	1	13
69	это не	4	13
70	с другой	9	13
71	с его	6	13
72	поэтического слова	1	13
73	рядом с	1	13
74	и для	3	13
75	и к	3	12
76	в отношении	4	12
77	еще не	6	12
78	никогда не	4	12
79	и потому	3	12
80	или в	3	12
81	точек зрения	1	12
82	а в	15	12
83	отношение к	7	12
84	один из	2	11
85	роман и	2	11
86	в этих	4	11
87	большинстве случаев	1	11
88	с ними	2	11
89	языкового сознания	1	11
90	для него	5	11
91	с одной	3	11
92	всех его	1	11
93	на его	1	11
94	одной стороны	3	11
95	слова как	3	11
96	и их	1	10
97	уже не	6	10
98	все они	1	10
99	лишь в	10	10
100	в своем	7	10
101	может не	1	10
102	в том	20	10
103	с другими	6	10
104	романного слова	1	10
105	она не	1	10
106	в себе	14	10
107	далеко не	4	10
108	в него	1	10
109	более или	6	9
110	в своей	8	9
111	сказать что	4	9
112	языка а	1	9
113	на почве	5	9
114	этом случае	1	9
115	так как	1	9
116	его в	4	9
117	одна из	1	9
118	в их	4	9
119	или менее	6	9
120	героя и	6	9
121	и мир	1	9
122	он не	5	9
123	быть и	2	9
124	одним из	3	9
125	к чужому	2	9
126	и от	1	9
127	но не	13	9
128	с ее	4	9
129	к нему	2	9
130	более того	1	9
131	в самом	7	8
132	для нас	1	8
133	не на	4	8
134	не могут	2	8
135	зависимости от	1	8
136	в значительной	2	8
137	для понимания	2	8
138	с этим	1	8
139	в зависимости	1	8
140	языка но	1	8
141	входит в	4	8
142	в одной	1	8
143	человека и	2	8
144	на мир	2	8
145	они могут	1	8
146	от него	1	7
147	же и	1	7
148	смысла и	1	7
149	например в	3	7
150	том что	11	7
151	перед нами	3	7
152	сливается с	1	7
153	автора и	2	7
154	и иных	2	7
155	известной степени	3	7
156	значительной степени	2	7
157	но именно	1	7
158	здесь не	2	7
159	друг друга	1	7
