N	2gram	Nazirov_Tr	Literetu
1	а не	1	50
2	и не	7	47
3	не только	8	46
4	и в	18	44
5	может быть	7	43
6	при этом	3	41
7	но и	4	41
8	тогда как	1	40
9	в том	2	39
10	в этом	9	38
11	своего рода	3	37
12	том что	4	32
13	в частности	2	30
14	то что	4	29
15	в мире	3	28
16	то же	5	26
17	в году	9	26
18	как и	5	23
19	в то	5	23
20	не в	2	22
21	того что	1	22
22	так и	5	22
23	не может	5	22
24	я и	1	21
25	х годов	1	21
26	же время	6	21
27	в себе	4	20
28	я в	1	19
29	прежде всего	4	19
30	как бы	7	18
31	то есть	3	17
32	в его	3	17
33	в этой	4	16
34	не менее	1	15
35	я не	4	15
36	только в	1	15
37	в стихах	1	15
38	тем самым	3	15
39	в целом	4	15
40	и даже	4	14
41	что он	6	14
42	уже не	2	13
43	в своем	3	13
44	с одной	1	13
45	как это	3	13
46	но не	1	13
47	и его	6	13
48	в своей	1	12
49	о том	2	12
50	в данном	2	12
51	к себе	1	12
52	одним из	1	12
53	еще не	4	12
54	а также	1	12
55	не столько	1	11
56	в другом	1	11
57	никогда не	2	11
58	и сам	3	11
59	столь же	2	11
60	еще в	2	11
61	вместе с	1	11
62	как в	3	11
63	в отличие	2	11
64	с его	2	11
65	данном случае	2	11
66	это не	5	11
67	отличие от	2	11
68	в противовес	1	10
69	в ее	2	10
70	не случайно	2	10
71	что в	4	10
72	и на	7	10
73	жизни в	1	10
74	потому что	2	10
75	отнюдь не	3	10
76	в области	1	10
77	с этой	1	9
78	к тому	2	9
79	представляет собой	1	9
80	связи с	1	9
81	один из	3	9
82	что я	4	9
83	одно из	1	9
84	отказ от	1	9
85	и т.д	1	9
86	лишь в	1	9
87	быть может	1	8
88	тем что	2	8
89	все же	5	8
90	исходит из	1	8
91	одна из	2	8
92	на себя	1	8
93	что не	1	8
94	в конце	3	8
95	о себе	1	8
96	той же	1	8
97	в глазах	2	8
98	но в	6	8
99	уже в	3	8
100	для него	3	8
101	xix века	1	8
102	и как	3	8
103	и я	2	8
104	вплоть до	1	8
105	в самом	2	7
106	в одном	2	7
107	именно в	1	7
108	ведет к	1	7
109	не как	1	7
110	он не	2	7
111	и с	7	7
112	в нем	4	7
113	по своей	1	7
114	в сфере	1	7
115	до конца	2	7
116	друг друга	2	7
117	перестает быть	1	7
118	он и	2	7
119	это как	1	7
120	а затем	1	6
121	в виду	1	6
122	например в	1	6
123	и он	3	6
124	у него	6	6
125	его в	2	6
126	не было	1	6
127	с жизнью	1	6
128	во всех	1	6
129	с ее	3	6
130	то в	1	6
131	самом деле	1	6
132	то и	2	6
133	и др	1	6
134	и то	2	6
135	что ему	1	6
136	в жизнь	1	6
137	в ней	1	6
138	как будто	3	6
139	право на	1	6
140	и наконец	1	6
141	к этой	1	5
142	в связи	1	5
143	с собой	1	5
144	хотя бы	1	5
145	русской литературы	2	5
