N	4gram	Potebnia_M	FransuaR
1	в то же время	3	55
2	дело в том что	3	13
3	с одной стороны и	2	5
4	одной и той же	3	4
5	один и тот же	1	4
6	переходят друг в друга	1	4
7	одного и того же	6	3
8	не что иное как	2	3
9	и его связь с	1	3
10	все более и более	2	2
11	в то время когда	2	2
12	здесь как и во	1	2
13	заключается в том что	1	2
14	бы то ни было	1	2
15	но дело в том	2	2
16	и в том что	1	2
17	в более или менее	1	2
18	но даже и в	1	2
19	но и в более	1	2
20	как и во всех	1	2
21	то же время не	1	2
22	во всяком случае не	1	1
23	удовольствия и неудовольствия и	1	1
24	в то время как	1	1
25	тем не менее он	1	1
26	то есть только в	1	1
27	как бы ни были	1	1
28	всех времен и народов	1	1
29	в одном и том	3	1
30	мы не знаем но	1	1
31	одном и том же	3	1
32	для него как для	1	1
33	имеет ничего общего с	1	1
34	с другой стороны он	1	1
35	в том что все	1	1
36	и связанное с ним	1	1
37	и в том и	1	1
38	в том случае если	1	1
39	только после того как	1	1
40	то что мы называем	1	1
41	к одной и той	1	1
42	так например мы уже	1	1
43	сказать что и в	1	1
44	не имеет ничего общего	1	1
45	не только в разных	1	1
46	в том что он	1	1
47	вовлекает в свой круг	1	1
48	и в этом отношении	1	1
49	и все это совершается	1	1
50	как бы ни был	1	1
51	чтобы убедиться в этом	1	1
52	в каждом из этих	1	1
53	не в том что	3	1
54	подобно тому как в	1	1
55	в том что оно	1	1
