N	4gram	Propp_Isto	VLabPisa
1	в этом отношении можно	1	2
2	с одной стороны и	1	2
3	в том отношении что	1	2
4	в большей или меньшей	1	2
5	приводит к тому что	1	2
6	его в зависимости от	1	1
7	как один из видов	1	1
8	о том как он	1	1
9	иметь в виду что	1	1
10	которых можно было бы	1	1
11	не чем иным как	1	1
12	ни один из них	1	1
13	один из них не	1	1
14	является не чем иным	1	1
15	но все же и	1	1
16	но вместе с тем	1	1
17	с большей или меньшей	1	1
18	говоря уже о том	1	1
19	число которых можно было	1	1
20	с другой стороны в	1	1
21	уже о том что	1	1
22	после того как он	2	1
23	так же как и	1	1
24	в то время как	3	1
25	что для того чтобы	1	1
26	достаточно напомнить хотя бы	1	1
27	не говоря уже о	1	1
28	и вместе с тем	2	1
29	ответ на этот вопрос	1	1
30	и т д но	2	1
