N	3gram	Potebnia_M	VLabPisa
1	и т д	6	16
2	в этом отношении	1	14
3	и т п	4	9
4	не может быть	11	8
5	с другой стороны	7	8
6	по отношению к	13	7
7	более или менее	6	6
8	в том что	18	5
9	в то же	3	5
10	то же время	3	5
11	в одном из	2	4
12	вместе с тем	1	4
13	не было бы	3	4
14	не могут быть	5	4
15	в связи с	2	4
16	к тому что	2	4
17	мы видели что	2	3
18	о том как	1	3
19	для того чтобы	4	3
20	о том что	1	3
21	подобно тому как	7	3
22	одной стороны и	2	2
23	не только для	2	2
24	и том же	3	2
25	во всяком случае	7	2
26	от того что	5	2
27	по крайней мере	6	2
28	этой точки зрения	1	2
29	не в том	6	2
30	таким образом в	3	2
31	в противном случае	3	2
32	мы знаем что	1	2
33	до сих пор	5	2
34	не только не	2	2
35	это видно из	1	2
36	не только в	3	2
37	всех этих и	1	2
38	во всех этих	1	2
39	в каждом отдельном	1	2
40	только в том	7	2
41	только то что	1	2
42	с одной стороны	6	2
43	одном и том	3	2
44	можно было бы	1	2
45	после того как	3	2
46	и в процессе	1	2
47	и не может	1	2
48	между ними не	1	1
49	так же как	1	1
50	потому что самое	1	1
51	том как он	1	1
52	во время сна	1	1
53	на вопрос что	1	1
54	может быть выражена	1	1
55	может быть достигнуто	1	1
56	имеет ничего общего	1	1
57	в свою очередь	8	1
58	в одном и	3	1
59	вместе с этим	1	1
60	все то что	2	1
61	чтобы не впасть	1	1
62	между собою и	1	1
63	уже в самых	1	1
64	в применении к	3	1
65	том смысле что	2	1
66	и связанное с	2	1
67	на то что	3	1
68	и может быть	4	1
69	вне себя и	1	1
70	но и в	4	1
71	в том смысле	7	1
72	в этом смысле	4	1
73	без них не	1	1
74	по сравнению с	1	1
75	не имели бы	1	1
76	в том случае	1	1
77	между ними нет	1	1
78	другой стороны он	1	1
79	не по частям	1	1
80	а не по	1	1
81	то время как	1	1
82	мы говорим о	1	1
83	не впасть в	1	1
84	заключает в себе	6	1
85	что в нашей	1	1
86	говоря уже о	1	1
87	с этой точки	2	1
88	к так называемым	1	1
89	то что в	2	1
90	и тем более	1	1
91	и во всех	2	1
92	что все они	1	1
93	таким образом уже	1	1
94	не отличается от	1	1
95	имеет свою историю	1	1
96	и как увидим	1	1
97	в то время	3	1
98	могло бы быть	1	1
99	что без них	1	1
100	а между тем	5	1
101	что в них	1	1
102	но даже и	1	1
103	на этот вопрос	2	1
104	приводит в движение	1	1
105	в таком случае	4	1
106	все же не	1	1
107	того что не	1	1
108	нашего познания и	1	1
109	не говоря уже	1	1
110	сами по себе	8	1
111	то прежде всего	1	1
112	прежде всего следует	1	1
113	связанное с ними	1	1
114	именно эти формы	1	1
115	того как он	1	1
116	ничего общего с	1	1
117	было бы при	1	1
118	что мы имеем	1	1
119	сами собою и	1	1
120	хотим сказать что	1	1
121	к более легким	1	1
122	выйти за пределы	1	1
123	то все же	3	1
124	между этими двумя	1	1
125	даже и в	1	1
126	служит для него	2	1
127	главным образом в	1	1
128	того или другого	1	1
129	что они не	1	1
130	именно в том	1	1
131	может обойтись без	1	1
132	а в том	4	1
133	мы хотим сказать	1	1
134	что во всех	2	1
135	могут быть сведены	1	1
136	в ней не	1	1
137	не имеет ничего	1	1
138	может быть признана	1	1
139	как если бы	1	1
140	не может обойтись	2	1
141	них не было	1	1
142	доказывается тем что	1	1
143	и др и	1	1
144	уже о том	1	1
145	том случае если	1	1
146	сама по себе	4	1
147	что совокупность понятий	1	1
148	не могло бы	2	1
149	том что оно	1	1
150	по его мнению	4	1
151	их отношение к	1	1
152	но все же	2	1
153	лицом к лицу	1	1
154	это не противоречит	1	1
155	вопрос о том	1	1
156	только тогда когда	5	1
157	но и для	2	1
158	если бы он	1	1
159	но с другой	3	1
160	и весь процесс	1	1
