N	4gram	Bakhtin_sl	Myshleni
1	в то время как	2	20
2	с этой точки зрения	1	16
3	одной и той же	1	15
4	одно и то же	2	12
5	в том числе и	1	10
6	с одной стороны и	2	10
7	как мы уже говорили	1	9
8	все более и более	1	8
9	в том что в	1	8
10	в том что он	1	8
11	мышления и речи в	1	6
12	прежде чем перейти к	1	5
13	в этом случае в	1	4
14	одни и те же	1	4
15	о которых мы говорили	2	4
16	и то же слово	2	4
17	находит свое выражение в	1	3
18	мы имеем в виду	1	3
19	в том что оно	1	3
20	в данном случае не	1	3
21	дело в том что	1	3
22	или во всяком случае	2	3
23	бы то ни было	1	3
24	ни при каких условиях	1	2
25	в то же время	15	2
26	ни в какой степени	1	2
27	и не могут быть	1	2
28	том что он не	1	2
29	и в другом случае	2	2
30	на самом же деле	1	2
31	рядом друг с другом	1	2
32	в той или иной	12	2
33	и с точки зрения	1	2
34	она не может быть	1	2
35	с точки зрения самого	2	2
36	и там где они	1	2
37	с самого начала в	1	2
38	на каждом шагу в	1	2
39	никогда не может быть	2	1
40	в значительной степени и	1	1
41	в том и в	2	1
42	простое и непосредственное отношение	1	1
43	необходимо иметь в виду	1	1
44	все целиком во всех	1	1
45	с той или иной	1	1
46	том и в другом	2	1
47	не выходит за пределы	3	1
48	во всяком случае не	1	1
49	не с точки зрения	1	1
50	и связанная с ней	1	1
51	и с другой стороны	2	1
52	и до наших дней	1	1
53	оно не может быть	1	1
54	по самому своему существу	1	1
55	но во всяком случае	1	1
56	в каждый данный момент	4	1
57	бы друг с другом	1	1
58	прямо и непосредственно как	1	1
59	и в лучшем случае	1	1
60	не только в смысле	1	1
61	то же время в	1	1
62	целиком во всех своих	1	1
63	все дело в том	1	1
64	и в то же	6	1
65	можно прямо сказать что	2	1
66	в отличие от второй	1	1
67	ни в чем не	1	1
68	по отношению к себе	1	1
69	всем его принципиальном значении	1	1
70	даже с точки зрения	1	1
71	бы они ни были	1	1
72	нас в данном случае	1	1
73	до сих пор достаточно	1	1
74	поставить в один ряд	1	1
75	но с другой стороны	1	1
76	каковы бы они ни	1	1
77	мы наблюдаем аналогичные явления	1	1
78	которая лежит в основе	1	1
79	во всех этих случаях	1	1
80	может объединять в себе	1	1
81	во всем его принципиальном	1	1
82	в неразрывной связи с	1	1
83	образов с одной стороны	1	1
84	привело к тому что	1	1
