N	2gram	Potebnia_M	Sotsiolo
1	все это	3	7
2	в том	38	5
3	в этом	18	5
4	не только	32	3
5	как же	1	3
6	не в	23	3
7	и в	58	3
8	и только	6	3
9	более чем	1	3
10	в его	7	3
11	для нас	29	3
12	что в	34	2
13	то что	24	2
14	таким образом	21	2
15	том что	21	2
16	или даже	3	2
17	как бы	12	2
18	в результате	1	2
19	было бы	21	2
20	как будто	2	2
21	в смысле	4	2
22	это зависит	1	2
23	очевидно что	5	2
24	и мы	1	2
25	нужно было	3	2
26	но и	26	2
27	может быть	47	2
28	она может	3	2
29	главным образом	4	2
30	и что	13	2
31	исторической жизни	1	2
32	за пределы	4	2
33	по отношению	15	2
34	как только	1	2
35	отношению к	13	2
36	исторического развития	1	2
37	должна быть	4	2
38	далеко не	4	2
39	тем более	2	2
40	только в	36	2
41	к которому	5	2
42	только как	5	2
43	законы развития	1	2
44	то же	13	2
45	еще не	9	2
46	противоположностей и	1	1
47	а в	11	1
48	что он	5	1
49	образом в	5	1
50	столь же	6	1
51	теперь он	1	1
52	даже в	1	1
53	на что	3	1
54	случае пришлось	1	1
55	быть не	7	1
56	в таких	2	1
57	в целом	3	1
58	вряд ли	2	1
59	и самые	1	1
60	на этот	2	1
61	это значит	1	1
62	что эти	1	1
63	все эти	3	1
64	не один	2	1
65	не было	7	1
66	представить себе	3	1
67	когда мы	4	1
68	остается в	1	1
69	развития и	3	1
70	развитие но	1	1
71	связи с	6	1
72	точке зрения	4	1
73	только то	3	1
74	в своей	3	1
75	что без	2	1
76	во всяком	9	1
77	в мире	3	1
78	и потому	7	1
79	из круга	1	1
80	переходим к	2	1
81	дает нам	2	1
82	все же	11	1
83	научного исследования	1	1
84	что это	5	1
85	или не	3	1
86	еще и	1	1
87	от друга	3	1
88	на ней	4	1
89	можно будет	1	1
90	по крайней	6	1
91	иначе и	1	1
92	с другой	13	1
93	ни на	1	1
94	мы понимаем	1	1
95	мы должны	4	1
96	а тем	1	1
97	и стало	1	1
98	с каким-либо	1	1
99	это как	1	1
100	с ним	7	1
101	так называемым	1	1
102	какие в	1	1
103	противном случае	3	1
104	между тем	7	1
105	и более	3	1
106	но как	4	1
107	в этой	3	1
108	из себя	6	1
109	и его	7	1
110	перейти к	3	1
111	они ни	2	1
112	быть для	2	1
113	развития развитие	1	1
114	никак не	3	1
115	в данном	1	1
116	на все	5	1
117	только для	7	1
118	в области	1	1
119	и по	8	1
120	их на	1	1
121	его собственная	1	1
122	этом не	2	1
123	один из	2	1
124	так и	17	1
125	в противном	3	1
126	только тогда	7	1
127	в то	6	1
128	полагает что	3	1
129	бы они	2	1
130	наука о	1	1
131	системы как	2	1
132	слова но	4	1
133	можно принять	1	1
134	в котором	5	1
135	те же	4	1
136	не значат	1	1
137	должна с	1	1
138	должно было	1	1
139	следующее как	1	1
140	и не	34	1
141	со своими	1	1
142	но она	3	1
143	всяком случае	7	1
144	том как	6	1
145	или нет	3	1
146	и о	3	1
147	и история	1	1
148	но не	19	1
149	может служить	2	1
150	они не	5	1
151	сущности есть	1	1
152	и им	1	1
153	для этого	2	1
154	прежде всего	8	1
155	тем что	15	1
156	что она	3	1
157	тем же	4	1
158	в каждом	6	1
159	он по	1	1
160	связь между	2	1
161	бы видеть	1	1
162	друг от	3	1
163	в чем	6	1
164	не из	3	1
165	на основании	3	1
166	и связь	1	1
167	а между	5	1
168	же не	2	1
169	но только	2	1
170	не дает	2	1
171	значении слова	1	1
172	мы думаем	3	1
173	в сущности	2	1
174	психологии и	1	1
175	он говорит	1	1
176	его в	3	1
177	не от	4	1
178	пришлось бы	1	1
179	в наше	1	1
180	зависит от	6	1
181	представляется нам	4	1
182	крайней мере	6	1
183	но одно	1	1
184	в процессе	1	1
185	между собою	10	1
186	ни были	3	1
187	я и	1	1
188	вовсе не	13	1
189	против этого	1	1
190	с одной	7	1
191	конечно не	1	1
192	о том	6	1
193	мы не	17	1
194	тому что	4	1
195	в заключение	1	1
196	мысли в	11	1
197	том и	2	1
198	и затем	1	1
199	наше время	1	1
200	условий то	1	1
201	в этих	10	1
202	ровно ничего	1	1
203	сама по	4	1
204	у него	3	1
205	своих мыслей	1	1
206	по себе	24	1
207	без этого	1	1
208	перед нами	1	1
209	из тех	1	1
210	бы он	1	1
211	это дает	1	1
212	и остаются	1	1
213	все то	2	1
214	хотя бы	4	1
215	же время	4	1
216	наконец в	1	1
217	что на	9	1
218	это не	10	1
219	одной стороны	6	1
220	в связи	2	1
221	бы в	6	1
222	и должно	2	1
223	стало быть	6	1
224	в виде	1	1
225	именно в	2	1
226	вопросом о	2	1
227	никогда не	7	1
228	и есть	4	1
229	не может	30	1
230	между ними	2	1
231	и как	11	1
232	что все	4	1
233	место в	3	1
234	не без	2	1
235	как и	16	1
236	ничего не	2	1
237	в них	7	1
