N	2gram	Tiupa_Disk	Otkroven
1	у достоевского	1	19
2	и в	27	19
3	и не	25	13
4	но и	22	13
5	в этом	29	12
6	человека в	6	11
7	а не	35	11
8	не только	36	11
9	не в	8	11
10	может быть	29	11
11	вопрос о	2	10
12	и все	5	10
13	в нем	16	10
14	к человеку	1	9
15	потому что	7	9
16	прежде всего	17	9
17	не было	9	9
18	никогда не	3	9
19	и он	2	8
20	он был	1	8
21	в его	9	7
22	он всегда	2	7
23	он не	4	7
24	лишь в	4	7
25	до конца	2	7
26	человек не	2	7
27	человеческой личности	1	6
28	все это	2	6
29	как и	27	6
30	в самом	4	5
31	в творчестве	4	5
32	в том	29	5
33	человеке и	1	5
34	для него	9	5
35	в этой	5	5
36	а в	5	5
37	отношение к	6	5
38	в россии	1	5
39	о его	1	5
40	то что	10	5
41	что в	8	4
42	не может	17	4
43	человеческих отношений	1	4
44	что не	4	4
45	все эти	2	4
46	на земле	1	4
47	и его	4	4
48	он сам	2	4
49	с его	9	4
50	в русской	4	3
51	и от	2	3
52	что человек	1	3
53	хотя бы	3	3
54	это не	5	3
55	мысли и	2	3
56	когда он	3	3
57	в этих	4	3
58	не могут	2	3
59	в своих	6	3
60	в записках	2	3
61	как бы	9	3
62	было бы	1	3
63	могут быть	5	3
64	в себе	22	3
65	достоевского в	1	3
66	и есть	2	3
67	что он	6	3
68	различие между	3	3
69	это было	2	3
70	нем нет	1	3
71	и ее	5	3
72	о том	12	3
73	того что	4	3
74	к нему	1	3
75	еще не	20	3
76	всего в	2	2
77	человека к	1	2
78	и к	4	2
79	как к	2	2
80	искать не	1	2
81	и потому	3	2
82	так и	14	2
83	что они	1	2
84	и то	4	2
85	все же	8	2
86	не могли	1	2
87	его героев	1	2
88	должно быть	2	2
89	в дневнике	1	2
90	в явлениях	1	2
91	его не	1	2
92	и ни	1	2
93	уже в	2	2
94	в другом	5	2
95	этом мире	2	2
96	личности и	1	2
97	так что	1	2
98	в своем	11	2
99	в этот	1	2
100	с тем	1	2
101	этом он	1	2
102	в которой	2	2
103	ее в	1	2
104	не все	1	2
105	одно из	4	2
106	что и	5	2
107	для человека	1	2
108	которую он	1	2
109	россии в	1	2
110	в уста	1	2
111	в истории	5	2
112	его в	1	2
113	мысль о	3	2
114	он весь	1	2
115	образ человека	2	2
116	и с	2	2
117	что же	4	2
118	и там	1	2
119	он в	1	2
120	и о	4	2
121	сказать что	4	2
122	тем что	4	2
123	и на	8	2
124	в других	1	2
125	учение о	1	2
126	ничего не	1	2
127	хотя и	3	2
128	не есть	3	2
129	в своей	10	2
130	момент в	3	2
131	все еще	1	2
132	жизни в	4	2
133	по себе	3	2
134	не имеет	1	2
135	о любви	2	2
136	к этому	4	2
137	том что	27	2
138	в ее	4	2
139	своей жизни	1	2
140	природы все	1	2
141	но в	15	2
142	и нет	1	2
143	вопросом о	1	2
144	было у	1	1
145	мире это	1	1
146	что было	1	1
147	науки о	1	1
148	и мир	1	1
149	ближе к	2	1
150	во всем	2	1
151	к одному	2	1
152	в каждом	2	1
153	во всяком	3	1
154	ни к	11	1
155	его и	1	1
156	во внешнем	1	1
157	том случае	1	1
158	бытия как	1	1
159	а потому	1	1
160	в бытовом	1	1
161	но оно	1	1
162	а с	8	1
163	не существует	1	1
164	и других	1	1
165	и всякий	1	1
166	один из	3	1
167	начало в	2	1
168	в котором	7	1
169	из сторон	1	1
170	по природе	6	1
171	не нужна	1	1
172	и состоит	2	1
173	он ни	2	1
174	мир в	1	1
175	они и	3	1
176	для русской	1	1
177	же и	1	1
178	любой из	1	1
179	знаменательно что	1	1
180	не имеют	2	1
181	был даже	1	1
182	человека не	1	1
183	случае если	1	1
184	в пределе	2	1
185	к одной	1	1
186	жизни а	2	1
187	этого она	1	1
188	и личной	1	1
189	и заключается	1	1
190	в первый	1	1
191	собой в	1	1
192	его с	2	1
193	она не	1	1
194	том как	1	1
195	должна быть	2	1
196	мы не	2	1
197	не могу	1	1
198	и остаются	1	1
199	есть без	1	1
200	это лишь	1	1
201	также и	6	1
202	но не	17	1
203	природе своей	6	1
204	из жизни	3	1
205	людей но	1	1
206	для многих	1	1
207	не по	1	1
208	представляет собой	24	1
209	быть осуществлено	1	1
210	оба они	2	1
211	не быть	1	1
212	в ней	2	1
213	человека как	1	1
214	самому себе	3	1
215	художественного творчества	1	1
216	лишь его	1	1
217	что это	1	1
218	в отношениях	1	1
219	которая его	1	1
220	речи и	2	1
221	этом отношении	4	1
222	один человек	1	1
223	может служить	2	1
224	всяком случае	2	1
225	о чем	4	1
226	сознания в	2	1
227	в свое	3	1
228	в сущности	3	1
229	действующих лиц	1	1
230	человеческой индивидуальности	1	1
231	сам по	1	1
232	в частности	18	1
233	говорит о	1	1
234	как это	2	1
235	о нем	3	1
236	между двумя	1	1
237	строгом смысле	1	1
238	чем у	2	1
239	чего не	3	1
240	на нем	1	1
241	это представляется	1	1
242	со всей	1	1
243	как у	1	1
244	со стороны	17	1
245	он должен	1	1
246	в науке	2	1
247	видеть в	1	1
248	не с	4	1
249	отношении к	1	1
250	не хочет	1	1
251	и что	2	1
252	в одном	5	1
253	на самом	1	1
254	они в	1	1
255	его характер	2	1
256	бы и	1	1
257	заключает в	1	1
258	и это	3	1
259	что русский	1	1
260	вообще но	1	1
261	мира по	1	1
262	там и	1	1
263	в строгом	5	1
264	и до	2	1
265	с их	3	1
266	по содержанию	1	1
267	природу и	1	1
268	жизнь более	1	1
269	не вполне	1	1
270	христианский писатель	1	1
271	по своей	15	1
272	от того	1	1
273	всей ее	1	1
274	человека с	1	1
275	цели и	1	1
276	красоты в	1	1
277	остаются на	1	1
278	в них	6	1
279	действующие лица	1	1
280	в форме	2	1
281	было и	1	1
282	видно что	1	1
