N	2gram	Savitsky_E	VelikijI
1	и не	14	20
2	и в	37	16
3	так как	7	9
4	то что	6	9
5	в истории	2	8
6	и потому	5	7
7	а не	2	7
8	на земле	1	7
9	не есть	2	6
10	хотя и	2	5
11	того что	7	5
12	как бы	6	5
13	на себя	3	5
14	в мире	2	5
15	но и	14	5
16	все что	1	4
17	в котором	2	4
18	в этом	12	4
19	что мы	1	4
20	потому что	3	4
21	в его	2	4
22	в ней	4	4
23	так и	10	4
24	говорить о	1	4
25	мы хотим	1	4
26	и все	2	4
27	что не	1	4
28	что все	2	4
29	как и	7	4
30	в силах	1	4
31	в нем	1	4
32	во всех	6	3
33	что в	21	3
34	нет ничего	1	3
35	бы и	3	3
36	и мы	3	3
37	то это	1	3
38	мы же	1	3
39	должно быть	1	3
40	этого мира	1	3
41	если не	1	3
42	хотя бы	15	3
43	в том	11	3
44	тому что	1	3
45	не в	5	3
46	и что	2	3
47	что и	3	3
48	в этих	2	3
49	в них	3	3
50	оно не	1	3
51	не было	1	3
52	лишь в	1	3
53	что во	1	3
54	и будет	1	3
55	в жизни	1	3
56	по этому	1	3
57	как не	2	3
58	в своей	8	3
59	должна быть	2	3
60	с его	1	3
61	от этого	5	3
62	не имеет	4	3
63	но это	1	3
64	и для	3	3
65	жизни и	2	3
66	все эти	1	3
67	тот же	1	3
68	но в	14	3
69	к тому	8	3
70	никогда не	3	3
71	людей в	1	3
72	человечества на	1	2
73	всего в	2	2
74	во всяком	3	2
75	ее и	1	2
76	а к	1	2
77	один из	1	2
78	в последнем	1	2
79	которые не	1	2
80	более чем	2	2
81	того чтобы	6	2
82	вместо того	1	2
83	между тем	8	2
84	не только	18	2
85	для него	1	2
86	с ним	1	2
87	является в	1	2
88	не будет	3	2
89	ее в	3	2
90	для нас	4	2
91	и то	2	2
92	прежде всего	9	2
93	для них	2	2
94	можно было	3	2
95	ценности и	1	2
96	вслед за	6	2
97	и это	1	2
98	мы не	4	2
99	конечно не	1	2
100	и теперь	2	2
101	только в	9	2
102	мы во	1	2
103	а в	2	2
104	будет уже	1	2
105	в прошлом	3	2
106	истории и	1	2
107	и сам	1	2
108	человечество не	1	2
109	это мы	1	2
110	но не	5	2
111	тем что	3	2
112	и во	2	2
113	могут быть	2	2
114	с тем	3	2
115	и т	1	2
116	одна из	1	2
117	стало возможным	1	2
118	его к	1	2
119	не могут	2	2
120	т д	1	2
121	том что	6	2
122	когда в	1	2
123	в существе	2	2
124	уже не	1	2
125	мира в	4	2
126	не к	2	2
127	от своей	1	2
128	жизни но	1	1
129	в новом	1	1
130	с которыми	1	1
131	в самом	4	1
132	во всем	1	1
