N	4gram	Tiupa_Lite	Myslijsy
1	в то же время	12	13
2	одного и того же	1	9
3	только в том что	2	8
4	одно и то же	1	7
5	все более и более	1	4
6	дело в том что	2	4
7	одним и тем же	1	4
8	в том что он	1	3
9	до тех пор пока	2	3
10	с этой точки зрения	3	3
11	с одной стороны и	1	3
12	не говоря уже о	2	3
13	в этом случае мы	1	2
14	состоит в том что	6	2
15	но дело в том	1	2
16	не только в том	2	2
17	но с другой стороны	3	2
18	бы то ни было	1	2
19	которые не могут быть	1	2
20	именно в том что	1	1
21	в том что его	2	1
22	другому как понять тебя?	1	1
23	в том что при	1	1
24	здесь как и во	1	1
25	нет и не может	1	1
26	во всех этих и	1	1
27	себя и других в	1	1
28	во всех подобных случаях	1	1
29	повторением одного и того	1	1
30	имеет ничего общего с	1	1
31	с другой стороны он	1	1
32	лишь в той мере	1	1
33	в чем и состоит	1	1
34	и не может быть	1	1
35	могли быть устранены из	1	1
36	например с точки зрения	1	1
37	не имеет ничего общего	1	1
38	то же время не	2	1
39	в том что этот	1	1
40	молчи скрывайся и таи	1	1
41	не могли быть устранены	1	1
42	мы имеем дело с	1	1
