N	3gram	Trubetskoy	Dialekti
1	с точки зрения	8	46
2	по крайней мере	1	26
3	в том что	16	25
4	не может быть	4	18
5	тем не менее	4	16
6	то же время	2	15
7	в то же	2	14
8	только тогда когда	1	13
9	и то же	1	12
10	с другой стороны	4	12
11	о том что	4	12
12	одно и то	1	12
13	на то что	7	11
14	в самом деле	5	10
15	иметь в виду	1	9
16	не только не	1	8
17	только то что	2	8
18	в то время	2	8
19	то время как	1	8
20	та или иная	1	8
21	говоря уже о	1	7
22	не в том	1	7
23	так или иначе	5	7
24	точно так же	1	7
25	в связи с	3	7
26	не говоря уже	1	7
27	для того чтобы	7	6
28	более или менее	8	6
29	в зависимости от	1	6
30	что это есть	1	6
31	то что мы	1	6
32	как и все	2	6
33	во всяком случае	2	6
34	с одной стороны	2	6
35	может быть и	4	6
36	на самом деле	7	5
37	по сравнению с	5	5
38	не отличается от	1	5
39	несмотря на всю	1	5
40	ничего общего с	2	5
41	в конце концов	4	5
42	к тому что	1	5
43	до сих пор	15	5
44	одной и той	1	5
45	и той же	1	5
46	это было бы	1	5
47	в одинаковой мере	1	4
48	мы уже знаем	1	4
49	с этой точки	1	4
50	так же как	3	4
51	этой точки зрения	1	4
52	в данном случае	3	4
53	к тому же	5	4
54	то ясно что	4	4
55	не может не	3	4
56	то же самое	1	4
57	с тех пор	1	4
58	я не могу	1	4
59	из того что	1	4
60	и может быть	2	4
61	не есть нечто	1	4
62	не есть ли	1	4
63	можно было бы	1	4
64	в результате которой	1	4
65	как бы ни	1	4
66	из двух или	1	3
67	того что именно	1	3
68	несмотря на то	2	3
69	он не может	2	3
70	на точку зрения	1	3
71	а потому что	1	3
72	одно из двух	1	3
73	но все же	2	3
74	мы находим в	1	3
75	бы то ни	3	3
76	так как все	1	3
77	уже о том	1	3
78	и не может	1	3
79	в данный момент	1	3
80	как и в	2	3
81	в себе и	1	3
82	хотя и не	1	3
83	если она не	1	3
84	хотя бы это	1	3
85	с самого начала	1	3
86	принять во внимание	2	3
87	так что в	1	3
88	и с этой	1	3
89	и в нем	1	3
90	в вопросе о	2	2
91	том что все	2	2
92	как и вообще	1	2
93	тогда когда оно	1	2
94	что в данном	1	2
95	друг от друга	6	2
96	в нем не	1	2
97	друг с другом	9	2
98	теперь мы должны	1	2
99	но для этого	1	2
100	но если так	1	2
101	нечего и говорить	3	2
102	не забудем что	1	2
103	они вовсе не	1	2
104	уже знаем что	1	2
105	не менее в	1	2
106	но так как	2	2
107	мы видим что	1	2
108	в чистом виде	1	2
109	можно представить себе	1	2
110	и состоит из	1	2
111	в свою очередь	2	2
112	никогда не будет	3	2
113	лишь тогда когда	2	2
114	друг к другу	2	2
115	это может быть	1	2
116	мы уже сказали	1	2
117	не более как	2	2
118	вот тут-то и	1	2
119	не в состоянии	3	2
120	во внимание что	1	2
121	тот или иной	1	2
122	дело в том	1	2
123	ни тем более	1	2
124	которые могут быть	1	2
125	он есть всегда	1	2
126	в лучшем случае	1	2
127	и то что	3	2
128	хотя бы в	1	2
129	и в том	2	2
130	мы только что	1	2
131	мы сказали что	2	2
132	на первый взгляд	1	2
133	в широком смысле	1	2
134	а так как	1	2
135	во всем этом	1	2
136	очень много но	1	2
137	и так как	1	2
138	если мы будем	1	2
139	уже сказали что	1	1
140	а есть лишь	1	1
141	лишь в том	5	1
142	и не очень	1	1
143	есть ли это	1	1
144	я буду считать	1	1
145	в нашем случае	2	1
146	быть если в	1	1
147	о котором мы	1	1
148	для этого необходимо	1	1
149	вопрос можно ли	1	1
150	на задний план	1	1
151	мы и не	1	1
152	сливаются в одно	1	1
153	то что это	2	1
