N	2gram	Propp_Isto	TeoriaLi
1	в качестве	13	33
2	в мире	1	26
3	не только	17	24
4	и в	44	24
5	в частности	9	23
6	состоит в	1	22
7	может быть	31	22
8	при этом	4	20
9	в том	13	20
10	в тексте	1	19
11	тогда как	1	18
12	и не	19	17
13	а в	9	15
14	но и	16	14
15	а не	5	14
16	так и	9	14
17	в себе	1	14
18	представляет собой	8	13
19	такого рода	2	13
20	но не	8	13
21	в этом	20	12
22	сводится к	1	12
23	но в	7	12
24	в его	16	12
25	то же	9	12
26	своего рода	1	11
27	том что	12	11
28	точки зрения	3	11
29	и его	15	11
30	что в	18	10
31	по отношению	2	10
32	как это	5	10
33	лишь в	2	10
34	отношению к	2	10
35	только в	8	9
36	в данном	3	9
37	с другой	11	9
38	в искусстве	1	9
39	не в	11	9
40	в то	5	9
41	в своей	3	8
42	же время	1	8
43	как бы	4	8
44	по своей	1	8
45	не может	10	8
46	в самом	1	7
47	на смену	4	7
48	или иной	1	7
49	особого рода	1	7
50	в отличие	1	7
51	в своем	3	7
52	себя в	6	7
53	мы имеем	22	7
54	а также	5	7
55	отличие от	1	7
56	отношение к	3	7
57	однако в	2	7
58	место в	1	7
59	в области	1	7
60	в нем	10	7
61	другой стороны	10	6
62	в состав	1	6
63	как и	12	6
64	не менее	6	6
65	приводит к	2	6
66	еще не	16	6
67	в основе	3	6
68	то что	16	6
69	со стороны	6	6
70	уже не	14	6
71	с его	3	6
72	в ее	4	6
73	с другими	4	6
74	или иначе	1	6
75	между ними	2	6
76	героя и	3	6
77	в русской	8	6
78	того или	1	6
79	тем самым	2	6
80	художественного творчества	1	5
81	ни в	2	5
82	в виду	1	5
83	мыслится как	1	5
84	как в	11	5
85	можно сказать	2	5
86	не является	1	5
87	того чтобы	3	5
88	для того	3	5
89	как правило	2	5
90	за пределами	1	5
91	иначе говоря	1	5
92	на почве	1	5
93	как к	1	5
94	данном случае	2	5
95	для него	2	5
96	а и	1	5
97	того что	3	5
98	в себя	3	5
99	между тем	1	5
100	он не	5	5
101	и тем	7	5
102	в пределах	5	5
103	и о	2	5
104	в ходе	1	5
105	могут быть	9	5
106	не случайно	1	5
107	не на	1	4
108	и сам	2	4
109	в этих	7	4
110	что он	29	4
111	языка в	1	4
112	входит в	5	4
113	в другом	2	4
114	сказать что	2	4
115	к тому	1	4
116	этого слова	1	4
117	никогда не	5	4
118	это не	8	4
119	хотя и	1	4
120	в литературе	1	4
121	слова в	1	4
122	в их	1	4
123	его в	17	4
124	но он	2	4
125	не знает	1	4
126	или даже	1	4
127	так в	5	4
128	мира и	2	4
129	по своему	1	4
130	а только	1	4
131	в свою	3	4
132	и что	13	4
133	в форме	5	4
134	далеко не	1	4
135	того же	3	4
136	в силу	7	4
137	в целом	4	4
138	и ее	1	4
139	и к	3	3
140	во втором	1	3
141	в таком	2	3
142	в момент	1	3
143	с этой	4	3
144	даже в	4	3
145	говорит и	1	3
146	о чем	6	3
147	подобно тому	2	3
148	данного текста	1	3
149	если бы	5	3
150	оказывается в	1	3
151	между которыми	1	3
152	все эти	11	3
153	а именно	8	3
154	например в	11	3
155	в жизни	1	3
156	к его	2	3
157	в соответствии	1	3
158	их в	7	3
159	никто не	4	3
160	роль в	3	3
161	в иной	12	3
162	из которого	1	3
163	тем не	6	3
164	перед нами	2	3
165	свою очередь	1	3
166	в роли	4	3
167	в противоположность	1	3
168	потому что	18	3
169	одной стороны	7	3
170	между двумя	7	3
171	или иных	1	3
172	в одном	2	3
173	вслед за	1	3
174	не обязательно	2	3
175	имеем в	2	3
176	на две	1	3
177	мог бы	2	3
178	во всей	1	3
179	не все	1	3
180	от себя	2	3
181	понятие о	1	3
182	из этих	5	3
183	и для	3	3
184	о ней	1	3
185	таким образом	21	3
186	и то	5	3
187	на языке	1	3
188	с одной	7	3
189	и вот	4	3
190	том числе	3	3
191	и потому	2	3
192	с точки	1	3
193	ни к	1	3
194	есть в	2	3
195	прежде всего	7	3
196	а на	2	3
