N	2gram	Voloshinov	Retstnzi
1	не может	30	4
2	и в	28	3
3	социального общения	3	2
4	в центре	3	2
5	один из	10	2
6	крупнейших представителей	1	1
7	может и	1	1
8	этой проблемы	1	1
9	нуждаются в	1	1
10	в особенности	1	1
11	может быть	28	1
12	и истории	4	1
13	не только	10	1
14	точки зрения	31	1
15	с точки	15	1
16	позицию занимает	1	1
17	для него	12	1
18	с теми	1	1
19	первая часть	1	1
20	подхода к	4	1
21	в ней	8	1
22	борьбе современных	1	1
23	тех же	5	1
24	права и	1	1
25	в каждом	1	1
26	связи с	1	1
27	этого общения	1	1
28	из крупнейших	1	1
29	понимания этого	1	1
30	бы на	1	1
31	на месте	1	1
32	превращается у	1	1
33	с другими	8	1
34	лучше всего	1	1
35	или иными	1	1
36	его от	1	1
37	если бы	4	1
38	конечно и	5	1
39	смысл и	2	1
40	исходя из	1	1
41	вещей и	1	1
42	литературного произведения	1	1
43	на примере	1	1
44	с самых	1	1
45	в его	25	1
46	влияния на	1	1
47	не менее	6	1
48	и форму	1	1
49	именно с	1	1
50	и социальной	3	1
51	и заставляет	1	1
52	речь и	2	1
53	но и	10	1
54	мы видим	3	1
55	к тому	6	1
56	анализа и	1	1
57	во второй	5	1
58	можно назвать	1	1
59	тому что	5	1
60	в то	7	1
61	из этих	6	1
62	и больше	1	1
63	он в	2	1
64	ни один	3	1
65	же время	6	1
66	то же	12	1
67	при анализе	3	1
68	а не	9	1
69	бы в	2	1
70	нет и	4	1
71	и должно	1	1
72	и не	34	1
73	так называемая	1	1
74	на нее	1	1
75	и все	13	1
76	истории но	1	1
77	и на	9	1
78	русской литературы	1	1
79	вполне понятно	2	1
