N	2gram	Potebnia_M	Otkroven
1	у него	3	22
2	человеческой природы	4	20
3	и в	58	19
4	и не	34	13
5	но и	26	13
6	в этом	18	12
7	человека в	3	11
8	а не	38	11
9	не только	32	11
10	не в	23	11
11	может быть	47	11
12	вопрос о	5	10
13	человека и	2	10
14	и все	6	10
15	в нем	26	10
16	к человеку	1	9
17	потому что	89	9
18	в человеке	14	9
19	прежде всего	8	9
20	не было	7	9
21	в самой	5	9
22	никогда не	7	9
23	нет ничего	2	7
24	от него	8	7
25	ни с	2	7
26	в его	7	7
27	он не	4	7
28	но он	3	7
29	лишь в	2	7
30	человек не	2	7
31	все это	3	6
32	как и	16	6
33	в самом	5	5
34	в творчестве	1	5
35	в том	38	5
36	нужно искать	1	5
37	человеке и	2	5
38	для него	13	5
39	в этой	3	5
40	раскрывается в	1	5
41	а в	11	5
42	отношение к	1	5
43	о его	2	5
44	то что	24	5
45	все в	2	4
46	что в	34	4
47	того чтобы	4	4
48	не может	30	4
49	что не	15	4
50	человек и	1	4
51	все эти	3	4
52	на земле	1	4
53	и его	7	4
54	человеческой природе	1	4
55	его мысли	1	4
56	с его	3	4
57	только одно	1	3
58	и от	5	3
59	жизни все	2	3
60	все что	5	3
61	как художник	1	3
62	что человек	6	3
63	хотя бы	4	3
64	это не	10	3
65	для того	8	3
66	с ним	7	3
67	души но	4	3
68	мысли и	9	3
69	когда он	1	3
70	и пределы	1	3
71	быть может	6	3
72	в этих	10	3
73	не могут	10	3
74	природы но	3	3
75	в своих	4	3
76	как бы	12	3
77	было бы	21	3
78	могут быть	17	3
79	в себе	22	3
80	и есть	4	3
81	что он	5	3
82	никто не	3	3
83	человеческого духа	6	3
84	различие между	2	3
85	это было	3	3
86	и ее	1	3
87	о том	6	3
88	того что	15	3
89	к нему	2	3
90	еще не	9	3
91	человека к	1	2
92	как к	1	2
93	искать не	1	2
94	природы в	2	2
95	и потому	7	2
96	так и	17	2
97	что они	6	2
98	и то	4	2
99	человека есть	1	2
100	в душе	28	2
101	все же	11	2
102	что у	2	2
103	не могли	2	2
104	искать его	1	2
105	так как	29	2
106	при чтении	1	2
107	должно быть	9	2
108	к этой	3	2
109	так человек	1	2
110	даже и	4	2
111	в явлениях	1	2
112	к ней	3	2
113	его не	3	2
114	для всякого	3	2
115	и ни	1	2
116	уже в	5	2
117	никакого другого	2	2
118	в человеческом	3	2
119	в другом	3	2
120	совсем не	1	2
121	ничего кроме	2	2
122	так что	23	2
123	в своем	3	2
124	в этот	1	2
125	с тем	9	2
126	с которой	1	2
127	в которой	5	2
128	ее в	1	2
129	о которой	2	2
130	не все	3	2
131	одно из	5	2
132	что и	16	2
133	для человека	3	2
134	он вечно	1	2
135	от самого	1	2
136	в истории	8	2
137	в единстве	3	2
138	его в	3	2
139	свободы и	3	2
140	должен был	1	2
141	чем в	2	2
142	их не	2	2
143	ко всем	4	2
144	мысль о	8	2
145	и с	3	2
146	что же	3	2
147	то к	1	2
148	и там	1	2
149	частью в	1	2
150	он в	1	2
151	было для	1	2
152	и о	3	2
153	природы и	1	2
154	сказать что	5	2
155	что для	5	2
156	тем что	15	2
157	что есть	3	2
158	из всего	2	2
159	ничего и	1	2
160	и на	8	2
161	много раз	1	2
162	в других	6	2
163	человеческий не	1	2
164	движение в	1	2
165	с чем	1	2
166	же можно	1	2
167	что все	4	2
168	ничего не	2	2
169	хотя и	6	2
170	не есть	13	2
171	для человеческого	1	2
172	в своей	3	2
173	по себе	24	2
174	не имеет	9	2
175	к этому	3	2
176	том что	21	2
177	и для	8	2
178	в ее	2	2
179	своей жизни	1	2
180	человек всегда	1	2
181	всякий кто	1	2
182	но в	12	2
183	человека а	1	2
184	и нет	1	2
185	вопросом о	2	2
186	открытие и	1	1
187	уже с	2	1
188	психология не	2	1
189	чтобы сделать	1	1
190	во всем	5	1
191	к одному	3	1
192	ничего но	1	1
193	в каждом	6	1
194	человеку но	2	1
195	одно время	3	1
196	человеческом языке	1	1
197	человеке но	1	1
198	и весь	3	1
199	эти существа	1	1
200	во всяком	9	1
201	и человеческого	2	1
202	не так	6	1
203	человек может	2	1
204	ко всему	1	1
205	его и	1	1
206	с образом	1	1
207	все ли	1	1
208	но можно	1	1
209	совершенно не	1	1
210	том случае	1	1
211	а потому	14	1
212	то он	2	1
213	ее и	1	1
214	но оно	3	1
215	на человека	1	1
216	и самое	3	1
217	не существует	2	1
218	все его	2	1
219	самой жизни	1	1
220	и действий	1	1
221	и человека	1	1
222	и других	6	1
223	к другу	1	1
224	один из	2	1
225	для нашего	1	1
226	которым он	1	1
227	в котором	5	1
228	и здесь	1	1
229	та же	1	1
230	после этого	2	1
231	друг к	1	1
232	мир в	1	1
233	его эманация	1	1
234	свободы в	1	1
235	что бог	1	1
236	же и	1	1
237	это потому	1	1
238	есть единственное	1	1
239	ней не	1	1
240	и свобода	1	1
241	художник но	1	1
242	после того	3	1
243	что природа	2	1
244	не имеют	7	1
245	каждом из	1	1
246	человека не	2	1
247	случае если	1	1
248	можно и	1	1
249	того как	12	1
250	к одной	3	1
251	жизни а	1	1
252	его с	3	1
253	она не	3	1
254	том как	6	1
255	есть одно	1	1
256	должна быть	4	1
257	мы не	17	1
258	бы даже	2	1
259	но еще	1	1
260	притом не	5	1
261	один только	1	1
262	и остаются	1	1
263	не идет	1	1
264	жизни человека	2	1
265	еще больше	1	1
266	был до	1	1
267	еще более	2	1
268	ту же	1	1
269	но не	19	1
270	это должно	1	1
271	отношениях к	1	1
272	по сравнению	1	1
273	это все	1	1
274	с тою	1	1
275	не по	4	1
276	но всегда	3	1
277	с какой	1	1
278	быть не	7	1
279	от которого	2	1
280	моей воли	1	1
281	был бы	1	1
282	в ней	9	1
283	из всех	1	1
284	это часто	1	1
285	что нужно	1	1
286	великий мыслитель	1	1
287	человека тот	1	1
288	он видит	2	1
289	формы человеческой	1	1
290	что это	5	1
291	в отношениях	2	1
292	него лишь	1	1
