N	3gram	Berdyaev_M	Otkroven
1	о великом инквизиторе	6	6
2	о человеке и	6	5
3	записок из подполья	5	5
4	от него и	1	4
5	к человеку и	4	4
6	о человеке о	2	4
7	все герои достоевского	3	4
8	легенде о великом	2	3
9	в творчестве его	4	3
10	человеке о его	1	3
11	в записках из	2	3
12	из подполья и	1	3
13	вопрос о человеке	1	3
14	дважды два четыре	4	3
15	в легенде о	2	3
16	для того чтобы	4	3
17	преступлении и наказании	1	3
18	вопрос о боге	2	3
19	до самой глубины	5	3
20	в нем нет	1	3
21	в самой глубине	4	3
22	записках из подполья	2	3
23	в преступлении и	1	3
24	в романах достоевского	2	3
25	может быть человек	2	2
26	о человеческой природе	2	2
27	поступил как бы	1	2
28	с разных сторон	1	2
29	достоевский прежде всего	2	2
30	легенда о великом	1	2
31	единственно для того	2	2
32	человеческой природы все	1	2
33	к черту и	2	2
34	не могут быть	2	2
35	что любовь к	1	2
36	человеческой природы в	5	2
37	с тем что	3	2
38	загадка о человеке	3	2
39	человеке и его	5	2
40	а не в	4	2
41	и в самой	1	2
42	ни у кого	2	2
43	никогда не было	2	2
44	как и все	1	2
45	в своем художественном	1	2
46	не может быть	22	2
47	в самую глубь	1	2
48	не только бога	1	2
49	что человеку надо	2	2
50	сделать людей счастливыми	1	2
51	взял все что	2	2
52	в дневнике писателя	4	2
53	у него не	1	2
54	ли сказать что	1	2
55	человека в его	1	2
56	в глубине человека	1	2
57	у достоевского было	4	2
58	и ивана карамазова	2	2
59	но и в	4	2
60	своем художественном творчестве	1	2
61	он не созерцает	2	2
62	у него всегда	1	2
63	равно настолько же	1	2
64	нет ничего кроме	1	2
65	с чего это	1	2
66	пожелать себе даже	2	2
67	можно ли сказать	1	2
68	и никогда не	3	2
69	о человеческой судьбе	1	2
70	в этом он	4	2
71	в экстазе и	1	2
72	и в этом	1	2
73	у достоевского с	3	2
74	что у него	1	2
75	влечет к гибели	2	2
76	не фортепианные клавиши	1	1
77	даже глупейшего а	1	1
78	самого пагубного вздора	1	1
79	нашего брата из	1	1
80	человеческой природы он	2	1
81	желать себе одного	1	1
82	человеку у достоевского	2	1
83	от существа одаренного	1	1
84	которой все системы	1	1
85	что иной высший	1	1
86	вовсе не так	1	1
87	достоевского он не	2	1
88	это взяли все	1	1
89	пагубный фантастический элемент	1	1
90	художественном творчестве в	1	1
91	самым здравым заключениям	1	1
