N	4gram	Propp_Isto	Formalny
1	и не может быть	1	7
2	бы то ни было	1	7
3	с одной стороны и	1	5
4	мы уже знаем что	4	3
5	вместе с тем и	1	3
6	один и тот же	1	3
7	и то и другое	2	3
8	во всяком случае в	1	3
9	иначе обстоит дело с	1	3
10	с этой точки зрения	3	2
11	в зависимости от того	1	2
12	не нуждается ни в	1	2
13	в более или менее	1	1
14	но тем не менее	2	1
15	от отца к сыну	4	1
16	на эти вопросы мы	1	1
17	как это происходит в	2	1
18	сами по себе не	1	1
19	в большинстве случаев очень	1	1
20	отца к сыну а	1	1
21	тут-то и вступает в	1	1
22	нуждается ни в каких	1	1
23	так же неверно как	1	1
24	нами в предыдущей главе	1	1
25	но есть еще одна	1	1
26	мы увидим дальше что	1	1
27	все новые и новые	2	1
28	эта связь может быть	1	1
29	то же самое и	1	1
30	есть еще одна область	1	1
31	может продолжаться до бесконечности	1	1
32	с другой стороны и	2	1
33	но вместе с тем	2	1
34	говорит о том что	1	1
35	не может быть понят	1	1
36	по мере того как	1	1
