N	4gram	Voloshinov	Narrotol
1	в то же время	7	8
2	мысль о том что	1	2
3	и не может быть	1	2
4	и в то же	2	2
5	одного и того же	1	2
6	одно и то же	5	2
7	то же самое происходит	1	1
8	не что иное как	2	1
9	но для того чтобы	2	1
10	и то же слово	2	1
11	в той же мере	1	1
12	одна и та же	1	1
13	и ответ на него	1	1
14	иметь в виду что	1	1
15	в связи с этим	2	1
16	так а не иначе	1	1
17	тому или иному типу	1	1
18	в зависимости от социального	1	1
19	одним и тем же	1	1
20	же самое происходит и	1	1
21	есть не что иное	2	1
