N	3gram	Bakhtin_Fr	KulturaY
1	с точки зрения	4	36
2	в том что	4	33
3	в самом деле	3	29
4	можно было бы	2	25
5	во всяком случае	1	19
6	то обстоятельство что	1	19
7	с другой стороны	2	17
8	до сих пор	3	14
9	по отношению к	3	13
10	в связи с	2	12
11	и в самом	1	11
12	в этом отношении	3	11
13	в этом смысле	1	10
14	о том что	4	10
15	на самом деле	1	8
16	не только в	1	8
17	а с другой	1	7
18	в свою очередь	3	7
19	с одной стороны	3	7
20	после того как	6	7
21	к тому же	1	6
22	то же время	12	6
23	той или иной	1	6
24	было бы сказать	1	6
25	в то же	12	6
26	в свое время	2	6
27	так и в	3	5
28	потому что он	1	5
29	речь идет о	1	5
30	более или менее	3	5
31	в данном случае	1	5
32	и в этом	1	5
33	но все же	1	5
34	что же касается	1	5
35	не потому что	1	5
36	тем более что	1	5
37	на этот вопрос	1	5
38	как мы видели	4	5
39	но вряд ли	1	4
40	сам по себе	2	4
41	том что он	1	4
42	в первом случае	1	4
43	смысле этого слова	1	4
44	и того же	1	4
45	одного и того	1	4
46	сих пор еще	3	4
47	в том и	1	4
48	заключается в том	1	4
49	о том как	3	3
50	в той же	5	3
51	что я не	1	3
52	и то обстоятельство	1	3
53	в конце концов	5	3
54	не трудно видеть	1	3
55	вместо того чтобы	2	3
56	с тем что	1	3
57	или меньшей степени	1	3
58	большей или меньшей	2	3
59	не только для	1	3
60	мы увидим что	1	3
61	и не в	1	3
62	в настоящее время	1	3
63	в то время	1	3
64	в большей или	2	3
65	с помощью которого	1	3
66	что и в	1	3
67	с тем чтобы	1	3
68	в той или	1	2
69	как раз на	1	2
70	в тех же	1	2
71	и прежде всего	2	2
72	в применении к	1	2
73	а следовательно и	2	2
74	в большинстве случаев	9	2
75	и в другом	1	2
76	не забудем что	1	2
77	в том числе	4	2
78	что все это	2	2
79	друг от друга	1	2
80	в строгом смысле	1	2
81	как с помощью	1	2
82	также и о	1	2
83	ничего общего с	1	2
84	в особенности же	1	2
85	слов и выражений	3	2
86	в известной мере	1	2
87	из того что	1	2
88	не должно быть	2	2
89	и в том	1	2
90	который в своем	1	2
91	в одном из	2	2
92	на той же	1	2
93	но он не	1	2
94	а так как	1	2
95	и тем же	1	2
96	он должен быть	1	2
97	только после того	1	2
98	и еще один	1	2
99	в другом месте	3	2
100	том или ином	2	2
101	прежде всего в	4	2
102	в результате этого	1	2
103	таким образом в	2	2
104	до некоторой степени	1	2
105	и в особенности	1	2
106	а только в	1	2
107	не что иное	1	2
108	одним и тем	1	2
109	роман в письмах	1	2
110	мы не знаем	1	2
111	мы имеем в	2	2
112	в широком смысле	1	2
113	что иное как	1	2
114	несколько слов о	1	2
115	потому что они	1	2
116	со всем тем	1	2
117	в плоть и	1	1
118	сделать так чтобы	1	1
119	свое время еще	1	1
120	с представлением о	1	1
121	имеет в виду	1	1
122	все то что	3	1
123	о которой мы	1	1
124	все эти факты	1	1
125	и с его	2	1
126	и на все	1	1
127	в литературе и	2	1
128	то что он	1	1
129	в эти годы	1	1
130	плоть и кровь	1	1
131	в сущности все	1	1
132	не в этом	1	1
133	а в ее	1	1
134	без всякой логической	1	1
135	в ней на	1	1
136	до наших дней	2	1
137	при этом совершенно	1	1
138	в ней получают	1	1
139	начало новой эпохи	1	1
140	языком литературы и	1	1
141	часто и в	1	1
142	в силу своей	1	1
143	это не есть	1	1
144	здесь как мы	1	1
145	здесь же мы	1	1
146	и у других	1	1
147	и все это	2	1
148	свидетельствует о том	2	1
149	их удельный вес	1	1
150	но и с	2	1
151	однако не в	1	1
152	я не без	1	1
153	рядом с этим	2	1
154	а в особенности	1	1
155	именно потому что	1	1
156	а также в	1	1
157	есть не что	1	1
158	говорит он о	1	1
159	то же что	1	1
160	как мы видим	5	1
161	существу она не	1	1
162	один из самых	1	1
163	по аналогии с	1	1
164	для всего этого	1	1
165	но только в	1	1
166	и тем самым	1	1
167	и таким путем	1	1
168	том что в	1	1
169	в том или	2	1
170	потому что вместе	1	1
171	или ином виде	2	1
172	в этой роли	2	1
173	они как бы	1	1
174	это не было	1	1
175	нашел в нем	1	1
176	роль в истории	1	1
177	не имеет ничего	1	1
178	что в этом	1	1
179	и для той	1	1
180	по себе и	1	1
181	большем или меньшем	1	1
182	то же самое	1	1
183	таким образом не	1	1
184	до того что	1	1
185	не всегда конечно	1	1
186	по этому поводу	1	1
187	но все это	2	1
188	в сущности и	1	1
189	это своего рода	1	1
190	а именно в	1	1
191	и в его	2	1
192	все дело в	1	1
193	их появление в	1	1
194	что он есть	1	1
195	в значительной степени	3	1
196	о том чтобы	1	1
197	все ее элементы	1	1
198	ни для кого	1	1
199	и в этой	2	1
200	а также и	3	1
201	может и не	1	1
202	находит свое выражение	1	1
203	чем ближе он	1	1
204	вместе с ним	1	1
205	по существу она	1	1
206	так и у	1	1
207	и кое-что от	1	1
208	мы находим в	2	1
209	том и в	1	1
210	тем что в	1	1
211	дело не с	1	1
212	особо нужно отметить	1	1
213	одним из самых	2	1
214	но и в	2	1
215	не есть нечто	1	1
216	дает тот же	1	1
217	в чем же	2	1
218	и с другой	1	1
219	то мы увидим	1	1
220	в связи со	1	1
221	в это время	1	1
222	имеем в виду	2	1
223	но в нем	2	1
224	и в отношении	2	1
225	в себе и	1	1
226	как и в	2	1
227	в целом ряде	1	1
228	так рядом с	1	1
229	в следующем отрывке	1	1
230	точки зрения их	1	1
231	видим что в	1	1
232	еще не было	1	1
233	в узком и	1	1
234	я не мог	1	1
235	нет никаких оснований	1	1
236	и целый ряд	1	1
237	не говорит что	1	1
238	одном из своих	1	1
239	есть и еще	1	1
240	целый ряд других	1	1
241	в большем или	1	1
242	и может быть	1	1
243	все это в	2	1
244	форме а в	1	1
245	в своем учении	1	1
246	не в силах	1	1
247	на начало новой	1	1
248	точки зрения вполне	1	1
249	и все те	1	1
250	в одной из	1	1
251	этот чрезвычайно важен	1	1
252	того как он	2	1
253	другой стороны в	1	1
254	новые и новые	2	1
255	в достаточной степени	1	1
256	дело в том	2	1
257	есть в этом	1	1
258	и все его	1	1
259	же что и	2	1
260	в этих словах	1	1
261	в противоположность этому	1	1
262	во всех этих	1	1
263	та или иная	1	1
264	кроме того и	1	1
265	так что в	1	1
266	есть прежде всего	1	1
267	в сущности к	1	1
268	с самого начала	1	1
269	содержат в себе	1	1
270	и то что	1	1
271	потому что когда	1	1
272	что касается до	1	1
