N	2gram	Bakhtin_KF	ViktorSh
1	и в	28	2
2	в том	6	2
3	том что	4	2
4	в другом	3	1
5	но это	6	1
6	столь же	1	1
7	том же	1	1
8	ведь это	2	1
9	главным образом	1	1
10	в самом	1	1
11	и т.д	4	1
12	а значит	2	1
13	а только	1	1
14	именно в	5	1
15	ни к	2	1
16	другое дело	2	1
17	самом деле	3	1
18	за свою	1	1
19	более чем	1	1
20	ясно что	3	1
21	ценное что	1	1
22	говоря о	1	1
23	и то	2	1
24	и его	18	1
25	сводится к	2	1
26	к чему	3	1
27	значительной степени	1	1
28	хотя бы	5	1
29	других и	1	1
30	по поводу	1	1
31	к этому	2	1
32	только в	18	1
33	же с	2	1
34	потому что	2	1
35	в значительной	1	1
36	в их	9	1
37	все дело	1	1
38	и только	7	1
39	то же	5	1
40	чего не	2	1
41	не будем	1	1
42	что язык	1	1
43	и не	28	1
44	гораздо более	2	1
45	я не	6	1
46	дело в	2	1
47	в этом	15	1
48	так как	1	1
49	все это	10	1
