N	3gram	Propp_Morf	NovoeSre
1	в высшей степени	1	6
2	не может быть	9	4
3	в наши дни	1	3
4	подобно тому как	5	3
5	не значит что	3	3
6	вопрос о том	2	2
7	ни одна из	1	2
8	он не может	1	2
9	с одной стороны	2	2
10	с другой стороны	5	2
11	это не значит	2	2
12	в том что	4	1
13	в том случае	3	1
14	от вопроса о	2	1
15	этого не знает	1	1
16	до сих пор	1	1
17	совсем не означает	1	1
18	что он может	1	1
19	можно было бы	2	1
20	то что он	1	1
21	бы сказать что	1	1
22	в большинстве случаев	3	1
23	которые могут быть	1	1
24	о том что	3	1
25	по своему строению	1	1
26	не могут быть	4	1
27	наряду с этим	5	1
28	нужно помнить что	1	1
29	было бы сказать	1	1
30	как и в	3	1
31	то что в	2	1
32	том случае если	2	1
33	во всяком случае	2	1
34	к вопросу о	2	1
35	это значит что	1	1
36	в то время	3	1
37	как будто не	2	1
38	но наряду с	1	1
39	то время как	3	1
40	смысле слова а	1	1
41	хотя бы он	1	1
