N	2gram	Tiupa_Hudo	BTomashe
1	все это	2	2
2	в ней	6	2
3	можно было	6	2
4	и не	15	2
5	видеть в	1	2
6	следовало бы	1	1
7	для которой	1	1
8	вопрос о	2	1
9	говорить о	4	1
10	начинает говорить	1	1
11	и о	8	1
12	определение жанра	1	1
13	о них	4	1
14	забывать что	1	1
15	было и	1	1
16	не только	22	1
17	остановиться на	1	1
18	а о	2	1
19	теория литературы	1	1
20	всего в	1	1
21	не было	8	1
22	прежде всего	12	1
23	так по	1	1
24	и в	34	1
25	на самом	2	1
26	так и	19	1
27	по теории	2	1
28	в своей	15	1
29	иначе не	1	1
30	во всяком	1	1
31	и потому	3	1
32	по нашему	3	1
33	говорить об	2	1
34	же не	3	1
35	в речи	2	1
36	с другой	4	1
37	не со	1	1
38	об этом	8	1
39	как будто	7	1
40	этой книги	2	1
41	совершенно не	1	1
42	не следовало	1	1
43	не о	3	1
44	другой стороны	1	1
45	всяком случае	1	1
46	было бы	8	1
47	установка на	1	1
48	не следует	2	1
49	учителя словесности	1	1
50	и ее	3	1
51	одной из	5	1
52	в значительной	3	1
53	из ее	1	1
54	о художественной	1	1
55	в пределах	4	1
56	в данном	3	1
57	теории литературы	2	1
58	в области	1	1
59	и исторической	1	1
60	далеко не	1	1
61	тем более	1	1
62	то как	1	1
63	и более	2	1
64	что все	3	1
65	не все	2	1
66	нельзя не	1	1
67	нашему мнению	1	1
68	ли по	1	1
69	никак не	3	1
70	значительной степени	3	1
71	его не	1	1
72	будто бы	6	1
73	а не	23	1
74	отнюдь не	4	1
75	о свободе	1	1
76	до конца	3	1
77	представляется нам	3	1
78	не укладывается	1	1
79	и на	6	1
80	приемов построения	1	1
81	только сейчас	1	1
82	между ними	2	1
83	еще не	10	1
84	учебное пособие	1	1
85	к ней	2	1
86	все же	5	1
87	что в	8	1
