N	2gram	Propp_Russ	Stilisti
1	и в	59	42
2	как бы	18	30
3	не только	28	28
4	прежде всего	2	22
5	то же	6	16
6	но и	20	16
7	и не	6	14
8	может быть	14	13
9	не может	6	13
10	как и	19	12
11	что мы	1	11
12	мы уже	2	11
13	точки зрения	3	11
14	в этом	18	10
15	в себе	1	10
16	и как	2	10
17	мы должны	3	10
18	как мы	11	10
19	отнюдь не	3	10
20	мы не	11	9
21	при этом	11	9
22	все же	7	9
23	эти слова	1	9
24	то что	10	9
25	для того	6	9
26	в то	3	9
27	таким образом	10	8
28	так как	25	8
29	с тем	14	8
30	и это	2	8
31	в ней	3	8
32	с его	1	8
33	ничего не	4	8
34	и на	14	7
35	так и	8	7
36	мы можем	2	7
37	только в	4	7
38	в которой	3	7
39	зависимости от	1	7
40	и его	2	7
41	потому что	15	7
42	того чтобы	6	7
43	и тем	1	7
44	было бы	3	7
45	и от	2	7
46	а не	3	7
47	никогда не	1	7
48	во всех	6	6
49	в его	3	6
50	не в	2	6
51	в нем	3	6
52	в конце	1	6
53	и так	2	6
54	в свою	3	6
55	в форме	3	6
56	или как	1	6
57	когда мы	2	6
58	в этой	4	6
59	точку зрения	1	6
60	слова в	3	6
61	в области	3	6
62	в той	1	5
63	связанных с	2	5
64	то есть	3	5
65	уже в	2	5
66	и их	4	5
67	с точки	3	5
68	те же	1	5
69	не является	2	5
70	все время	1	5
71	самом деле	1	5
72	но все	3	5
73	и с	12	5
74	но в	5	5
75	тому что	4	5
76	вместе с	16	5
77	точек зрения	1	5
78	того или	1	5
79	тем у	1	5
80	а с	6	5
81	мы увидим	8	5
82	и следовательно	2	5
83	как это	11	5
84	а в	16	5
85	в нашем	2	5
86	и то	2	5
87	независимо от	3	5
88	и наконец	2	5
89	мы видели	3	5
90	и к	3	4
91	мы видим	2	4
92	один из	10	4
93	того времени	1	4
94	что это	4	4
95	на него	1	4
96	дерево как	1	4
97	все это	12	4
98	в качестве	5	4
99	в одном	4	4
100	влияние на	3	4
101	его в	9	4
102	слова как	1	4
103	если бы	1	4
104	и все	4	4
105	у нас	11	4
106	как только	2	4
107	уже не	9	4
108	к тому	4	4
109	о том	14	4
110	связаны с	6	4
111	и без	1	4
112	в каждом	2	4
113	можно сказать	1	4
114	и пр	4	4
115	было в	1	4
116	так называемой	3	4
117	зрения в	1	4
118	так называемые	1	4
119	не что	3	4
120	можно было	3	4
121	свою очередь	2	4
122	так же	7	4
123	в целом	2	4
124	тем же	1	4
125	что именно	3	4
126	точка зрения	1	4
127	не просто	3	4
128	того что	6	4
129	не к	3	4
130	что было	1	3
131	представить себе	1	3
132	не так	1	3
133	этом случае	9	3
134	ответ на	2	3
135	видели что	1	3
136	и здесь	3	3
137	та же	4	3
138	что у	3	3
139	что эти	2	3
140	если он	1	3
141	для нас	12	3
142	в том	33	3
143	несмотря на	4	3
144	для него	1	3
145	хотя и	3	3
146	в разных	3	3
147	из которых	2	3
148	на самом	3	3
149	что и	8	3
150	в виду	3	3
151	быть может	1	3
152	долгое время	1	3
153	между ними	1	3
154	но что	2	3
155	связи с	6	3
156	и даже	1	3
157	здесь мы	3	3
158	в основе	1	3
159	жизни это	1	3
160	но для	1	3
161	вряд ли	2	3
162	все эти	5	3
163	как в	10	3
164	по своему	2	3
165	должно было	5	3
166	том что	33	3
167	об этом	11	3
168	перед нами	2	3
169	еще не	7	3
170	до того	3	3
171	его и	2	3
172	нуждается в	1	3
173	а к	3	3
174	в котором	2	3
175	в какой-нибудь	1	3
