N	2gram	Medvedev_V	PoTuStor
1	и в	2	16
2	в этом	1	9
3	и только	1	9
4	и его	1	8
5	самом деле	1	6
6	так как	1	4
7	все это	1	4
8	только в	1	4
9	и не	1	4
10	хотя бы	1	4
11	в том	2	3
12	том что	2	3
13	по крайней	1	3
14	даже не	1	3
15	крайней мере	1	3
16	в самом	1	2
17	сводится к	1	2
18	все то	1	2
19	к этому	1	2
20	в частности	1	2
21	но это	1	2
22	то же	1	2
23	и то	1	1
24	то я	1	1
25	не будем	1	1
26	для них	1	1
27	я не	1	1
28	ведь это	1	1
29	социальных отношений	1	1
30	столь же	1	1
31	дело в	1	1
32	в конце	2	1
33	и мало	1	1
34	на одном	1	1
35	же с	1	1
36	и т.д	1	1
37	и почти	1	1
38	в другом	1	1
39	говоря о	1	1
40	к чему	1	1
41	главным образом	1	1
42	этом и	1	1
43	все время	1	1
44	по поводу	1	1
45	сводится в	1	1
