N	2gram	Propp_Morf	formyVre
1	и в	17	148
2	в этом	18	73
3	прежде всего	14	46
4	и т	62	40
5	и не	16	37
6	в его	1	36
7	и его	3	36
8	вовсе не	6	35
9	но и	9	33
10	то же	10	32
11	не только	8	32
12	но в	4	31
13	так и	10	29
14	может быть	61	27
15	не в	3	26
16	как мы	8	26
17	как и	4	25
18	как бы	6	25
19	точки зрения	7	24
20	мы уже	4	24
21	только в	3	23
22	в то	4	23
23	в том	10	22
24	то что	10	22
25	связи с	12	21
26	во всех	6	21
27	же время	1	21
28	все эти	5	21
29	и др	12	19
30	и на	1	19
31	и для	4	19
32	таким образом	26	18
33	у него	2	18
34	и все	1	18
35	еще не	4	18
36	по существу	13	18
37	при этом	1	17
38	те же	1	17
39	с этим	14	17
40	в особенности	1	17
41	так как	20	17
42	в пределах	3	17
43	все же	9	16
44	в связи	10	16
45	в основе	2	16
46	и их	3	16
47	не может	19	16
48	в одном	2	15
49	в них	1	15
50	с точки	6	15
51	с его	3	15
52	и как	6	14
53	и с	1	14
54	так же	4	14
55	всех этих	1	14
56	а не	11	14
57	как раз	1	14
58	все это	2	14
59	в котором	1	13
60	для того	3	13
61	друг с	1	13
62	во время	6	13
63	как в	5	13
64	роль в	2	13
65	в их	1	13
66	с другом	1	13
67	в частности	2	13
68	того чтобы	4	13
69	а в	8	13
70	же в	3	13
71	и до	1	12
72	он не	5	12
73	значение и	3	12
74	что в	10	12
75	это время	1	12
76	потому что	7	12
77	ничего не	5	12
78	но не	8	12
79	и наконец	1	12
80	из них	4	11
81	хотя и	5	11
82	его в	4	11
83	между ними	1	11
84	и у	3	11
85	ни в	3	11
86	в образе	6	11
87	и другие	6	10
88	кроме того	3	10
89	уже не	4	10
90	входит в	4	10
91	в ее	1	10
92	сих пор	1	10
93	также и	6	10
94	до сих	1	10
95	со смертью	2	10
96	здесь не	3	10
97	тот же	1	10
98	в большинстве	3	10
99	и даже	2	9
100	но все	4	9
101	их в	2	9
102	с другой	9	9
103	наряду с	7	9
104	всего в	1	9
105	здесь нет	1	9
106	должно быть	1	9
107	к себе	2	9
108	и это	1	9
109	в других	5	9
110	могут быть	21	9
111	та же	3	9
112	отношения к	1	9
113	оно не	2	9
114	том что	7	9
115	для него	2	9
116	есть в	1	9
117	и к	4	8
118	в результате	8	8
119	в виду	1	8
120	в этих	17	8
121	время как	3	8
122	к тому	5	8
123	но эти	3	8
124	в этот	1	8
125	в некоторых	4	8
126	с одной	2	8
127	что и	10	8
128	в мире	1	8
129	героя и	3	8
130	здесь мы	3	8
131	и по	3	8
132	один из	7	8
133	со всеми	1	8
134	если бы	3	8
135	связанные с	1	8
136	большинстве случаев	3	8
137	мы еще	1	8
138	и то	1	8
139	во всяком	2	8
140	это не	6	8
141	а также	7	8
142	отношение к	1	8
143	отношению к	7	8
