N	3gram	Berdyaev_V	Literetu
1	в том что	2	21
2	с другой стороны	1	7
3	бы то ни	1	4
4	что я говорю	2	3
5	по крайней мере	1	3
6	то что я	2	3
7	в первый раз	3	2
8	уже и не	1	2
9	и вместе с	1	2
10	к тому что	3	2
11	за то что	3	2
12	вместе с тем	1	2
13	но и в	2	2
14	на себя мы	1	1
15	для него не	1	1
16	хотя бы и	1	1
17	еще не была	1	1
18	ее и в	1	1
19	с тем чтобы	1	1
20	в конце концов	1	1
21	и не было	1	1
22	вот в чем	1	1
23	самого себя и	1	1
24	но все же	1	1
25	по этому пути	2	1
26	не в силах	2	1
27	на том пути	1	1
28	и в этом	1	1
29	после того как	1	1
30	во имя свободы	3	1
31	сознания так и	1	1
32	вслед за ним	1	1
33	все тот же	2	1
34	как бы в	1	1
35	это еще не	2	1
36	в этих словах	1	1
37	том что он	2	1
38	не могут быть	1	1
39	в мире и	1	1
40	в искусстве но	1	1
