N	4gram	Vinokur_Ku	VeschiIm
1	не что иное как	2	12
2	бы то ни было	1	12
3	и т д и	3	11
4	т д и т	3	10
5	д и т д	2	10
6	есть не что иное	1	8
7	одно и то же	1	5
8	и тем не менее	4	5
9	с этой точки зрения	3	4
10	дело в том что	1	4
11	в то же время	4	4
12	свидетельствует о том что	1	3
13	можно ли сказать что	1	3
14	и в то же	1	3
15	по крайней мере в	1	2
16	уже не может быть	2	2
17	заключается в том что	2	2
18	в том что он	3	2
19	вовсе не потому что	1	1
20	и не потому что	1	1
21	и в самом деле	4	1
22	только в том что	1	1
23	в том смысле что	1	1
24	смысле этого слова есть	1	1
25	стоит в связи с	1	1
26	какой бы то ни	1	1
27	одном и том же	1	1
28	и есть в сущности	1	1
29	не потому что я	1	1
30	с тех пор как	1	1
31	как можно было бы	1	1
32	в самом деле в	1	1
33	что с точки зрения	1	1
34	себе по крайней мере	1	1
35	ни то ни другое	1	1
36	я позволю себе сделать	1	1
37	в одном и том	1	1
38	и т д а	1	1
39	в том что и	1	1
40	одного и того же	2	1
41	не имеющая ничего общего	1	1
42	и с другой стороны	1	1
43	не только потому что	3	1
44	и т д словом	1	1
45	нуждается в том чтобы	1	1
46	когда речь идет о	1	1
47	о которых идет речь	1	1
48	а в том что	2	1
49	и мы увидим как	1	1
50	и т д все	1	1
51	в том что я	1	1
52	никак не может быть	1	1
53	т д все это	1	1
54	общем смысле этого слова	1	1
55	и вместе с тем	1	1
56	еще и потому что	1	1
57	нужно для того чтобы	1	1
58	заключается не в том	1	1
59	также и то что	1	1
