N	3gram	Trubetskoy	VeschiIm
1	не может быть	4	24
2	бы то ни	3	12
3	то ни было	3	12
4	тем не менее	4	11
5	по крайней мере	1	10
6	в том что	16	9
7	а и в	7	9
8	в самом деле	5	7
9	на то что	7	7
10	по сравнению с	5	7
11	с точки зрения	8	6
12	так или иначе	5	6
13	в свою очередь	2	5
14	в то же	2	5
15	и то же	1	5
16	и то что	3	5
17	одно и то	1	5
18	то время как	1	4
19	этой точки зрения	1	4
20	с этой точки	1	4
21	в то время	2	4
22	более или менее	8	4
23	не только не	1	4
24	дело в том	1	4
25	о том что	4	4
26	то же время	2	4
27	мы видели что	1	3
28	вместе с тем	3	3
29	что это есть	1	3
30	заключается в том	3	3
31	и ничем не	1	3
32	если мы возьмем	1	3
33	свидетельствует о том	1	3
34	все же не	3	3
35	из того что	1	3
36	можно было бы	1	3
37	есть как бы	1	3
38	так что в	1	3
39	не может не	3	3
40	только то что	2	3
41	с одной стороны	2	3
42	то что мы	1	3
43	с другой стороны	4	3
44	не есть ли	1	3
45	между нею и	1	3
46	так же как	3	2
47	все то что	1	2
48	а так как	1	2
49	мы находим в	1	2
50	мы видим что	1	2
51	в данном случае	3	2
52	того что именно	1	2
53	и в в	1	2
54	а следовательно и	2	2
55	для этого нужно	1	2
56	для того чтобы	7	2
57	друг с другом	9	2
58	если она не	1	2
59	и в конце	1	2
60	том что он	2	2
61	в том или	1	2
62	в конце концов	4	2
63	в каком-нибудь отношении	1	2
64	ни тем более	1	2
65	и таким образом	1	2
66	как бы ни	1	2
67	а затем и	1	2
68	то ясно что	4	2
69	хотя бы в	1	2
70	а не в	1	2
71	в связи с	3	2
72	то что у	2	2
73	к тому что	1	2
74	но все же	2	2
75	во всяком случае	2	2
76	только тогда когда	1	2
77	что же касается	2	2
78	в этом и	1	2
79	мы все же	2	1
80	психологической точки зрения	1	1
81	то что составляет	1	1
82	в одинаковой мере	1	1
83	уже сказали что	1	1
84	и в целом	1	1
85	и у нас	1	1
86	есть ли это	1	1
87	все дело заключается	1	1
88	это может быть	1	1
89	тождественно с ним	1	1
90	такое положение дела	1	1
91	на вере в	1	1
92	никак не может	1	1
93	все что мы	1	1
94	и может быть	2	1
95	как мы знаем	1	1
96	из двух или	1	1
97	в данный момент	1	1
98	не есть нечто	1	1
99	и тому же	1	1
100	быть потому что	1	1
101	и более или	1	1
102	не в состоянии	3	1
103	в одно целое	1	1
104	таким образом получается	1	1
105	меньше чем в	1	1
106	между собой а	1	1
107	в себе и	1	1
108	зрения в истории	1	1
109	еще не вполне	1	1
110	связанных друг с	1	1
111	а в с	1	1
112	которых идет речь	3	1
113	которые совершенно не	1	1
114	и в нем	1	1
115	только в том	1	1
116	и что все	1	1
117	что указывало бы	1	1
118	не в том	1	1
119	независимо от того	1	1
120	своих частей и	1	1
121	с другом они	1	1
122	что у него	1	1
123	не будет уже	1	1
124	указывало бы на	1	1
125	в себе никаких	1	1
126	указание на то	1	1
127	то из этого	1	1
128	из них в	1	1
129	до сих пор	15	1
130	может не быть	1	1
131	именно потому что	2	1
132	и тут уже	1	1
133	одного и того	3	1
134	каких бы то	1	1
135	на точку зрения	1	1
136	того что в	1	1
137	таким образом и	1	1
138	так что и	1	1
139	о том кто	1	1
140	смысле этого слова	1	1
141	то в ней	1	1
142	очень много и	1	1
143	что все эти	1	1
144	говорили выше что	1	1
145	мы не знаем	1	1
146	то ни другое	1	1
147	все эти рассуждения	1	1
148	всех своих частей	1	1
149	и того же	3	1
150	одному и тому	1	1
151	в своем уме	1	1
152	а потому что	1	1
153	в этом случае	4	1
154	о которых идет	3	1
155	а в том	1	1
156	в научной литературе	1	1
157	они вовсе не	1	1
158	точки зрения что	1	1
159	стоит в связи	1	1
160	мы будем понимать	1	1
161	что они не	1	1
162	одно из двух	1	1
163	в зависимости от	1	1
164	самого себя и	1	1
165	также и то	1	1
166	для тех кто	1	1
167	в каждый момент	1	1
168	мы сказали что	2	1
169	тем что она	1	1
170	то что для	1	1
171	ни то ни	1	1
172	ясно что и	1	1
173	то же самое	1	1
174	нет а есть	1	1
175	и все же	1	1
176	они должны быть	2	1
177	с тех пор	1	1
178	та или иная	1	1
179	то обстоятельство что	1	1
180	время как другие	1	1
181	что несмотря на	2	1
182	несмотря на все	1	1
183	вместо того чтобы	1	1
184	я не могу	1	1
185	это потому что	1	1
186	о них мы	1	1
187	является одним из	1	1
188	по его мнению	1	1
189	но так как	2	1
190	он все же	2	1
191	при таких условиях	2	1
192	тот или иной	1	1
193	это было бы	1	1
194	с большим трудом	1	1
195	по тем же	1	1
196	и не может	1	1
197	мы уже сказали	1	1
198	может быть и	4	1
