N	2gram	Berdyaev_O	TeoriaLi
1	в мире	1	26
2	не только	11	24
3	и в	19	24
4	в частности	1	23
5	может быть	11	22
6	в том	5	20
7	и не	13	17
8	а в	5	15
9	но и	13	14
10	а не	11	14
11	так и	2	14
12	в себе	3	14
13	представляет собой	1	13
14	но не	1	13
15	в этом	12	12
16	но в	2	12
17	в его	7	12
18	том что	2	11
19	и его	4	11
20	что в	4	10
21	как это	1	10
22	лишь в	7	10
23	в душе	2	9
24	не в	11	9
25	в своей	2	8
26	как бы	3	8
27	по своей	1	8
28	не может	4	8
29	в самом	5	7
30	особого рода	1	7
31	в своем	2	7
32	отношение к	5	7
33	в нем	10	7
34	как и	6	6
35	еще не	3	6
36	то что	5	6
37	со стороны	1	6
38	уже не	1	6
39	с его	4	6
40	в ее	2	6
41	в русской	3	6
42	художественного творчества	1	5
43	в виду	1	5
44	как в	1	5
45	того чтобы	4	5
46	для того	3	5
47	жизни как	1	5
48	как к	2	5
49	для него	5	5
50	того что	3	5
51	он не	7	5
52	и о	2	5
53	могут быть	3	5
54	не случайно	1	5
55	в отношении	1	4
56	и сам	1	4
57	в этих	3	4
58	отношения к	1	4
59	что он	3	4
60	в другом	2	4
61	отношении к	1	4
62	сказать что	2	4
63	этого слова	1	4
64	никогда не	9	4
65	это не	3	4
66	хотя и	2	4
67	его в	2	4
68	но он	7	4
69	личности и	2	4
70	речи и	1	4
71	и что	1	4
72	самим собой	1	4
73	в форме	1	4
74	в силу	1	4
75	и ее	3	4
76	и к	2	3
77	была бы	1	3
78	о чем	1	3
79	если бы	1	3
80	все эти	4	3
81	а именно	1	3
82	например в	1	3
83	в жизни	1	3
84	к его	1	3
85	никто не	3	3
86	виду не	1	3
87	потому что	9	3
88	между двумя	1	3
89	в одном	1	3
90	не все	2	3
91	и для	2	3
92	и то	2	3
93	человека к	2	3
94	и вот	3	3
95	и потому	2	3
96	ни к	1	3
97	прежде всего	9	3
98	и как	1	3
99	вовсе не	1	3
100	а с	1	3
101	в которой	2	3
102	он должен	1	3
103	не с	1	3
104	человека с	1	3
105	в этой	5	3
106	мира в	1	3
107	ведет к	1	2
108	один из	1	2
109	и здесь	1	2
110	и на	2	2
111	жизни а	1	2
112	по себе	2	2
113	не могут	3	2
114	в них	1	2
115	и даже	1	2
116	самом деле	1	2
117	заключается в	1	2
118	в одно	1	2
119	с ними	1	2
120	жизни в	2	2
121	не вполне	1	2
122	отличается от	1	2
123	у одного	1	2
124	к другому	1	2
125	своей жизни	2	2
126	о том	3	2
127	мире это	1	2
128	во внешнем	1	2
129	и состоит	1	2
130	к нему	3	2
131	сознания в	1	2
132	и больше	1	2
133	может служить	1	2
134	и это	1	2
135	перед ним	1	2
136	в глаза	1	2
137	самом начале	1	2
138	тем же	1	2
139	ключ к	1	2
140	что она	1	2
141	который в	1	2
142	он и	1	2
143	лишь один	1	2
144	в самой	9	2
145	то в	1	2
146	что они	2	2
147	что сама	1	2
148	но от	1	2
149	ее в	2	2
150	все это	6	2
151	что и	2	2
152	у нас	1	2
153	с их	1	2
154	у него	22	2
155	от всех	1	2
156	говорит в	1	2
157	к чему	1	2
158	дело в	1	2
159	не могли	2	2
160	в конце	1	2
161	во внутренней	1	2
162	только и	4	2
163	это было	3	2
164	к одному	1	2
165	при чтении	2	2
166	этом мире	2	2
167	человека и	10	2
168	человеческих отношений	4	2
169	о его	5	2
170	с чем	2	2
171	и прежде	1	2
172	как будто	1	2
173	ни был	1	2
174	чем и	1	2
175	чтобы не	1	2
176	от свободы	1	2
177	от него	7	1
178	все что	3	1
179	и против	2	1
180	же и	1	1
181	и личной	1	1
182	его с	1	1
183	в которую	1	1
184	есть для	1	1
185	вопросу о	1	1
186	что это	1	1
187	с ним	3	1
188	природе и	1	1
189	которой в	1	1
190	в сущности	1	1
191	говорит о	1	1
192	самой жизни	1	1
193	проникновения в	1	1
194	дается в	1	1
195	открытие и	1	1
196	быть может	3	1
197	в единстве	2	1
198	которые будут	1	1
199	в центре	1	1
200	со всеми	1	1
201	должен был	2	1
202	их не	2	1
203	его лишь	1	1
204	делает в	1	1
205	русской природы	1	1
206	и делают	1	1
207	его природы	1	1
208	любовь и	1	1
209	мысль о	2	1
210	нему как	1	1
211	к каким	1	1
212	отношение человека	1	1
213	тем что	2	1
214	одним словом	1	1
215	говорят о	1	1
216	из всего	2	1
217	и действительно	1	1
218	с тем	2	1
219	этого типа	1	1
220	приходит в	1	1
221	состоит чтобы	1	1
222	о судьбе	1	1
223	все же	2	1
224	к преступлению	1	1
225	жизни ее	1	1
226	быть назван	1	1
227	не имеет	2	1
228	но у	1	1
229	да и	1	1
230	в это	1	1
231	стремился к	1	1
232	только одно	3	1
233	действующих лиц	1	1
234	на примере	1	1
235	и я	1	1
236	совершенно не	1	1
237	все и	1	1
238	не существует	1	1
239	в котором	1	1
240	и пр	1	1
241	вопрос о	10	1
242	и заключается	1	1
243	что достоевский	2	1
244	связана с	1	1
245	из жизни	1	1
246	и трагическое	1	1
247	душе в	1	1
248	не быть	1	1
249	с которой	2	1
250	жизни и	1	1
251	чего не	1	1
252	и ему	1	1
253	одно из	2	1
254	в мир	1	1
255	и до	1	1
256	добро и	2	1
257	в совершенно	1	1
258	в истории	2	1
259	не так	1	1
260	личность и	1	1
261	разговор с	1	1
262	было и	1	1
263	против собственной	1	1
264	в чистом	1	1
265	всего что	1	1
266	и формы	1	1
267	этого мира	2	1
268	исчезнет в	1	1
269	это какое-то	1	1
270	во внешней	1	1
271	него не	2	1
272	духа и	1	1
273	ее как	1	1
274	человеческая личность	1	1
275	и остроте	1	1
276	до конца	7	1
277	в одной	1	1
278	что все	2	1
279	действующие лица	1	1
280	в сознании	1	1
281	ивана карамазова	7	1
282	момент в	2	1
283	одна из	1	1
284	речь о	1	1
285	широк человек	1	1
286	из них	1	1
287	и возможности	1	1
288	внутренней жизни	1	1
289	ближе к	1	1
290	на не	1	1
291	в свое	1	1
292	и завершает	1	1
293	так как	2	1
294	она и	1	1
