N	4gram	Propp_Isto	Komedia
1	в то время как	2	9
2	иначе обстоит дело с	1	3
3	до сих пор не	1	3
4	состоит в том что	2	2
5	с этой точки зрения	1	2
6	в том что в	1	2
7	в тех случаях когда	2	2
8	не что иное как	6	1
9	в этом случае в	1	1
10	но вместе с тем	1	1
11	только после того как	2	1
12	несколько иначе обстоит дело	1	1
13	таким образом и здесь	1	1
14	что в некоторых случаях	2	1
15	не заставляет себя ждать	1	1
16	в связи с этим	1	1
17	то же самое что	1	1
18	дело следовательно не в	1	1
19	состоял в том что	1	1
20	только в связи с	2	1
21	несмотря на то что	1	1
22	в соответствии с этим	1	1
23	начинается с того что	2	1
24	с одной стороны он	1	1
25	и в том числе	1	1
26	а в другом случае	1	1
27	и т д все	1	1
28	так же как и	3	1
29	остается предположить что они	1	1
30	мы имеем дело с	1	1
