N	3gram	Tiupa_Anal	Stilisti
1	в то же	7	9
2	для того чтобы	1	7
3	в зависимости от	1	7
4	то же время	7	7
5	того или иного	5	5
6	с точки зрения	2	5
7	в свою очередь	7	4
8	той или иной	6	4
9	ту или иную	1	4
10	и той же	2	4
11	одной и той	2	4
12	но и в	2	3
13	внутренней и внешней	2	3
14	на самом деле	1	3
15	в конце концов	1	3
16	тех или иных	1	3
17	не только в	5	3
18	и тем самым	2	3
19	в этом случае	1	3
20	как бы в	1	3
21	должны были бы	1	2
22	в самом деле	1	2
23	есть не что	1	2
24	к чему не	1	2
25	и те же	1	2
26	мы видим что	1	2
27	не может быть	2	2
28	больше и больше	1	2
29	по отношению к	9	2
30	о том что	7	2
31	одни и те	1	2
32	можно сказать что	2	2
33	и как бы	2	2
34	не что иное	1	2
35	смысле этого слова	1	2
36	тех случаях когда	1	2
37	между внутренней и	1	2
38	в связи с	1	2
39	что иное как	1	2
40	ни к чему	1	2
41	той же самой	1	2
42	в этом отношении	3	2
43	не должно быть	1	2
44	в значительной степени	3	2
45	тот или иной	3	2
46	в тех случаях	1	2
47	в нашем случае	1	1
48	в том что	12	1
49	в дальнейшем мы	1	1
50	в одном из	1	1
51	что могло бы	1	1
52	несмотря на свою	1	1
53	достаточно было бы	1	1
54	мысль о том	1	1
55	в конечном счете	5	1
56	как и вообще	1	1
57	дело не с	1	1
58	в большинстве случаев	1	1
59	на наш взгляд	5	1
60	как и от	1	1
61	по крайней мере	5	1
62	в русской литературе	5	1
63	и т.п не	1	1
64	одних и тех	2	1
65	и в особенности	1	1
66	хотя бы и	1	1
67	как и в	6	1
68	не только его	1	1
69	тот факт что	1	1
70	но и весь	1	1
71	тем не менее	3	1
72	не является ни	1	1
73	и здесь остается	1	1
74	по ту сторону	1	1
75	и тех же	2	1
76	с целым рядом	1	1
77	особое место в	1	1
78	но и его	1	1
79	дальнейшем мы будем	1	1
80	в качестве одного	1	1
81	таким образом в	1	1
82	они как бы	1	1
83	на этот вопрос	1	1
84	истории не только	1	1
85	одного и того	4	1
86	не говоря уже	1	1
87	высказывания но они	1	1
88	из них в	1	1
89	до сих пор	1	1
90	именно потому что	1	1
91	не смог бы	1	1
92	и здесь мы	1	1
93	о том какое	1	1
94	то у нас	1	1
95	в иной ситуации	1	1
96	в самый момент	1	1
97	что было бы	1	1
98	как и всякий	1	1
99	само по себе	1	1
100	иметь дело с	2	1
101	пока же мы	1	1
102	прежде всего с	1	1
103	своей жизни как	1	1
104	в пределах одного	1	1
105	здесь как бы	1	1
106	не только не	3	1
107	не в самом	2	1
108	и того же	4	1
109	и т.д в	1	1
110	и есть не	1	1
111	произведения но в	1	1
112	как раз и	1	1
113	и все же	1	1
114	между тем в	2	1
115	человека с человеком	1	1
116	не нуждается в	1	1
117	с другой стороны	7	1
118	перед нами не	1	1
119	вопрос о том	1	1
120	и т.п как	1	1
121	в самом широком	1	1
122	может быть достаточно	1	1
123	слова были бы	1	1
124	и т.д что	1	1
125	создается прежде всего	1	1
126	случаях когда мы	1	1
127	усложняется тем что	1	1
128	можно было бы	1	1
129	что несмотря на	2	1
130	отнюдь не является	1	1
