N	2gram	Savitsky_P	Freidism
1	и не	12	34
2	точки зрения	3	31
3	не может	4	30
4	и пр	5	29
5	в этом	10	28
6	может быть	5	28
7	и в	14	28
8	прежде всего	3	26
9	в его	2	25
10	мы можем	1	20
11	как бы	4	19
12	то что	4	17
13	с точки	3	15
14	в душе	1	13
15	как и	1	13
16	но в	9	13
17	во всех	2	13
18	в самом	1	12
19	то же	9	12
20	том что	4	12
21	все это	2	12
22	и потому	4	12
23	только в	7	11
24	мы знаем	1	11
25	его в	1	11
26	не только	17	10
27	и с	2	10
28	но и	6	10
29	тот же	3	10
30	никогда не	1	10
31	в том	9	10
32	не в	5	10
33	и на	1	9
34	те же	1	9
35	во всяком	1	9
36	мы не	3	9
37	с его	1	9
38	а не	2	9
39	мы должны	4	9
40	могут быть	3	9
41	все же	1	8
42	еще не	1	8
43	с этим	2	8
44	было бы	6	8
45	и вот	2	8
46	знаем что	1	8
47	а в	4	8
48	– все	1	8
49	в ней	6	8
50	всяком случае	1	8
51	что в	4	7
52	и к	4	7
53	в жизни	2	7
54	хотя бы	8	7
55	в каком	1	7
56	если мы	1	7
57	что все	1	7
58	из них	2	7
59	того что	2	7
60	но не	3	7
61	я и	3	7
62	в нем	3	7
63	к смерти	1	7
64	в этой	1	7
65	в себе	3	7
66	в то	7	7
67	и ее	1	7
68	одно из	1	6
69	если он	1	6
70	не менее	2	6
71	для того	3	6
72	же время	7	6
73	из этих	1	6
74	как раз	2	6
75	большинстве случаев	1	6
76	она не	1	6
77	и что	1	6
78	в пределах	8	6
79	и о	5	6
80	и только	1	6
81	для этого	1	6
82	что это	1	5
83	конечно и	1	5
84	с ними	3	5
85	вместе с	1	5
86	со стороны	2	5
87	того чтобы	1	5
88	говорить о	2	5
89	на основании	1	5
90	это не	3	5
91	в ее	2	5
92	что и	1	5
93	в которой	1	5
94	в этих	1	5
95	в себя	1	5
96	и по	1	5
97	не было	2	5
98	далеко не	1	5
99	только то	1	5
100	в большинстве	1	5
101	заключается в	3	5
102	в общем	2	5
103	отнюдь не	2	5
104	все основные	1	4
105	мы и	1	4
106	в основном	1	4
107	мысли и	1	4
108	сводится к	3	4
109	по себе	4	4
110	если бы	4	4
111	именно в	2	4
112	в собственном	1	4
113	связанные с	1	4
114	из тех	1	4
115	в данном	1	4
116	в котором	4	4
117	потому что	3	4
118	только как	1	4
119	и образы	1	4
