N	2gram	Ircho_Kome	Stilisti
1	и в	40	42
2	как бы	3	30
3	не только	12	28
4	прежде всего	8	22
5	хотя бы	2	18
6	то же	7	16
7	но и	14	16
8	и не	19	14
9	может быть	16	13
10	не может	3	13
11	как и	12	12
12	мы уже	1	11
13	точки зрения	7	11
14	в этом	9	10
15	в себе	3	10
16	и как	3	10
17	общественной жизни	2	10
18	как мы	5	10
19	отнюдь не	2	10
20	мы не	4	9
21	при этом	5	9
22	все же	7	9
23	эти слова	1	9
24	то что	8	9
25	для того	3	9
26	в то	14	9
27	таким образом	13	8
28	так как	6	8
29	с тем	5	8
30	и это	3	8
31	слово как	1	8
32	в ней	2	8
33	тем самым	1	8
34	что же	2	8
35	с его	4	8
36	ничего не	4	8
37	и на	9	7
38	так и	17	7
39	мы можем	6	7
40	только в	6	7
41	в которой	9	7
42	зависимости от	1	7
43	и его	17	7
44	потому что	8	7
45	того чтобы	4	7
46	и тем	2	7
47	же время	5	7
48	было бы	8	7
49	той же	3	7
50	и от	2	7
51	в зависимости	1	7
52	а не	1	7
53	во всех	4	6
54	в его	8	6
55	не в	8	6
56	в нем	8	6
57	в конце	7	6
58	на его	5	6
59	бы в	3	6
60	в свою	2	6
61	с помощью	1	6
62	в форме	2	6
63	в этой	9	6
64	или иной	1	6
65	в области	3	6
66	в той	2	5
67	в самом	5	5
68	связанных с	2	5
69	то есть	1	5
70	уже в	9	5
71	и их	3	5
72	те же	1	5
73	не является	2	5
74	все время	2	5
75	в общественной	1	5
76	но все	4	5
77	и с	8	5
78	но в	6	5
79	тому что	4	5
80	вместе с	8	5
81	точек зрения	2	5
82	того или	1	5
83	тем у	1	5
84	а с	1	5
85	и следовательно	2	5
86	слова и	1	5
87	как это	7	5
88	и является	1	5
89	а в	9	5
90	же самое	2	5
91	в нашем	2	5
92	в сознании	4	5
93	или иного	1	5
94	независимо от	5	5
95	мы видели	2	5
96	всего в	5	4
97	были бы	1	4
98	и к	2	4
99	один из	9	4
100	того времени	3	4
101	что это	5	4
102	на него	4	4
103	все это	7	4
104	в качестве	8	4
105	в одном	10	4
106	его в	6	4
107	если бы	4	4
108	и все	4	4
109	с самого	3	4
110	к своему	1	4
111	у нас	3	4
112	да и	5	4
113	к тому	15	4
114	о том	12	4
115	и без	3	4
116	человека не	1	4
117	той или	1	4
118	самого начала	2	4
119	в каждом	2	4
120	если мы	1	4
121	было в	1	4
122	так называемой	3	4
123	зрения в	1	4
124	общения и	1	4
125	не что	1	4
126	можно было	5	4
127	на это	3	4
128	так же	4	4
129	в целом	6	4
130	себя в	2	4
131	в данной	1	4
132	тем же	2	4
133	речь и	1	4
134	не знаем	1	4
135	что именно	3	4
136	само собой	2	4
137	того что	1	4
138	не к	2	4
139	представить себе	3	3
140	не так	1	3
141	ответ на	2	3
142	и здесь	6	3
143	та же	1	3
144	что у	6	3
145	зрения на	2	3
146	что эти	1	3
147	как таковой	1	3
148	совершенно не	1	3
149	и вот	4	3
150	в том	19	3
151	отношения к	1	3
152	теперь в	2	3
153	несмотря на	5	3
154	для него	1	3
155	хотя и	6	3
156	в разных	1	3
157	в ее	2	3
158	из которых	5	3
159	на самом	1	3
160	и уже	2	3
161	что и	10	3
162	в виду	2	3
163	долгое время	1	3
164	связи с	3	3
165	и даже	5	3
166	здесь мы	3	3
167	в основе	1	3
168	содержание и	1	3
169	и тому	1	3
170	все эти	1	3
171	как в	8	3
172	по своему	5	3
173	уважение к	1	3
174	том что	19	3
175	роль в	2	3
176	об этом	2	3
177	конце концов	4	3
178	слова о	2	3
179	перед нами	1	3
180	еще не	7	3
181	до того	1	3
182	но при	1	3
183	то он	1	3
184	нуждается в	2	3
185	выражение в	1	3
186	мертвых душ	1	3
187	а к	2	3
188	в котором	6	3
189	в устах	1	3
190	если не	1	3
191	и поэтому	2	3
192	между тем	9	3
193	во второй	4	3
194	не знает	1	3
195	в частности	7	3
196	только на	2	3
197	не с	1	3
198	в тех	5	3
199	в начале	7	3
200	целый ряд	2	3
201	конечно не	1	3
202	от того	3	3
203	их в	1	3
204	заметить что	1	3
205	нет и	2	3
206	сказать что	1	3
207	главным образом	4	3
208	высказывания в	1	3
209	может показаться	1	3
210	в голову	1	3
211	жизни и	4	3
212	чаще всего	3	3
213	этого слова	1	3
214	и эта	1	3
215	к той	1	3
216	у них	1	3
217	не мог	4	3
218	и для	4	3
219	это не	2	3
220	из них	16	3
221	только одна	1	2
222	эти высказывания	1	2
223	для всех	5	2
224	в душе	1	2
225	и он	1	2
226	очевидно что	1	2
227	мы найдем	4	2
228	и этот	1	2
229	на эти	1	2
230	что иное	1	2
231	нас не	2	2
232	с развитием	1	2
233	и при	1	2
234	и потому	1	2
235	каждый из	3	2
236	мы имеем	1	2
237	еще более	2	2
238	своего героя	1	2
239	этом отношении	3	2
240	с ним	1	2
241	о чем	2	2
242	я взял	1	2
243	для них	2	2
244	в отношении	6	2
245	собой разумеется	1	2
246	это слово	4	2
247	даже на	1	2
248	иными словами	1	2
249	смысле этого	1	2
250	с собой	2	2
251	но это	2	2
252	в их	6	2
253	к достижению	1	2
254	а на	2	2
255	связь с	2	2
256	от их	1	2
257	в своих	2	2
258	не было	1	2
259	на этот	5	2
260	материал для	2	2
261	из героев	1	2
262	или в	5	2
263	том же	1	2
264	общественного сознания	1	2
265	из двух	2	2
266	с ней	1	2
267	но не	3	2
268	тем что	5	2
269	из всего	2	2
270	или хотя	1	2
271	слово в	1	2
272	говорить в	1	2
273	в жизни	1	2
274	в связи	3	2
275	ясно что	9	2
276	эти три	1	2
277	что он	11	2
278	помнить что	1	2
279	случаях когда	1	2
280	для каждого	1	2
281	в своей	3	2
282	в мире	3	2
283	на эту	1	2
284	в этих	5	2
285	сделать его	1	2
286	ли не	8	2
287	и сам	5	2
288	связанные с	2	2
289	миру и	1	2
290	ли он	1	2
291	по своей	2	2
292	говорить и	1	2
293	в каком	1	2
294	тому же	14	2
295	должен быть	1	2
296	на первый	1	2
297	сих пор	3	2
298	в дальнейшем	1	2
299	с этим	5	2
300	сознании человека	1	2
301	не говоря	4	2
302	к этому	8	2
303	бы не	1	2
304	еще и	2	2
305	человека в	2	2
306	ответить на	1	2
307	бы и	1	2
308	слов или	1	2
309	вопрос о	5	2
310	возникновения и	1	2
311	себе все	1	2
312	со всех	1	2
313	даже и	1	2
314	да еще	2	2
315	в значительной	1	2
316	тому подобное	1	2
317	из этих	5	2
318	его не	1	2
319	ведь еще	1	2
320	не должен	1	2
321	и ни	1	2
322	относится к	2	2
323	который мы	1	2
324	также и	1	2
325	представляет собой	1	2
326	в какой	2	2
327	за столом	1	2
328	не всегда	2	2
329	и тогда	1	2
330	он не	5	2
331	значение и	1	2
332	в середине	5	2
333	должна была	3	2
334	в так	2	2
335	между двумя	1	2
336	и больше	1	2
337	такой прием	2	2
338	от которых	1	2
339	за ними	1	2
340	в идеологическом	1	2
341	для этого	2	2
342	частей из	1	2
343	и когда	1	2
344	по отношению	5	2
345	как уже	1	2
346	но об	1	2
347	времени и	2	2
348	в пределах	1	2
349	значительной степени	1	2
350	той социальной	1	2
351	и те	1	2
352	ту же	2	2
353	с кем	1	2
354	при всем	3	2
355	себе в	1	2
356	должны были	9	2
357	литературного творчества	1	2
358	почему же	1	2
359	отношение к	3	2
360	все больше	1	2
361	друг другу	2	2
362	тех случаях	1	2
363	следовательно тем	1	2
364	которые в	3	2
365	вовсе не	3	2
366	одной из	6	2
367	различие в	1	2
368	тот же	5	2
369	до конца	3	2
370	к которому	4	2
371	деятельности человека	1	2
372	в первой	2	2
373	общества в	1	2
374	роль играет	1	2
375	место в	7	2
376	к миру	1	2
377	отношению к	5	2
378	из трех	2	2
379	именно с	1	2
380	однако в	4	2
381	в которых	1	2
382	в разговоре	1	2
383	друг друга	2	2
384	только потому	2	2
385	и нет	1	2
386	таким же	1	2
387	к полному	1	2
388	вторая группа	1	2
389	вопросов которые	1	2
390	в какой-то	3	2
391	подойти к	1	2
392	иное как	1	2
393	чуть ли	2	2
394	гораздо более	2	2
395	к нему	5	2
396	в особенности	1	1
397	которому он	1	1
398	к сожалению	2	1
399	что в	12	1
400	этой самой	1	1
