N	3gram	Propp_Morf	SlovoVZh
1	по отношению к	7	11
2	не может быть	9	7
3	можно сказать что	1	5
4	в том что	4	4
5	то ни было	2	3
6	до сих пор	1	3
7	этой точки зрения	1	3
8	бы то ни	3	3
9	тем не менее	6	3
10	может быть и	2	3
11	эти и подобные	1	2
12	на самом деле	4	2
13	в какой степени	1	2
14	одно и то	1	2
15	в данном случае	2	2
16	с одной стороны	2	2
17	с другой стороны	5	2
18	до известной степени	1	2
19	и то же	1	2
20	с точки зрения	6	2
21	в настоящее время	3	2
22	сих пор не	1	1
23	является то что	1	1
24	самом деле в	1	1
25	и таким образом	2	1
26	важно не то	1	1
27	о том что	3	1
28	в противном случае	1	1
29	бы они ни	1	1
30	один и тот	1	1
31	должна быть изучена	1	1
32	таким образом во	1	1
33	совершенно ясно что	1	1
34	все более и	1	1
35	таким образом мы	7	1
36	в высшей степени	1	1
37	хотя бы только	1	1
38	в свою очередь	1	1
39	и тот же	1	1
40	как и в	3	1
41	том что все	1	1
42	с другими формами	1	1
43	как мы уже	1	1
44	и не требует	1	1
45	ни в коем	1	1
46	во всяком случае	2	1
47	о том кто	1	1
48	в коем случае	1	1
49	и независимо от	1	1
50	хотя бы отдаленно	1	1
51	подобно тому как	5	1
52	мы увидим что	2	1
53	с самого начала	1	1
54	было бы показать	1	1
55	хотя и здесь	1	1
56	можно было бы	2	1
57	в этом отношении	2	1
58	к нему в	1	1
59	то же время	1	1
60	далеко не всегда	1	1
61	тех или иных	1	1
62	более или менее	2	1
63	более и более	1	1
64	в то же	1	1
65	мы имеем в	2	1
66	то время как	3	1
67	но если бы	1	1
68	на этом основании	1	1
69	в то время	3	1
70	уже не может	1	1
71	но все же	4	1
72	если же он	1	1
73	они ни были	1	1
74	друг к другу	2	1
75	к вопросу о	2	1
