N	4gram	Propp_Isto	Psycholo
1	заключается в том что	1	23
2	в то время как	2	13
3	одной и той же	2	12
4	указывает на то что	1	11
5	с этой точки зрения	1	10
6	не что иное как	6	6
7	образом мы видим что	1	5
8	так же как и	3	5
9	в том что в	1	4
10	то же самое что	1	4
11	состоит в том что	2	4
12	в силу того что	1	4
13	точно так же как	2	4
14	когда он говорит что	1	3
15	несмотря на то что	1	3
16	таким образом мы видим	1	3
17	не только то что	1	2
18	здесь мы видим что	1	2
19	с другой стороны и	3	2
20	до сих пор не	1	2
21	так же как в	2	2
22	точно так же и	1	2
23	мы видели что в	2	2
24	и не может быть	1	2
25	и т д все	1	2
26	с одной стороны он	1	2
27	но вместе с тем	1	2
28	есть не что иное	2	2
29	который точно так же	1	1
30	здесь могут быть два	1	1
31	с нашей точки зрения	1	1
32	после того как она	1	1
33	могло бы составить предмет	2	1
34	в том смысле как	1	1
35	вступает с ней в	1	1
36	дело конечно не просто	1	1
37	с другой стороны она	1	1
38	мы уже знаем что	1	1
39	это еще не все	1	1
40	в данном случае в	1	1
41	что при помощи этого	1	1
42	указывают на то что	1	1
43	в связи с этим	1	1
44	мы видим что в	1	1
45	как мы увидим ниже	2	1
46	мы увидим ниже что	1	1
47	с одной стороны жизнь	1	1
48	но это только одна	1	1
49	из ложной предпосылки что	1	1
50	том смысле как это	1	1
51	мы видим что здесь	1	1
52	конечно не просто в	1	1
53	к тому что в	1	1
54	не имеют ничего общего	1	1
55	и т д с	1	1
56	в средние века в	1	1
57	если это так то	1	1
58	совершенно так же как	4	1
59	но они не только	1	1
60	что они находятся в	1	1
61	мы должны были бы	1	1
62	это означало бы что	1	1
63	по-видимому заключается в том	1	1
64	раньше чем перейти к	2	1
65	на все эти вопросы	1	1
66	но в таком случае	1	1
67	имеют ничего общего с	1	1
68	а не сам он	1	1
69	и каждое из них	1	1
70	по существу мы можем	1	1
71	иметь в виду то	1	1
72	они еще не вполне	1	1
73	на то что вообще	1	1
74	то это означало бы	1	1
75	если бы она не	1	1
76	мы имеем дело с	1	1
