N	2gram	Savitsky_E	Narrotol
1	не только	18	62
2	и не	14	50
3	при этом	1	47
4	но и	14	45
5	а не	2	38
6	в качестве	14	35
7	в частности	5	31
8	может быть	6	30
9	и в	37	30
10	в том	11	29
11	в этом	12	28
12	тогда как	1	28
13	том что	6	28
14	а в	2	27
15	представляет собой	3	25
16	только в	9	25
17	состоит в	1	25
18	в данном	3	24
19	как и	7	24
20	не в	5	23
21	то что	6	23
22	то есть	6	22
23	не может	9	20
24	в себе	9	17
25	данном случае	2	17
26	так и	10	17
27	а также	7	17
28	со стороны	5	16
29	в его	2	16
30	к тому	8	15
31	можно сказать	4	15
32	но в	14	15
33	иначе говоря	2	15
34	в жизни	1	14
35	и его	1	14
36	то же	15	13
37	в своей	8	13
38	уже не	1	13
39	о том	3	13
40	в своем	14	13
41	все же	1	12
42	сводится к	1	12
43	как в	3	12
44	как бы	6	12
45	прежде всего	9	12
46	по отношению	1	11
47	об этом	1	11
48	хотя и	2	11
49	в мире	2	11
50	если бы	2	11
51	и тем	3	11
52	в этой	2	11
53	в нем	1	11
54	жизни в	3	11
55	в отличие	1	11
56	отличие от	1	11
57	тем самым	5	11
58	один из	1	10
59	никогда не	3	10
60	тому же	1	10
61	точки зрения	23	10
62	всего лишь	3	10
63	между тем	8	10
64	как это	4	10
65	в то	16	10
66	и все	2	10
67	не является	3	10
68	жизни и	2	10
69	с его	1	10
70	того что	7	10
71	но не	5	10
72	в соответствии	1	9
73	той или	4	9
74	не сводится	1	9
75	столь же	5	9
76	отнюдь не	9	9
77	что в	21	9
78	с ним	1	9
79	истории в	1	9
80	потому что	3	9
81	для него	1	9
82	далеко не	2	9
83	в рамках	1	9
84	в той	5	8
85	и к	3	8
86	в самом	4	8
87	в таком	3	8
88	не менее	1	8
89	большей части	2	8
90	одна из	1	8
91	он не	2	8
92	того чтобы	6	8
93	внимание на	1	8
94	же время	14	8
95	соответствии с	1	8
96	и для	3	8
97	этом отношении	3	8
98	у нас	1	8
99	по большей	1	8
100	или иной	4	8
101	мира в	4	8
102	в принципе	1	7
103	имеет место	2	7
104	в котором	2	7
105	с другой	7	7
106	в ее	8	7
107	на себя	3	7
108	в силу	2	7
109	и на	6	7
110	же в	2	7
111	в свою	3	7
112	вслед за	6	7
113	или в	2	7
114	также и	7	7
115	в ней	4	7
116	одного из	1	7
117	все что	1	6
118	в результате	3	6
119	например в	1	6
120	сказать что	4	6
121	в нашем	1	6
122	то в	4	6
123	с одной	8	6
124	что и	3	6
125	в случае	2	6
126	известном смысле	3	6
127	во втором	2	6
128	в состав	1	6
129	таким образом	2	6
130	в известном	3	6
131	то и	1	6
132	в сознании	1	6
133	одной стороны	8	6
134	на то	6	6
135	вплоть до	1	6
136	в центре	1	5
137	человеческой жизни	1	5
138	дело с	1	5
139	в своих	2	5
140	и даже	6	5
141	и сам	1	5
142	именно в	4	5
143	а именно	2	5
144	мира и	3	5
145	и того	2	5
146	свою очередь	2	5
147	для того	6	5
148	в одном	2	5
149	он сам	2	5
150	точка зрения	2	5
151	из них	3	5
152	к нему	2	5
153	бы и	3	5
154	не было	1	5
155	между собой	2	5
156	его жизни	1	5
157	а для	1	5
158	и от	3	5
159	с ее	1	5
160	что это	2	5
161	если не	1	5
162	с ними	1	5
163	о котором	1	5
164	было бы	8	5
165	для нее	1	5
166	и то	2	5
167	мы не	4	5
168	являет собой	1	5
169	в какой	2	5
170	тем более	4	5
171	в начале	1	5
172	еще в	1	5
173	в пределах	25	5
174	и о	1	5
175	место в	3	5
176	как будто	2	5
177	даже в	4	4
178	не являются	1	4
179	по себе	4	4
180	в них	3	4
181	и с	2	4
182	когда в	1	4
183	хотя бы	15	4
184	но они	1	4
185	и когда	1	4
186	который в	1	4
187	войны и	2	4
188	представить себе	1	4
189	несмотря на	4	4
190	к жизни	1	4
191	в третьем	1	4
192	и притом	4	4
193	не о	1	4
194	тому что	1	4
195	не будет	3	4
196	по своей	2	4
197	и по	5	4
198	и ее	1	4
199	поскольку не	1	4
200	для себя	1	4
201	не на	4	4
202	оно не	1	4
203	вместе с	2	4
204	не имеет	4	4
205	в аспекте	1	4
206	в основе	1	4
207	в обоих	1	4
208	в сфере	3	4
209	мог бы	2	4
210	начиная с	2	4
211	но именно	2	4
212	всяком случае	3	4
213	исключительно в	2	4
214	зависит от	1	4
215	во всяком	3	4
216	для нас	4	4
217	а на	1	4
218	и как	2	4
219	ли не	1	4
220	по своему	7	4
221	в области	11	4
222	она не	2	4
223	эти два	1	4
224	быть и	1	4
225	как по	1	4
226	к ней	4	4
227	как мы	5	4
228	что на	2	4
229	не к	2	4
230	с этой	6	3
231	говорит о	3	3
232	в культуре	3	3
233	в этих	2	3
234	входит в	1	3
235	и иных	1	3
236	времени в	1	3
237	говорить о	1	3
238	не обязательно	1	3
239	так же	9	3
240	к ним	3	3
241	наряду с	2	3
242	ее и	1	3
243	по природе	1	3
244	она в	3	3
245	но еще	2	3
246	с точки	17	3
247	одно из	1	3
248	связи с	1	3
249	что не	1	3
250	в связи	1	3
251	между ними	2	3
252	же как	5	3
253	и это	1	3
254	могли бы	1	3
255	но как	2	3
256	человеческого бытия	1	3
