N	2gram	Tiupa_Anal	IolandNe
1	и с	1	3
2	что в	15	2
3	оба они	1	2
4	самого себя	1	2
5	он не	9	2
6	ничего не	3	2
7	и не	14	2
8	в этом	19	2
9	неудивительно что	1	1
10	говорить о	6	1
11	все эти	2	1
12	для того	1	1
13	а в	17	1
14	и о	1	1
15	как отец	1	1
16	это было	2	1
17	у всех	2	1
18	для него	8	1
19	вплоть до	5	1
20	с героем	2	1
21	при такой	1	1
22	тех же	2	1
23	тем что	3	1
24	такого знания	1	1
25	не случайно	13	1
26	а позднее	1	1
27	а если	1	1
28	того же	7	1
29	с а	1	1
30	не так	2	1
31	теперь я	1	1
32	и др	1	1
33	жизни и	2	1
34	пушкина и	3	1
35	с другой	10	1
36	в целом	8	1
37	более чем	2	1
38	было не	1	1
39	очевидно что	2	1
40	в эту	2	1
41	другой стороны	7	1
42	я не	3	1
43	себя в	6	1
44	с литературными	1	1
45	произведения и	2	1
46	могло бы	1	1
47	и еще	1	1
48	и смыслы	1	1
49	что при	2	1
50	если бы	2	1
51	у и	3	1
52	отношению к	9	1
53	в художественном	1	1
54	по существу	1	1
55	и сам	8	1
56	того что	4	1
57	них не	1	1
58	а с	2	1
59	по поводу	5	1
60	и тот	1	1
61	автор и	1	1
62	а также	5	1
63	так и	19	1
64	автора и	5	1
65	в основе	2	1
66	в значительной	3	1
67	о ней	1	1
68	от этого	1	1
69	того чтобы	1	1
70	и без	3	1
71	а для	3	1
72	другое дело	2	1
73	бы в	1	1
74	а по	1	1
75	и в	36	1
76	его личности	1	1
77	никогда не	7	1
78	все это	5	1
79	по отношению	9	1
80	как смерть	3	1
81	со всеми	2	1
82	как о	3	1
83	то она	1	1
84	в них	4	1
