N	3gram	Losev_Dial	Narrotol
1	в том что	12	18
2	в данном случае	3	17
3	не только в	1	13
4	в отличие от	1	11
5	к тому же	2	9
6	о том что	6	9
7	не может быть	12	8
8	тем не менее	10	8
9	той или иной	2	8
10	то же время	3	8
11	в то же	3	8
12	в этом отношении	2	8
13	мы имеем дело	1	6
14	можно сказать что	1	6
15	с одной стороны	3	6
16	для того чтобы	1	5
17	но при этом	1	5
18	на самом деле	1	5
19	подобно тому как	5	5
20	в конечном счете	1	4
21	к тому что	2	4
22	во всяком случае	3	4
23	в самом деле	6	3
24	и не может	1	3
25	друг на друга	1	3
26	до сих пор	1	3
27	иметь в виду	3	3
28	речь идет о	1	3
29	в зависимости от	3	3
30	точно так же	3	3
31	в связи с	3	3
32	то же самое	1	3
33	внимание на то	1	3
34	того или иного	3	3
35	на то что	3	3
36	по природе своей	1	3
37	с точки зрения	25	3
38	и то что	1	3
39	и не в	1	2
40	и в то	2	2
41	и т п	1	2
42	стало быть и	1	2
43	из этих двух	1	2
44	не в том	5	2
45	далеко не всегда	1	2
46	собственно говоря и	1	2
47	более или менее	1	2
48	и то же	2	2
49	в таком случае	11	2
50	что у него	1	2
51	сами по себе	3	2
52	а стало быть	1	2
53	в нем не	2	2
54	не только на	1	2
55	не только не	7	2
56	чем иным как	1	2
57	но еще и	1	2
58	оно и не	1	2
59	перед нами не	1	2
60	хотя и не	2	2
61	о них как	1	2
62	в том смысле	1	2
63	с той или	1	2
64	одно и то	2	2
65	так же как	2	2
66	личностного бытия в	1	2
67	только потому что	1	2
68	он и не	1	2
69	а все остальное	1	2
70	не зависит от	1	2
71	что иное как	6	2
72	как бы в	1	2
73	ни во что	1	1
74	о котором уже	1	1
75	восприятия а мы	1	1
76	одной стороны и	1	1
77	он может и	1	1
78	своей точки зрения	1	1
79	тем более не	2	1
80	стало быть в	2	1
81	и от его	2	1
82	и как бы	2	1
83	по себе а	2	1
84	не только потому	1	1
85	для себя и	1	1
86	о том как	2	1
87	том смысле что	1	1
88	и нет никакого	1	1
89	что в ней	1	1
90	никогда не будет	1	1
91	проявляет себя в	1	1
92	в этом смысле	1	1
93	по сравнению с	1	1
94	о чем говорить	2	1
95	ничего не говорит	5	1
96	то или иное	4	1
97	я уже не	1	1
98	со своей точки	1	1
99	не говорит об	1	1
100	хотя бы его	1	1
101	он не может	3	1
102	включают в себя	1	1
103	не отличается от	4	1
104	можно свести к	1	1
105	не слышим и	1	1
106	потому что в	1	1
107	друг от друга	1	1
108	но они не	2	1
109	мы это уже	1	1
110	не может существовать	2	1
111	а не просто	6	1
112	так или иначе	2	1
113	сам по себе	6	1
114	связи с этим	1	1
115	в ней не	1	1
116	того на что	1	1
117	никогда и не	1	1
118	одна за другой	1	1
119	не смог бы	1	1
120	прийти в себя	1	1
121	с этой стороны	1	1
122	таким образом что	1	1
123	само по себе	8	1
124	не о том	1	1
125	истории не имеет	1	1
126	в чем не	1	1
127	ничего не знает	2	1
128	том что в	1	1
129	если же в	1	1
130	быть не только	1	1
131	точки зрения в	2	1
132	и не мог	2	1
133	необходимо должно быть	1	1
134	место не только	1	1
135	что в основе	1	1
136	далеко еще не	1	1
137	и стало быть	6	1
138	то ни было	1	1
139	и вот как	1	1
140	не может не	3	1
141	и даже не	2	1
142	имеет место в	1	1
143	другого и в	1	1
144	а именно с	1	1
145	как раз и	3	1
146	это уже видели	1	1
147	не претендует на	1	1
148	что с точки	2	1
149	только то что	1	1
150	с другой стороны	3	1
151	той или другой	1	1
152	бы то ни	2	1
153	или другой стороны	1	1
154	из того что	2	1
155	а не только	2	1
156	в чем же	2	1
157	не мог бы	1	1
158	и не думал	1	1
159	может быть только	1	1
160	и т д	38	1
161	в нашем случае	1	1
162	одно из другого	1	1
163	уж во всяком	1	1
164	том как он	1	1
165	то что было	1	1
166	есть не что	3	1
167	не знания но	1	1
168	и тем не	2	1
169	потому что стало	1	1
170	признать что в	1	1
171	возможна только в	1	1
172	ни о каких	1	1
173	не понимают что	1	1
174	по крайней мере	10	1
175	в данный момент	2	1
176	как это было	1	1
177	как и любая	1	1
178	и не претендует	1	1
179	даже если это	1	1
180	этой точки зрения	4	1
181	той же самой	1	1
182	как и в	3	1
183	бытия и о	1	1
184	том что если	1	1
185	того и другого	1	1
186	и в чем	3	1
187	одной из них	1	1
188	она в самом	1	1
189	у нас есть	1	1
190	в то время	6	1
191	несмотря на свою	1	1
192	данном случае в	1	1
193	именно в этом	1	1
194	вовсе еще не	1	1
195	и не только	5	1
196	уже не на	1	1
197	как и на	1	1
198	я не могу	1	1
199	при этом я	1	1
200	не что иное	6	1
201	ни одна из	1	1
202	и та же	3	1
203	его жизни и	1	1
204	как и все	5	1
205	содержит в себе	2	1
206	и все его	1	1
207	жизни и смерти	1	1
208	слышим и не	1	1
209	мы всегда можем	1	1
210	то время как	6	1
211	во всей его	1	1
212	что каждый из	1	1
213	у меня в	1	1
214	при условии что	2	1
215	стало быть не	1	1
216	с самого начала	1	1
217	в себе не	2	1
218	мы не видим	2	1
219	и что в	1	1
220	же как и	1	1
221	не правда ли?	1	1
222	может и должен	1	1
223	ничего не объясняет	1	1
224	но и самого	1	1
225	одна и та	3	1
226	вовсе и не	1	1
227	одна из этих	1	1
228	с тем кто	1	1
229	воли и чувства	1	1
230	и в сердце	1	1
231	то что мы	3	1
232	в основе своей	1	1
233	что и в	1	1
234	в виду что	2	1
235	ни в чем	2	1
236	все что было	1	1
237	с этой точки	4	1
238	мы не можем	2	1
239	должен обратиться к	1	1
240	содержащий в себе	1	1
