N	3gram	Losev_Dial	RusskieA
1	в том что	12	49
2	и т д	28	21
3	тем не менее	3	14
4	вместе с тем	1	11
5	о том что	6	10
6	том что в	1	9
7	в том чтобы	1	9
8	для того чтобы	1	8
9	в данном случае	1	8
10	но это не	2	8
11	подобно тому как	1	8
12	т е в	3	7
13	как мы увидим	1	7
14	не может быть	4	6
15	в это время	1	6
16	так же как	1	6
17	это показывает что	1	5
18	в связи с	3	5
19	к тому что	3	5
20	не что иное	4	4
21	бросается в глаза	1	4
22	только тогда когда	4	4
23	в этих случаях	1	4
24	что иное как	4	4
25	в то время	2	4
26	можно было бы	4	4
27	во всяком случае	3	4
28	более или менее	5	3
29	до сих пор	4	3
30	же как и	1	3
31	самом же деле	2	3
32	на самом же	2	3
33	и в том	1	3
34	на то что	4	3
35	с точки зрения	18	3
36	к выводу что	2	3
37	все же не	1	3
38	может быть и	6	3
39	друг к другу	2	3
40	это не значит	3	2
41	мы уже знаем	4	2
42	ничего общего не	1	2
43	и т п	3	2
44	дело не в	1	2
45	об этом не	1	2
46	не значит что	6	2
47	может быть только	2	2
48	друг с другом	2	2
49	ничего общего с	3	2
50	и с ней	1	2
51	потому что он	5	2
52	так как это	2	2
53	также что в	1	2
54	так как они	1	2
55	но все же	2	2
56	с другой стороны	7	2
57	но так как	1	2
58	во многих отношениях	1	2
59	т д и	3	2
60	равно как и	1	2
61	одна из основных	1	2
62	но она не	1	2
63	ту или иную	1	2
64	а именно в	1	2
65	можно сказать что	6	2
66	в этом и	1	2
67	вопрос о том	1	2
68	во всем этом	1	2
69	на самом деле	3	2
70	иметь в виду	4	2
71	это еще не	1	2
72	не только в	2	2
73	во всех этих	1	2
74	и в этом	4	2
75	в виду что	2	2
76	в таком виде	1	2
77	привело к тому	1	2
78	с одной стороны	3	2
79	в этом отношении	2	2
80	мы имеем не	1	2
81	имеет ничего общего	3	1
82	и как бы	1	1
83	как будто бы	3	1
84	нечто совсем другое	1	1
85	как они не	1	1
86	как и вообще	1	1
87	ним не имеет	1	1
88	это та же	1	1
89	того или другого	1	1
90	смерти и воскресения	1	1
91	взгляд на них	1	1
92	этой теории может	1	1
93	то зовут к	1	1
94	его отношении к	1	1
95	далеко не всегда	1	1
96	потому что она	3	1
97	только потому что	4	1
98	в другое время	1	1
99	в таком случае	2	1
100	есть и такие	1	1
101	смысл и назначение	1	1
102	на этом основании	1	1
103	сам по себе	8	1
104	и то и	3	1
105	как например в	1	1
106	а между тем	1	1
107	того что в	1	1
108	даже если бы	1	1
109	можно говорить что	1	1
110	она не может	1	1
111	на всю жизнь	1	1
112	это не вызывает	1	1
113	точно так же	3	1
114	и от этого	3	1
115	во всю прыть	1	1
116	как таковых а	1	1
117	можно говорить о	1	1
118	таким образом есть	1	1
119	не имеет смысла	1	1
120	к тому же	2	1
121	что в основе	1	1
122	и во многих	1	1
123	и в мифе	1	1
124	не имеет ничего	3	1
125	связанные с этим	1	1
126	в них нет	2	1
127	не может не	1	1
128	из которого она	1	1
129	то же самое	3	1
130	сама по себе	12	1
131	несмотря ни на	1	1
132	несмотря на все	1	1
133	и об этом	1	1
134	имея в виду	1	1
135	из других источников	1	1
136	в своем значении	1	1
137	в египетской религии	1	1
138	на сцену а	1	1
139	т е не	1	1
140	те и другие	1	1
141	к нему а	1	1
142	мы еще увидим	1	1
143	так как он	2	1
144	и может быть	3	1
145	но и в	1	1
146	все то же	1	1
147	целый год и	1	1
148	со всеми его	1	1
149	т д в	1	1
150	т д с	1	1
151	в поле с	1	1
152	что не только	1	1
153	не потому что	5	1
154	на ту или	1	1
155	как один из	2	1
156	перед нами как	1	1
157	сказать что в	1	1
158	только в том	1	1
159	тем и другим	1	1
160	не прибавляют к	1	1
161	сливаются в одно	1	1
162	об этом мы	1	1
163	но все это	2	1
164	это не имеет	1	1
165	из того что	1	1
166	хотя и не	1	1
167	дело в том	1	1
168	и до сих	1	1
169	не было ни	1	1
170	не отличаются от	1	1
171	и та же	5	1
172	там где есть	1	1
173	отделима от него	1	1
174	приводит к тому	1	1
175	как и все	1	1
176	же с точки	1	1
177	это и не	2	1
178	в которых нет	1	1
179	с ней и	1	1
180	в первую очередь	1	1
181	что в нем	4	1
182	так и из	1	1
183	отличается тем что	1	1
184	так что в	1	1
185	в новое время	1	1
186	так что уже	2	1
187	одна и та	5	1
188	на первый взгляд	2	1
189	на землю на	1	1
190	потому что они	2	1
191	и не только	4	1
192	в себе и	1	1
193	это и есть	3	1
194	и показывает что	1	1
195	то время как	2	1
196	что и в	1	1
197	но от этого	1	1
