N	3gram	Bakhtin_Pr	Problema
1	тем не менее	2	56
2	о том что	3	39
3	в том что	6	37
4	то же самое	1	30
5	в связи с	1	29
6	в данном случае	1	28
7	той или иной	2	26
8	по крайней мере	2	26
9	во всяком случае	1	25
10	с другой стороны	3	25
11	с точки зрения	13	25
12	в таком случае	1	23
13	в конце концов	1	23
14	сама по себе	2	21
15	и то что	1	20
16	на то что	2	19
17	в этом смысле	5	19
18	как раз и	1	18
19	то есть в	5	17
20	в то же	8	17
21	то что мы	1	15
22	до сих пор	8	14
23	не что иное	1	14
24	что иное как	1	14
25	в этом случае	1	14
26	сами по себе	1	13
27	можно было бы	2	13
28	не может быть	8	12
29	так или иначе	1	12
30	и в этом	1	12
31	можно сказать что	6	12
32	дело в том	3	11
33	здесь перед нами	2	11
34	тех или иных	2	11
35	есть не что	1	11
36	в той или	1	10
37	и тем самым	1	10
38	даже и не	3	10
39	более или менее	3	10
40	вовсе не является	1	10
41	не только в	1	10
42	может быть и	2	9
43	самом же деле	2	8
44	на самом же	2	8
45	может быть только	1	8
46	это вовсе не	1	8
47	мы не будем	2	8
48	а может быть	1	7
49	но в таком	1	7
50	к тому же	1	7
51	чем иным как	1	7
52	но и в	2	7
53	может быть даже	2	7
54	и если мы	1	7
55	с самого начала	4	7
56	не чем иным	1	7
57	мы находим в	3	7
58	хотя и не	3	7
59	и тем более	1	6
60	и то же	1	6
61	так и в	2	6
62	и в других	1	6
63	есть прежде всего	1	6
64	здесь не в	1	6
65	в этом отношении	1	6
66	самостоятельное значение и	1	5
67	в собственном смысле	3	5
68	хотя бы и	2	5
69	вовсе еще не	1	5
70	а также и	3	5
71	имеем в виду	3	5
72	так же как	1	5
73	в том числе	15	5
74	до некоторой степени	1	5
75	в зависимости от	3	5
76	и прежде всего	5	5
77	а вовсе не	1	5
78	быть даже и	1	5
79	одно и то	1	5
80	смысле слова и	1	5
81	потому что они	1	5
82	дело не в	1	4
83	друг от друга	2	4
84	как мы уже	5	4
85	том числе и	13	4
86	и вместе с	1	4
87	они вовсе не	1	4
88	мы имеем дело	1	4
89	и тем же	1	4
90	все же не	1	4
91	он не есть	1	4
92	у того же	1	4
93	слова то есть	2	4
94	также и в	1	4
95	мы находим и	1	4
96	это было бы	1	4
97	всегда есть нечто	1	4
98	собственном смысле слова	1	4
99	на первом плане	1	4
100	именно потому что	1	4
101	в этих случаях	1	4
102	равно как и	1	4
103	и с точки	1	4
104	одним и тем	1	4
105	можно даже сказать	1	4
106	в новое время	4	4
107	друг к другу	1	4
108	чем перейти к	1	3
109	то что он	1	3
110	в вечном муже	1	3
111	все еще не	1	3
112	потому что она	1	3
113	прежде чем перейти	1	3
114	в отличие от	1	3
115	не менее он	1	3
116	людей и их	1	3
117	во всем мире	2	3
118	к тому что	1	3
119	не то что	3	3
120	здесь вовсе не	1	3
121	в чем же	1	3
122	как и в	4	3
123	перед нами здесь	1	3
124	к самому предмету	1	3
125	не может обойтись	1	3
126	жизни и в	1	3
127	ровно ничего не	2	3
128	прежде всего как	1	3
129	по сравнению с	6	3
130	жизнь в ее	1	3
131	хотя и в	2	3
132	как мы сказали	4	3
133	и в то	3	3
134	и никогда не	1	3
135	как нам кажется	1	3
136	этом смысле и	1	3
137	и может быть	1	3
138	то есть с	2	3
139	но в то	3	3
140	самое же главное	1	3
141	мы не знаем	1	3
142	и все они	1	3
143	далеко не всегда	1	3
144	после того как	1	3
145	со всеми своими	1	2
146	так и для	1	2
147	что все указанные	1	2
148	по отношению к	5	2
149	в этих произведениях	2	2
150	как и его	1	2
151	не совпадает с	1	2
152	и во многих	2	2
153	образом как и	1	2
154	сказать что в	1	2
155	художественного образа в	1	2
156	но только в	2	2
157	в эпоху эллинизма	1	2
158	и во всем	1	2
159	может обойтись без	1	2
160	ничего общего не	1	2
161	в целом и	1	2
162	всего того что	1	2
163	все же есть	1	2
164	мы можем говорить	2	2
165	но как раз	1	2
166	то есть если	2	2
167	то есть на	1	2
168	в сознании и	1	2
169	и до наших	2	2
170	говорить только о	1	2
171	в братьях карамазовых	4	2
172	за что и	1	2
173	и без всякого	1	2
174	именно тем что	1	2
175	один и тот	1	2
176	с самим собою	6	2
177	того и другого	2	2
178	и на земле	1	2
179	во всех случаях	1	2
180	же самое мы	1	2
181	и все другие	1	2
182	в нем только	2	2
183	выходит за пределы	1	2
184	является одним из	2	2
185	но и этого	1	2
186	нам кажется что	3	2
187	не могли бы	1	2
188	что он не	1	2
189	с другими людьми	1	2
190	как и во	1	2
191	и тот же	1	2
192	и художественного образа	1	2
193	мы имеем в	3	2
194	в каждом из	3	2
195	точки зрения логики	1	2
196	же деле это	1	2
197	в известной мере	3	2
198	перед нами в	1	2
199	говорит о себе	1	2
200	между собою и	1	2
201	все более и	1	2
202	то перед нами	4	2
203	то есть это	1	2
204	не будем здесь	1	2
205	не было и	1	2
206	то есть указывает	1	2
207	а не в	1	2
208	так как он	1	2
209	или хотя бы	1	2
210	и не может	6	2
211	в какой-то мере	5	2
212	никогда не может	2	2
