N	4gram	Savitsky_E	Problema
1	в то время как	1	12
2	в той или иной	3	10
3	дело в том что	1	10
4	не говоря уже о	1	7
5	заключается в том что	2	6
6	бы то ни было	4	6
7	в том смысле что	1	5
8	и с точки зрения	1	4
9	в том числе и	1	4
10	в связи с этим	1	4
11	так же как и	3	4
12	в тех случаях когда	1	3
13	и в то же	8	3
14	одного и того же	1	3
15	несмотря на то что	1	3
16	с этой точки зрения	5	3
17	с одной стороны и	6	3
18	но в то же	2	3
19	в ту или иную	1	2
20	каких бы то ни	2	2
21	если оставить в стороне	1	2
22	один и тот же	1	2
23	только в том случае	1	2
24	и то и другое	1	2
25	не говоря уже об	1	2
26	к тому или иному	1	2
27	не только в том	1	2
28	не кто иной как	1	2
29	само по себе не	2	1
30	имеет для нас значение	1	1
31	вовсе не обязательно чтобы	1	1
32	то как нам кажется	1	1
33	о котором мы говорили	1	1
34	и даже вовсе не	1	1
35	в то же время	14	1
36	поскольку речь идет о	1	1
37	именно к тому что	1	1
38	котором мы говорили в	1	1
39	подобно этому и в	1	1
40	нужно помнить что в	1	1
41	в последнее время в	1	1
42	мы формулировали в предыдущем	1	1
43	и не только в	1	1
44	в том случае если	1	1
45	на то что в	1	1
46	и во многих других	1	1
47	на то или иное	1	1
48	и человеческой жизни вообще	1	1
49	ли здесь говорить о	1	1
50	во всех этих случаях	1	1
51	и в этом смысле	2	1
52	их можно было бы	1	1
