N	3gram	Propp_Morf	Analitik
1	в том что	4	25
2	не может быть	9	19
3	по отношению к	7	18
4	в то же	1	16
5	о том что	3	15
6	в данном случае	2	14
7	то же время	1	14
8	той или иной	1	14
9	с другой стороны	5	9
10	в свою очередь	1	9
11	подобно тому как	5	9
12	с одной стороны	2	9
13	состоит в том	3	8
14	с точки зрения	6	8
15	как и в	3	8
16	в этом отношении	2	8
17	в таком случае	1	7
18	во всяком случае	2	7
19	что иное как	2	7
20	тем не менее	6	6
21	не что иное	2	6
22	есть не что	1	5
23	в этом случае	10	5
24	до известной степени	1	4
25	в том или	1	4
26	для того чтобы	3	4
27	тех или иных	1	4
28	том что он	1	4
29	и тот же	1	3
30	дело не в	2	3
31	далеко не всегда	1	3
32	бы то ни	3	3
33	в первом случае	3	3
34	то ни было	2	3
35	в связи с	9	3
36	можно сказать что	1	3
37	в противном случае	1	3
38	не могут быть	4	3
39	между тем в	1	3
40	в применении к	1	2
41	в коем случае	1	2
42	с этой точки	1	2
43	в отдельных случаях	3	2
44	более или менее	2	2
45	можно было бы	2	2
46	во втором случае	1	2
47	друг с другом	1	2
48	до сих пор	1	2
49	в обоих случаях	2	2
50	ни в коем	1	2
51	и то же	1	2
52	это означает что	1	2
53	к тому что	4	2
54	в тех случаях	2	2
55	коем случае не	1	2
56	во многих отношениях	1	2
57	в этих случаях	14	2
58	на то что	3	2
59	а в качестве	1	2
60	в частности как	1	2
61	один и тот	1	2
62	здесь как и	1	2
63	этой точки зрения	1	2
64	в таких случаях	2	2
65	здесь мы имеем	1	2
66	но и его	1	2
67	на этот вопрос	1	2
68	одно и то	1	2
69	тех случаях когда	2	2
70	на первый взгляд	3	2
71	что же касается	1	2
72	что несмотря на	1	2
73	с этого момента	2	2
74	но то что	1	1
75	после чего следует	2	1
76	и даже не	1	1
77	о том как	2	1
78	мы видим что	11	1
79	во всех этих	1	1
80	герой волшебной сказки	1	1
81	то что не	1	1
82	может быть отнесен	4	1
83	самом деле в	1	1
84	но если бы	1	1
85	в е годы	1	1
86	отдельных случаях может	1	1
87	но они не	1	1
88	вступает в брак	1	1
89	на первом месте	1	1
90	в том случае	3	1
91	и в качестве	1	1
92	он ничего не	1	1
93	что они хотят	1	1
94	между собой и	1	1
95	является одновременно и	1	1
96	и таким образом	2	1
97	во всей своей	1	1
98	есть на самом	1	1
99	из них не	1	1
100	мы видим как	1	1
101	и не требует	1	1
102	в ходе повествования	1	1
103	с тех пор	1	1
104	это все же	1	1
105	тех пор как	1	1
106	один из наиболее	1	1
107	или во всяком	1	1
108	в третий раз	1	1
109	может быть определено	1	1
110	и в этой	1	1
111	если в первом	1	1
112	героя к месту	1	1
113	волшебная сказка в	1	1
114	собственном смысле слова	3	1
115	том случае если	2	1
116	и не всегда	1	1
117	текст состоит из	1	1
118	к чему не	2	1
119	видим что в	1	1
120	в большинстве случаев	3	1
121	под углом зрения	2	1
122	и может быть	1	1
123	точки зрения исторической	1	1
124	а затем уже	1	1
125	это уже не	1	1
126	живой язык есть	1	1
127	отправляется на поиски	1	1
128	было бы сказать	1	1
129	во всех подобных	1	1
130	точно так же	2	1
131	как один из	1	1
132	а в русской	1	1
133	но как бы	1	1
134	только в том	1	1
135	получает в дар	2	1
136	в то время	3	1
137	уже не может	1	1
138	он может быть	2	1
139	вопрос о том	2	1
140	то что они	1	1
141	но никто не	2	1
142	хотя и не	2	1
143	с первых же	1	1
144	приводит к тому	1	1
145	на самом деле	4	1
146	к тому или	1	1
147	всех подобных случаях	1	1
148	если например в	1	1
149	ни одна из	1	1
150	далеко не все	3	1
151	всех этих случаях	1	1
152	как будто не	2	1
153	и как будто	1	1
154	не ощущается как	1	1
155	или выражаясь точнее	1	1
156	в подобных случаях	1	1
157	мы имеем в	2	1
158	которые могут быть	1	1
159	это не всегда	1	1
160	к этому же	1	1
161	в собственном смысле	3	1
162	как мы увидим	5	1
163	могут быть зафиксированы	1	1
164	она может быть	1	1
165	а вовсе не	2	1
166	ни к чему	2	1
167	см ниже в	1	1
168	одна из них	1	1
169	как бы в	1	1
170	во второй раз	2	1
171	между прочим и	1	1
172	оно может быть	2	1
173	что и в	1	1
174	после того как	1	1
175	а н веселовский	1	1
