N	3gram	Vygotskiy_	Otkroven
1	о человеке и	2	5
2	для того чтобы	17	3
3	человеческой природы но	1	2
4	до самого конца	1	2
5	с тем что	3	2
6	и в самой	1	2
7	он не занят	1	2
8	как и все	1	2
9	не может быть	3	2
10	и никогда не	2	2
11	это было бы	2	2
12	и в этом	6	2
13	что у него	2	2
14	сам по себе	2	1
15	он должен был	1	1
16	о том что	8	1
17	в том что	20	1
18	не так как	1	1
19	в обычном смысле	1	1
20	не в том	2	1
21	друг с другом	2	1
22	но он еще	1	1
23	человек и в	2	1
24	в том случае	4	1
25	жизни а не	1	1
26	жизнь а в	1	1
27	все та же	1	1
28	он никогда не	1	1
29	что она должна	2	1
30	и то что	3	1
31	и он всегда	1	1
32	претворить его в	1	1
33	к гибели и	1	1
34	в виду не	1	1
35	как и в	1	1
36	и в ее	1	1
37	в зачаточном виде	1	1
38	то что в	5	1
39	и все же	1	1
40	в самом деле	29	1
41	том случае если	4	1
42	а вовсе не	2	1
43	как будто бы	1	1
44	как и других	1	1
45	указывали на то	1	1
46	смысле этого слова	5	1
47	во всяком случае	6	1
48	не иное что	1	1
49	и в самом	15	1
50	бросается в глаза	2	1
51	это не есть	1	1
52	как бы в	1	1
53	вместо того чтобы	3	1
54	она и не	1	1
55	о том как	3	1
56	в этом отношении	1	1
57	между этими двумя	1	1
58	все это было	1	1
59	по сравнению с	1	1
60	потому что в	2	1
61	а не только	1	1
62	на то что	16	1
63	должен был бы	2	1
64	от того что	1	1
65	заключает в себе	1	1
66	том что в	1	1
67	и в том	1	1
68	рассказ ведется от	1	1
69	может быть он	1	1
70	иное что как	1	1
71	и не может	1	1
