N	2gram	Tiupa_Anal	TeoriaLi
1	в качестве	22	33
2	в мире	17	26
3	не только	40	24
4	и в	36	24
5	в частности	19	23
6	то есть	15	22
7	состоит в	14	22
8	может быть	19	22
9	при этом	19	20
10	в том	16	20
11	в тексте	16	19
12	тогда как	37	18
13	я в	15	18
14	и не	14	17
15	а в	17	15
16	но и	26	14
17	а не	16	14
18	так и	19	14
19	в себе	7	14
20	представляет собой	7	13
21	в рамках	10	13
22	такого рода	11	13
23	но не	13	13
24	в этом	19	12
25	сводится к	5	12
26	произведение искусства	4	12
27	но в	8	12
28	в его	12	12
29	эстетического отношения	6	12
30	то же	7	12
31	своего рода	17	11
32	художественного текста	3	11
33	литературного произведения	8	11
34	том что	19	11
35	точки зрения	3	11
36	внутреннего зрения	4	11
37	и его	18	11
38	что в	15	10
39	эстетическое отношение	1	10
40	по отношению	9	10
41	объектной организации	4	10
42	как это	7	10
43	лишь в	9	10
44	отношению к	9	10
45	коммуникативного события	14	10
46	только в	9	9
47	в данном	12	9
48	с другой	10	9
49	художественной культуры	1	9
50	субъектной организации	3	9
51	не сводится	1	9
52	в искусстве	3	9
53	не в	9	9
54	в то	8	9
55	в миропорядке	10	8
56	в своей	12	8
57	же время	7	8
58	как бы	14	8
59	присутствия в	5	8
60	эмоциональной рефлексии	1	8
61	всего лишь	13	8
62	по своей	5	8
63	не может	3	8
64	в самом	7	7
65	в принципе	3	7
66	не столько	4	7
67	на смену	5	7
68	или иной	9	7
69	и т.п	7	7
70	в отличие	5	7
71	в своем	7	7
72	кадров внутреннего	3	7
73	себя в	6	7
74	художественного письма	1	7
75	присутствия я	5	7
76	мы имеем	5	7
77	а также	5	7
78	художественной реальности	17	7
79	отличие от	5	7
80	парадигмы художественности	1	7
81	во второй	8	7
82	отношение к	2	7
83	однако в	6	7
84	место в	4	7
85	в нем	3	7
86	другой стороны	7	6
87	в состав	2	6
88	эстетическая деятельность	1	6
89	организации художественного	2	6
90	конечном счете	5	6
91	как и	27	6
92	не менее	9	6
93	приводит к	5	6
94	еще не	7	6
95	в основе	2	6
96	то что	5	6
97	со стороны	12	6
98	художественного впечатления	9	6
99	уже не	9	6
100	с его	15	6
101	модуса художественности	5	6
102	внутреннего я	2	6
103	в ее	5	6
104	картина мира	5	6
105	с другими	1	6
106	в конечном	5	6
107	или иначе	5	6
108	между ними	3	6
109	героя и	7	6
110	модус художественности	7	6
111	в русской	9	6
112	того или	6	6
113	тем самым	8	6
114	в первой	10	6
115	или иного	5	6
116	кто говорит	3	5
117	в виду	1	5
118	мыслится как	2	5
119	так или	5	5
120	и одновременно	6	5
121	не предполагает	2	5
122	как в	9	5
123	в художественном	1	5
124	роли в	6	5
125	а а	5	5
126	воспринимающего сознания	3	5
127	можно сказать	5	5
128	не является	5	5
129	того чтобы	1	5
130	для того	1	5
131	литературных произведений	3	5
132	я с	7	5
133	жизни как	4	5
134	как правило	6	5
135	за пределами	2	5
136	художественности в	8	5
137	иначе говоря	5	5
138	на почве	3	5
139	как к	2	5
140	по преимуществу	3	5
141	данном случае	11	5
142	для него	8	5
143	композиционных форм	2	5
144	а и	4	5
145	того что	4	5
146	я есть	3	5
147	лирическая героиня	5	5
148	в себя	6	5
149	между тем	8	5
150	он не	9	5
151	и тем	3	5
152	высказывания в	1	5
153	в пределах	5	5
154	по сути	2	5
155	и о	1	5
156	в ходе	3	5
157	могут быть	4	5
158	художественного произведения	1	5
159	не случайно	13	5
160	порядка в	1	4
161	без исключения	3	4
162	хх века	1	4
163	в отношении	2	4
164	уединенного сознания	1	4
165	не на	1	4
166	по пути	4	4
167	не следует	5	4
168	и сам	8	4
169	в этих	2	4
