N	2gram	Tiupa_Narr	StatiiOP
1	и в	22	103
2	в том	20	89
3	том что	15	77
4	в этом	23	76
5	что в	6	74
6	не только	50	60
7	и т	3	51
8	о том	5	47
9	но и	39	46
10	то что	14	44
11	что он	7	42
12	в его	12	42
13	и не	34	41
14	может быть	24	38
15	было бы	2	32
16	т д	1	32
17	в этой	8	31
18	вовсе не	2	31
19	тем что	1	29
20	все это	1	29
21	таким образом	5	28
22	а в	19	27
23	а не	27	27
24	но в	10	26
25	что это	4	25
26	так и	12	25
27	пушкина как	1	24
28	этом отношении	5	24
29	и его	12	24
30	все же	10	23
31	точки зрения	8	23
32	не в	12	23
33	так что	1	23
34	потому что	7	23
35	для того	4	22
36	в которой	2	22
37	как в	9	22
38	того что	7	22
39	прежде всего	7	22
40	у нас	4	22
41	в области	4	22
42	того чтобы	7	21
43	до сих	3	20
44	это не	6	20
45	в своей	8	19
46	сих пор	3	19
47	т п	2	19
48	в то	9	19
49	только в	23	19
50	в котором	3	18
51	с другой	6	18
52	он не	8	18
53	но также	1	18
54	об этом	8	18
55	не может	16	18
56	в самом	8	17
57	в году	2	17
58	как на	2	17
59	в русской	3	17
60	самом деле	4	17
61	как бы	11	17
62	в данном	17	17
63	в этих	3	16
64	с этим	1	16
65	сказать что	5	16
66	можно было	2	16
67	если бы	9	16
68	в ней	5	16
69	другой стороны	2	15
70	с тем	1	15
71	как и	15	15
72	по поводу	3	15
73	из этих	6	15
74	у него	13	15
75	я не	5	15
76	и на	5	15
77	например в	2	15
78	в отношении	1	15
79	как раз	9	15
80	для него	8	15
81	также и	4	15
82	то же	12	14
83	но все	1	14
84	так например	1	14
85	к тому	13	14
86	с точки	2	14
87	между тем	5	14
88	и что	1	14
89	была бы	1	14
90	в течение	1	14
91	в той	4	13
92	именно в	5	13
93	во всяком	2	13
94	в своем	7	13
95	из них	4	13
96	в качестве	27	13
97	а с	2	13
98	в конце	4	13
99	в нем	9	13
100	вместе с	3	13
101	со стороны	14	13
102	всяком случае	2	13
103	но это	2	13
104	дело в	2	13
105	что касается	3	13
106	жизни и	7	13
107	тому что	4	13
108	в своих	2	12
109	не менее	6	12
110	хотя бы	4	12
111	что у	6	12
112	в первой	3	12
113	ни в	1	12
114	так как	1	12
115	у карамзина	3	12
116	что они	1	12
117	в тексте	17	12
118	в другом	5	11
119	никогда не	8	11
120	не было	3	11
121	ясно что	2	11
122	и с	3	11
123	и по	3	11
124	своего рода	17	11
125	из его	1	11
126	у шекспира	1	11
127	того как	1	11
128	вопрос о	1	11
129	все эти	3	11
130	это было	3	11
131	на то	4	11
132	не столько	2	10
133	в виду	2	10
134	связь с	1	10
135	речь идет	3	10
136	так же	2	10
137	в целом	5	10
138	что и	3	10
139	xix века	1	10
140	но он	2	10
141	во всех	2	10
142	а как	2	10
143	в каком	1	10
144	же время	7	10
145	ничего не	8	10
146	ответ на	6	10
147	на самом	1	10
148	по словам	2	10
149	но не	7	10
150	во второй	2	10
151	в частности	23	10
152	в начале	4	10
153	и к	7	9
154	с этой	3	9
155	говорит о	3	9
156	можно сказать	11	9
157	он был	1	9
158	в одном	5	9
159	внимание на	7	9
160	несмотря на	1	9
161	его жизни	5	9
162	в чем	3	9
163	ср в	1	9
164	и тем	9	9
165	что эта	1	9
166	во время	2	9
167	не является	7	9
168	такого рода	17	9
169	времени и	9	9
170	и для	4	9
171	для нас	2	9
172	что мы	2	9
173	там где	1	9
174	место в	3	9
175	но ведь	1	8
176	в результате	4	8
177	и даже	4	8
178	в речи	5	8
179	связано с	2	8
180	по его	3	8
181	еще более	1	8
182	к которому	1	8
183	что она	3	8
184	к этому	2	8
185	связи с	3	8
186	одним из	2	8
187	действующих лиц	8	8
188	могут быть	1	8
189	в общем	1	8
190	должен был	1	8
191	евгения онегина	1	8
192	в которых	1	8
193	не имеет	3	8
194	тем не	7	8
195	совершенно не	1	8
196	и более	2	8
197	мы имеем	6	8
198	той же	2	8
199	до конца	2	8
200	подчеркнуть что	2	8
201	в их	1	8
202	а также	11	8
203	в какой	2	8
204	дело не	3	8
205	по мнению	2	8
206	отношение к	2	8
207	и о	4	8
208	с которыми	1	7
209	о чем	6	7
210	по себе	4	7
211	отличается от	1	7
212	и сейчас	1	7
213	не мог	7	7
214	точка зрения	5	7
215	не просто	2	7
216	того же	2	7
217	гораздо более	1	7
218	в ее	4	7
219	что все	1	7
220	как это	7	7
221	что для	1	7
222	во втором	6	7
223	то в	4	7
224	и то	3	7
225	xix в	2	7
226	нет никакого	1	7
227	то время	1	7
228	можно назвать	2	7
229	карамзина в	1	7
230	том как	3	7
231	еще не	6	7
232	еще и	1	7
233	другое дело	1	7
234	одной из	2	7
235	на этот	2	7
236	нас нет	2	7
237	данном случае	12	7
238	уже в	1	7
239	в виде	2	7
240	но с	1	7
241	материал для	1	7
242	что этот	1	7
243	говорит об	1	7
244	тем более	2	7
245	не все	2	7
246	русского языка	1	7
247	лишь в	3	7
248	отношению к	5	7
249	вплоть до	5	7
250	что за	1	6
251	одно из	2	6
252	и сам	4	6
253	в жизни	9	6
254	по отношению	5	6
255	он писал	1	6
256	даже в	1	6
257	ни одного	2	6
258	крайней мере	1	6
259	к нему	5	6
260	только не	2	6
261	в повестях	1	6
262	отношения между	1	6
263	время как	1	6
264	же как	2	6
265	этом смысле	1	6
266	этот вопрос	1	6
267	его как	2	6
268	в себе	14	6
269	и языка	1	6
270	в особенности	2	6
271	и здесь	3	6
272	из которых	1	6
273	и все	7	6
274	том смысле	1	6
275	в известном	4	6
276	по крайней	1	6
277	языка и	1	6
278	идет о	3	6
279	тем же	3	6
280	что я	4	6
281	с его	6	6
282	что с	2	6
283	мы не	5	6
284	и я	1	6
285	в новом	1	6
286	должен быть	1	6
287	действующие лица	1	6
288	и вообще	1	6
289	этих двух	2	6
290	его не	1	6
291	в литературном	2	6
292	что на	4	6
293	которая была	1	5
294	при этом	31	5
295	как говорит	1	5
296	не как	1	5
297	по пути	1	5
298	целый ряд	1	5
299	давно уже	2	5
300	на эту	1	5
301	уже не	11	5
302	одной стороны	5	5
303	во многих	1	5
304	но они	4	5
305	можно ли	1	5
306	что именно	2	5
307	на протяжении	12	5
308	с одной	5	5
309	хотя и	8	5
310	его в	1	5
311	не была	1	5
312	не о	2	5
313	на себя	5	5
314	что не	2	5
315	даже не	1	5
316	в двух	2	5
317	в сторону	1	5
318	в уста	1	5
319	если не	4	5
320	если б	1	5
321	не приходится	1	5
322	в тех	1	5
323	в москве	2	5
324	она была	2	5
325	столь же	6	5
326	или иного	3	5
327	один из	8	5
328	по форме	1	5
329	должна быть	2	5
330	для себя	3	5
331	о которой	3	5
332	поэтому в	1	5
333	не на	1	5
334	оно не	4	5
335	в слове	4	5
336	никто не	1	5
337	оба эти	1	5
338	не могло	3	5
339	отношении к	1	5
340	в творчестве	1	5
341	не совсем	1	5
342	из истории	1	5
343	ее в	1	5
344	в мировой	1	5
345	точку зрения	3	5
346	текста в	4	5
347	в свое	1	5
348	это был	1	5
349	это и	2	5
350	в прозе	4	5
351	раз в	4	5
352	в сущности	2	5
353	на нее	2	5
354	а то	2	5
355	нас к	1	5
356	является не	1	5
357	ср у	1	5
358	во многом	1	5
359	и потому	2	5
360	того или	3	5
361	и только	2	5
362	не по	5	5
363	как он	3	5
364	к ней	3	5
365	одного из	6	5
366	как будто	4	5
367	что было	1	4
368	все что	4	4
369	в центре	4	4
370	только что	4	4
371	которые не	1	4
372	не являются	2	4
373	и без	1	4
374	в первом	4	4
375	из двух	1	4
376	а именно	2	4
377	что ни	1	4
378	казалось бы	2	4
379	обращает на	3	4
380	было не	1	4
381	не существует	3	4
382	не могли	1	4
383	не всегда	4	4
384	на него	4	4
385	который в	2	4
386	или иным	2	4
387	и он	8	4
388	которой является	1	4
389	достаточно для	1	4
390	как можно	2	4
391	тому же	9	4
392	всё это	1	4
393	будто бы	2	4
394	очевидно что	1	4
395	в таком	4	4
396	в связи	3	4
397	одна из	5	4
398	на этом	1	4
399	не могут	1	4
400	и у	4	4
401	могло бы	3	4
402	пребывания в	4	4
403	но как	3	4
404	для его	1	4
405	только с	2	4
406	в развитии	1	4
407	и тот	1	4
408	иметь в	1	4
409	у которого	1	4
410	с которым	1	4
411	его времени	1	4
412	за пределы	1	4
413	на рубеже	2	4
414	эту тему	1	4
415	а потому	2	4
416	я уже	2	4
417	в последнем	1	4
418	то есть	15	4
419	если в	2	4
420	в форме	7	4
421	так или	1	4
422	сами по	2	4
423	они не	3	4
424	в романе	3	4
425	обращается к	3	4
426	в процессе	2	4
427	как о	2	4
428	это время	1	4
429	и так	1	4
430	от его	2	4
431	да и	5	4
432	по своей	3	4
433	именно поэтому	1	4
434	здесь нет	1	4
435	все они	1	4
436	в основе	1	4
437	ни у	1	4
438	более чем	2	4
439	в значительной	1	4
440	как известно	3	4
441	относится к	1	4
442	быть не	3	4
443	и тогда	2	4
444	в обоих	4	4
445	не знает	2	4
446	им в	1	4
447	состоит в	19	4
448	литературном отношении	1	4
449	не для	1	4
450	начиная с	3	4
451	в образе	1	4
452	с нею	2	4
453	значительной степени	1	4
454	этого термина	1	4
455	бы на	1	4
456	как у	6	4
457	чем он	3	4
458	а на	2	4
459	или в	7	4
460	или иначе	2	4
461	в ряде	2	4
462	случае не	1	4
463	есть в	1	4
464	в такой	1	4
465	нисколько не	1	4
466	в каждой	1	4
467	мере в	1	4
468	он говорит	1	4
469	а по	2	4
470	еще в	4	4
471	тем или	2	4
472	как мы	3	4
473	же можно	1	4
474	в период	1	4
475	место из	1	4
476	для этого	1	4
477	но для	5	4
478	является в	1	3
479	русской литературе	1	3
480	любовь к	1	3
481	которые по	1	3
482	его от	1	3
483	то не	1	3
484	но что	1	3
485	или иной	6	3
486	чтобы в	1	3
487	более или	2	3
488	их в	4	3
489	ни для	1	3
490	при всей	5	3
491	и дело	2	3
492	к этой	1	3
493	не должен	1	3
494	но эти	1	3
495	представляет собой	21	3
496	к своей	2	3
497	с помощью	2	3
498	не встречается	1	3
499	которым в	1	3
500	о них	5	3
501	может служить	5	3
502	внимания к	1	3
503	для которого	1	3
504	видно что	2	3
505	его собственной	1	3
506	быть в	2	3
507	все время	2	3
508	на котором	1	3
509	нет никаких	1	3
510	в обращении	2	3
511	не то	1	3
512	ему не	1	3
513	бы то	1	3
514	произведения и	1	3
515	не говоря	1	3
516	на том	2	3
517	что при	1	3
518	столько же	2	3
519	говорит в	1	3
520	также в	2	3
521	и до	1	3
522	в других	2	3
523	особенно в	3	3
524	вопроса о	1	3
525	бы в	2	3
526	не имел	2	3
527	на которую	1	3
528	до нас	1	3
529	xviii в	1	3
530	времени но	2	3
531	то ни	1	3
532	в рассказе	10	3
533	не будет	2	3
534	в системе	1	3
535	не могла	2	3
536	тем и	1	3
537	это действительно	1	3
538	не раз	1	3
539	известном смысле	4	3
540	i и	1	3
541	себя внимание	3	3
542	в один	1	3
543	каждого из	2	3
544	чем у	1	3
545	при жизни	1	3
546	однако и	5	3
547	представляют собой	5	3
548	это уже	3	3
549	присутствует в	1	3
550	сто лет	1	3
551	из того	1	3
552	гораздо раньше	1	3
553	бы между	1	3
554	той мере	1	3
555	бы ни	1	3
556	со всеми	3	3
557	значения как	1	3
558	если я	1	3
559	отношения к	1	3
560	к его	5	3
561	отступает от	1	3
562	бы не	1	3
563	который не	2	3
564	так называемая	2	3
565	о котором	4	3
566	которая не	3	3
567	перед нами	9	3
568	виде в	1	3
569	вытекает из	1	3
570	то и	3	3
571	это за	2	3
572	в свою	4	3
573	наконец в	1	3
574	у меня	2	3
575	и вся	1	3
576	письма и	1	3
577	и ему	1	3
578	внимания на	1	3
579	на основании	1	3
580	слова с	1	3
581	а во	5	3
582	в данной	2	3
583	но именно	3	3
584	в сознании	6	3
585	здесь не	4	3
586	только потому	1	3
587	в классической	1	3
588	действующего лица	1	3
589	судя по	1	3
590	как к	3	3
591	но на	1	3
592	в нашей	1	3
593	может не	1	3
594	то я	1	3
595	том числе	1	3
596	одним и	1	3
597	от которого	3	3
598	так в	4	3
599	он и	2	3
600	в полном	1	3
601	течение всей	1	3
602	а к	3	3
603	ряде случаев	2	3
604	это еще	1	3
605	о жизни	2	3
606	с той	2	3
607	и как	4	3
608	не подлежит	3	3
609	этот раз	1	3
610	при таком	1	3
611	к своему	2	3
612	или менее	2	3
613	всю свою	2	3
614	она не	2	3
615	задний план	1	3
616	сомневаться в	2	3
617	когда он	1	3
618	конечно в	1	3
