N	4gram	Vinokur_St	Narrotol
1	в то же время	5	8
2	мы имеем дело с	1	5
3	обращает на себя внимание	1	3
4	дело в том что	7	3
5	внимание на то что	1	3
6	той мере в какой	2	2
7	дело не только в	1	2
8	мысль о том что	1	2
9	в той мере в	2	2
10	и в то же	1	2
11	одно и то же	1	2
12	в той или иной	1	2
13	точно так же как	1	2
14	никогда и не было	1	1
15	в том смысле что	2	1
16	ни к одному из	1	1
17	нам до сих пор	1	1
18	нас нет никаких оснований	1	1
19	до сих пор еще	1	1
20	что с точки зрения	1	1
21	том смысле как мы	1	1
22	у нас нет никаких	1	1
23	в том смысле как	1	1
24	вплоть до второй половины	1	1
25	в той же мере	1	1
26	сомневаться в том что	2	1
27	в данном случае в	2	1
28	в том что и	1	1
29	бы то ни было	1	1
30	совсем не в том	2	1
31	в то время как	1	1
32	и в самом деле	2	1
33	о том что в	1	1
34	в самом деле не	1	1
35	иметь в виду что	1	1
36	в том числе и	2	1
37	интересен в этом отношении	1	1
38	в том что он	3	1
39	относится ни к одному	1	1
40	по его собственному признанию	1	1
41	свидетельствует о том что	1	1
42	по тем или иным	1	1
43	это вовсе еще не	1	1
44	это в равной мере	1	1
45	не относится ни к	1	1
46	одним и тем же	2	1
47	во всяком случае в	2	1
48	ответ на этот вопрос	1	1
