N	2gram	Savitsky_P	Retstnzi
1	не может	4	4
2	и в	14	3
3	если в	2	2
4	может и	2	1
5	может быть	5	1
6	запада если	1	1
7	не только	17	1
8	точки зрения	3	1
9	с точки	3	1
10	может не	1	1
11	к историческому	1	1
12	в ней	6	1
13	в каждом	1	1
14	эта вторая	1	1
15	если бы	4	1
16	конечно и	1	1
17	в его	2	1
18	не менее	2	1
19	но и	6	1
20	в выборе	2	1
21	мы видим	1	1
22	сравнении с	3	1
23	в то	7	1
24	из этих	1	1
25	же время	7	1
26	то же	9	1
27	а не	2	1
28	и не	12	1
29	на нее	1	1
30	и на	1	1
31	русской литературы	1	1
