N	3gram	Voloshinov	Komedia
1	в том что	4	29
2	к тому же	1	21
3	в то же	1	16
4	то же время	1	16
5	до сих пор	3	16
6	в самом деле	1	13
7	о том что	1	13
8	в то время	1	11
9	в свою очередь	1	10
10	по отношению к	11	9
11	с одной стороны	2	9
12	то время как	1	9
13	с другой стороны	2	8
14	бы то ни	3	7
15	то ни было	3	7
16	с самого начала	1	7
17	во всяком случае	1	7
18	с точки зрения	2	6
19	то же самое	2	5
20	в этом отношении	1	5
21	тем не менее	3	5
22	и тот же	1	4
23	но все же	1	4
24	можно было бы	1	4
25	в том же	1	3
26	более или менее	1	3
27	в чем не	1	3
28	в высшей степени	1	3
29	сих пор не	1	3
30	равно как и	1	3
31	но и в	1	3
32	один и тот	1	3
33	ни в чем	1	3
34	одной стороны и	2	2
35	в конечном счете	1	2
36	в этом смысле	1	2
37	мы не найдем	1	2
38	как и в	1	2
39	или может быть	1	2
40	в частности в	1	2
41	в отношении к	2	2
42	в зависимости от	2	2
43	и таким образом	1	2
44	том что в	1	2
45	в основе своей	1	2
46	и тому же	1	2
47	этой точки зрения	3	2
48	выходят за пределы	2	2
49	подобно тому как	1	2
50	так же как	1	2
51	имеем в виду	2	2
52	мы имеем в	1	2
53	одному и тому	1	2
54	берет на себя	1	2
55	одной точки зрения	1	1
56	имеет в виду	3	1
57	он имеет в	1	1
58	отнюдь не является	1	1
59	не может быть	7	1
60	включая сюда и	1	1
61	того чтобы не	1	1
62	можно сказать что	5	1
63	имеем дело с	1	1
64	в руках у	1	1
65	таким образом для	1	1
66	в коем случае	1	1
67	и независимо от	1	1
68	в ней как	2	1
69	далеко не всегда	1	1
70	у нее не	1	1
71	и на события	1	1
72	как мы уже	1	1
73	может быть только	1	1
74	сам по себе	1	1
75	как например в	1	1
76	ничего общего с	1	1
77	а между тем	1	1
78	мы можем сказать	2	1
79	ни в коем	1	1
80	чтобы убедиться в	1	1
81	по аналогии с	1	1
82	и прежде всего	1	1
83	в данном случае	2	1
84	но если бы	1	1
85	по себе не	1	1
86	может быть более	1	1
87	и не требует	1	1
88	к вопросу о	1	1
89	в значительной степени	1	1
90	или хотя бы	1	1
91	и не может	3	1
92	и в этом	1	1
93	мы имеем дело	1	1
94	в каком направлении	1	1
95	но прежде всего	1	1
96	приходится признать что	1	1
97	к нему в	1	1
98	на второй план	1	1
99	по крайней мере	1	1
100	его близости к	1	1
101	это не так	2	1
102	мы увидим что	1	1
103	следует отметить что	1	1
104	но уже в	1	1
105	в так называемой	1	1
106	и в каком	1	1
107	степень его близости	1	1
108	в настоящее время	2	1
109	едва ли кто-нибудь	1	1
110	найдем в них	1	1
111	так как будто	1	1
112	и здесь мы	1	1
113	со всех сторон	1	1
114	в противном случае	1	1
115	и в частности	1	1
116	и та же	1	1
117	что мы имеем	1	1
118	в лучшем случае	1	1
119	зависимости от того	1	1
120	одно из его	1	1
121	не найдем в	1	1
122	же как и	1	1
123	вовсе не отражает	1	1
124	одна и та	1	1
125	не обходится без	1	1
126	не остается места	1	1
127	нуждается в предварительном	1	1
128	в нем и	1	1
129	сама по себе	1	1
130	если бы не	1	1
