N	2gram	Vygotskiy_	Stilisti
1	и в	33	42
2	как бы	11	30
3	не только	28	28
4	и т.п	2	25
5	прежде всего	5	22
6	и т.д	6	21
7	хотя бы	5	18
8	внутренней речи	7	18
9	то же	12	16
10	но и	14	16
11	и не	18	14
12	может быть	15	13
13	не может	31	13
14	как и	13	12
15	что мы	11	11
16	мы уже	4	11
17	точки зрения	27	11
18	ситуации и	1	10
19	в этом	43	10
20	в себе	4	10
21	и как	7	10
22	мы должны	13	10
23	как мы	20	10
24	отнюдь не	2	10
25	мы не	6	9
26	при этом	9	9
27	все же	5	9
28	язык и	2	9
29	эти слова	1	9
30	то что	48	9
31	для того	20	9
32	в то	5	9
33	таким образом	30	8
34	так как	20	8
35	с тем	9	8
36	и это	3	8
37	в ней	2	8
38	тем самым	13	8
39	что же	2	8
40	с его	3	8
41	ничего не	6	8
42	и на	11	7
43	так и	8	7
44	слов и	3	7
45	мы можем	15	7
46	только в	21	7
47	в которой	8	7
48	зависимости от	3	7
49	и его	6	7
50	потому что	40	7
51	того чтобы	26	7
52	и тем	5	7
53	было бы	18	7
54	и той	3	7
55	той же	7	7
56	и от	2	7
57	в зависимости	2	7
58	а не	14	7
59	никогда не	10	7
60	во всех	3	6
61	в его	15	6
62	не в	10	6
63	в нем	10	6
64	в конце	3	6
65	в процессе	37	6
66	и так	1	6
67	на его	4	6
68	бы в	6	6
69	в свою	5	6
70	речи и	8	6
71	с помощью	32	6
72	одно и	2	6
73	в форме	1	6
74	когда мы	4	6
75	в этой	8	6
76	точку зрения	1	6
77	слова в	3	6
78	мы будем	4	6
79	или иной	1	6
80	язык в	1	6
81	в области	19	6
82	в той	8	5
83	в самом	10	5
84	что язык	1	5
85	связанных с	1	5
86	уже в	4	5
87	и их	4	5
88	с точки	12	5
89	те же	6	5
90	не является	7	5
91	в живом	1	5
92	все время	3	5
93	внутренняя речь	7	5
94	самом деле	9	5
95	но все	2	5
96	и с	7	5
97	но в	9	5
98	тому что	14	5
99	мы никогда	1	5
100	вместе с	9	5
101	точек зрения	4	5
102	того или	1	5
103	а с	3	5
104	мы увидим	3	5
105	и следовательно	7	5
106	слова и	3	5
107	как это	11	5
108	и является	6	5
109	а в	5	5
110	же самое	7	5
111	в нашем	5	5
112	в сознании	5	5
113	и то	9	5
114	же мы	2	5
115	обратное влияние	3	5
116	т.д и	2	5
117	или иного	1	5
118	независимо от	3	5
119	и наконец	3	5
120	мы видели	10	5
121	одной и	3	4
122	всего в	1	4
123	были бы	1	4
124	и к	7	4
125	мы видим	6	4
126	один из	4	4
127	того времени	1	4
128	слов в	1	4
129	что это	1	4
130	мы показали	3	4
131	что такое	6	4
132	все это	2	4
133	в качестве	13	4
134	в одном	3	4
135	с появлением	1	4
136	влияние на	2	4
137	его в	6	4
138	если бы	13	4
139	и все	2	4
140	с самого	8	4
141	во внутренней	1	4
142	в слове	1	4
143	так сказать	1	4
144	у нас	4	4
145	да и	1	4
146	как только	4	4
147	к тому	14	4
148	о том	13	4
149	связаны с	1	4
150	вопроса о	5	4
151	той или	1	4
152	самого начала	8	4
153	в каждом	1	4
154	можно сказать	7	4
155	если мы	9	4
156	языка и	6	4
157	не существует	1	4
158	необходимым условием	1	4
159	не что	2	4
160	можно было	11	4
161	свою очередь	4	4
162	так же	22	4
163	лишь в	1	4
164	в целом	8	4
165	себя в	4	4
166	в данной	2	4
167	мы называем	1	4
168	тем же	1	4
169	речь и	4	4
170	слово не	1	4
171	что именно	4	4
